"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Rumana Ahmed","Barmy Army",2023,"FairBreak Invitational Tournament",5,"19.0",1,129,7,18.4285714285714,6.78947368421053,16.2857142857143,58,0,0,"3/23"
"A Wellington","Warriors",2023,"FairBreak Invitational Tournament",6,"22.0",0,136,7,19.4285714285714,6.18181818181818,18.8571428571429,68,0,0,"3/27"
"Rumana Ahmed","Barmy Army",2022,"FairBreak Invitational Tournament",7,"23.0",1,140,7,20,6.08695652173913,19.7142857142857,54,0,0,"3/22"
"WA Duraisingam","Tornadoes",2022,"FairBreak Invitational Tournament",7,"25.0",0,171,7,24.4285714285714,6.84,21.4285714285714,57,0,0,"3/24"
"TG Norris","Barmy Army",2023,"FairBreak Invitational Tournament",6,"22.0",0,189,7,27,8.59090909090909,18.8571428571429,59,0,0,"2/34"
"S Miyaji","Spirit",2022,"FairBreak Invitational Tournament",3,"7.0",1,33,6,5.5,4.71428571428571,7,18,1,0,"4/18"
"S Ismail","Sapphires",2022,"FairBreak Invitational Tournament",5,"19.0",1,94,6,15.6666666666667,4.94736842105263,19,71,0,0,"3/20"
"C Sutthiruang","Tornadoes",2023,"FairBreak Invitational Tournament",5,"16.0",0,99,6,16.5,6.1875,16,52,0,0,"3/22"
"L Cardoso","Barmy Army",2023,"FairBreak Invitational Tournament",6,"17.3",1,124,6,20.6666666666667,7.08571428571429,17.5,60,0,0,"2/14"
"SIR Dunkley","Spirit",2022,"FairBreak Invitational Tournament",7,"20.0",0,151,6,25.1666666666667,7.55,20,53,0,0,"2/14"
"Sana Mir","Sapphires",2022,"FairBreak Invitational Tournament",3,"9.0",1,53,5,10.6,5.88888888888889,10.8,23,1,0,"4/15"
"KH Sciver-Brunt","Sapphires",2023,"FairBreak Invitational Tournament",4,"10.0",0,61,5,12.2,6.1,12,37,0,0,"2/8"
"JL Aras","Sapphires",2023,"FairBreak Invitational Tournament",3,"8.0",0,78,5,15.6,9.75,9.6,19,1,0,"4/32"
"KKN Egodage","Barmy Army",2023,"FairBreak Invitational Tournament",5,"12.0",0,78,5,15.6,6.5,14.4,30,0,0,"3/17"
"HK Matthews","Warriors",2023,"FairBreak Invitational Tournament",4,"14.0",0,88,5,17.6,6.28571428571429,16.8,43,0,0,"2/14"
"NH Patel","Spirit",2023,"FairBreak Invitational Tournament",5,"13.0",0,89,5,17.8,6.84615384615385,15.6,33,0,0,"2/22"
"C Sutthiruang","Tornadoes",2022,"FairBreak Invitational Tournament",5,"14.0",0,101,5,20.2,7.21428571428571,16.8,40,0,0,"2/19"
"HK Matthews","Warriors (FairBreak)",2022,"FairBreak Invitational Tournament",5,"19.0",0,123,5,24.6,6.47368421052632,22.8,59,0,0,"2/5"
"WA Duraisingam","Tornadoes",2023,"FairBreak Invitational Tournament",6,"15.0",0,126,5,25.2,8.4,18,31,0,0,"3/8"
"Diana Baig","Tornadoes",2022,"FairBreak Invitational Tournament",7,"23.0",0,167,5,33.4,7.26086956521739,27.6,72,0,0,"2/15"
"A Khaka","Spirit",2023,"FairBreak Invitational Tournament",7,"25.0",1,179,5,35.8,7.16,30,76,1,0,"4/13"
"TG Norris","Barmy Army",2022,"FairBreak Invitational Tournament",7,"26.0",2,182,5,36.4,7,31.2,77,0,0,"2/17"
"SR Magar","Tornadoes",2023,"FairBreak Invitational Tournament",3,"8.0",0,61,4,15.25,7.625,12,22,0,0,"3/17"
"G Kodali","Sapphires",2022,"FairBreak Invitational Tournament",4,"12.0",0,75,4,18.75,6.25,18,30,0,0,"2/10"
