"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JG Walker",2021-12-23,"Canterbury","Northern Districts",1,"4.0",0,13,3,3.25,11,"Super Smash","2021/22",1289615,"Bay Oval, Mount Maunganui","Mount Maunganui","Canterbury","Northern Districts","Northern Districts","field",NA,"Northern Districts","1",NA
"MD Rae",2022-12-24,"Wellington","Otago",1,"2.0",0,13,3,6.5,7,"Super Smash","2022/23",1341195,"Basin Reserve, Wellington","Wellington","Wellington","Otago","Otago","field",NA,"Wellington",NA,"8"
"NG Smith",2023-01-20,"Auckland","Wellington",2,"4.0",0,13,3,3.25,13,"Super Smash","2022/23",1341212,"Eden Park Outer Oval, Auckland","Auckland","Wellington","Auckland","Auckland","field",NA,"Auckland","2",NA
"A Verma",2021-12-20,"Auckland","Northern Districts",1,"3.0",0,14,3,4.66666666666667,9,"Super Smash","2021/22",1289604,"Eden Park Outer Oval, Auckland","Auckland","Auckland","Northern Districts","Northern Districts","field",NA,"Northern Districts","6",NA
"HB Shipley",2022-01-18,"Auckland","Canterbury",2,"4.0",0,14,3,3.5,13,"Super Smash","2021/22",1289607,"Hagley Oval, Christchurch","Christchurch","Canterbury","Auckland","Auckland","field",NA,"Canterbury",NA,"18"
"MD Rae",2018-01-06,"Central Districts","Otago",1,"4.0",0,14,3,3.5,13,"Super Smash","2017/18",1118555,"Pukekura Park","New Plymouth","Central Districts","Otago","Central Districts","bat",NA,"Otago","3",NA
"SC Kuggeleijn",2023-02-03,"Central Districts","Northern Districts",1,"4.0",0,14,3,3.5,17,"Super Smash","2022/23",1341220,"Seddon Park, Hamilton","Hamilton","Central Districts","Northern Districts","Northern Districts","field",NA,"Northern Districts","4",NA
"AW McKenzie",2024-01-11,"Wellington","Canterbury",1,"3.0",0,15,3,5,6,"Super Smash","2023/24",1409493,"Hagley Oval, Christchurch","Christchurch","Wellington","Canterbury","Canterbury","field","TB Robinson","Wellington",NA,"21"
"BM Tickner",2019-01-13,"Canterbury","Central Districts",1,"4.0",0,15,3,3.75,13,"Super Smash","2018/19",1160513,"Hagley Oval","Christchurch","Canterbury","Central Districts","Central Districts","field",NA,"Central Districts","6",NA
"HK Bennett",2022-01-20,"Auckland","Wellington",1,"4.0",0,15,3,3.75,15,"Super Smash","2021/22",1289610,"Eden Park Outer Oval, Auckland","Auckland","Auckland","Wellington","Auckland","bat",NA,"Wellington","8",NA
"SHA Rance",2018-01-09,"Otago","Central Districts",2,"2.4",0,15,3,5.625,11,"Super Smash","2017/18",1118558,"Queen's Park","Invercargill","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"118"
"AP Devcich",2018-01-20,"Central Districts","Northern Districts",1,"4.0",0,16,3,4,10,"Super Smash","2017/18",1132902,"Seddon Park","Hamilton","Central Districts","Northern Districts","Central Districts","bat",NA,"Northern Districts","9",NA
"JS Patel",2019-12-15,"Canterbury","Wellington",1,"4.0",0,16,3,4,10,"Super Smash","2019/20",1197743,"Hagley Oval","Christchurch","Canterbury","Wellington","Canterbury","bat",NA,"Wellington","6",NA
"L Delport",2024-01-01,"Otago","Auckland",2,"4.0",0,16,3,4,11,"Super Smash","2023/24",1409483,"Molyneux Park, Alexandra","Alexandra","Auckland","Otago","Otago","field","T Muller","Otago","3",NA
