"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","player_of_match"
1118563,6,"Auckland","Otago","male","2017/18",2018-01-14,"Super Smash","30","Eden Park Outer Oval","Auckland","Otago","field","BF Bowden","AL Gillies","JM Dempsey","A Mehrotra","RA Dykes","Otago",2,NA,NA,NA,NA
1132901,6,"Central Districts","Auckland","male","2017/18",2018-01-17,"Super Smash",NA,"Eden Park Outer Oval","Auckland","Auckland","field","BF Bowden","DJ Walker","TJ Parlane","AL Gillies","RA Dykes","Central Districts",NA,36,NA,NA,NA
1132902,6,"Central Districts","Northern Districts","male","2017/18",2018-01-20,"Super Smash",NA,"Seddon Park","Hamilton","Central Districts","bat","BF Bowden","TJ Parlane","DJ Walker","AL Gillies","RA Dykes","Northern Districts",9,NA,NA,NA,NA
1160497,6,"Northern Districts","Wellington","male","2018/19",2018-12-22,"Super Smash","1","Seddon Park","Hamilton","Wellington","field","BF Bowden","WR Knights","Damian Morrow","A Mehrotra","RA Dykes","Northern Districts",NA,45,NA,NA,NA
1160500,6,"Northern Districts","Central Districts","male","2018/19",2018-12-27,"Super Smash","4","Bay Oval","Mount Maunganui","Central Districts","field","BF Bowden","CM Brown",NA,"AL Gillies","KD Earl","Central Districts",5,NA,NA,NA,NA
1160501,6,"Otago","Wellington","male","2018/19",2018-12-28,"Super Smash","5","Basin Reserve","Wellington","Otago","bat","A Mehrotra","JAK Bromley",NA,NA,"K Pulley","Otago",NA,1,NA,NA,NA
1160502,6,"Central Districts","Auckland","male","2018/19",2018-12-29,"Super Smash","6","Pukekura Park","New Plymouth","Auckland","field","CM Brown","SB Haig",NA,NA,NA,"Auckland",5,NA,NA,NA,NA
1160503,6,"Otago","Northern Districts","male","2018/19",2018-12-30,"Super Smash","7","Molyneux Park","Alexandra","Otago","bat","DJ Walker","ED Sanders",NA,NA,"GAV Baxter","Northern Districts",5,NA,NA,NA,NA
1160504,6,"Central Districts","Wellington","male","2018/19",2018-12-31,"Super Smash","8","Pukekura Park","New Plymouth","Wellington","field","CM Brown","SB Haig",NA,NA,NA,"Wellington",8,NA,NA,NA,NA
1160505,6,"Auckland","Canterbury","male","2018/19",2019-01-01,"Super Smash","9","Eden Park Outer Oval","Auckland","Canterbury","field","BF Bowden","WR Knights","JM Dempsey","A Mehrotra","RA Dykes","Canterbury",5,NA,NA,NA,NA
1160506,6,"Northern Districts","Auckland","male","2018/19",2019-01-06,"Super Smash","10","Seddon Park","Hamilton","Northern Districts","bat","BF Bowden","JAK Bromley",NA,NA,"KD Earl","Northern Districts",NA,2,NA,NA,NA
1160508,6,"Wellington","Canterbury","male","2018/19",2019-01-06,"Super Smash","12","Basin Reserve","Wellington","Canterbury","field","AL Gillies","WR Knights",NA,"DJ Walker","K Pulley","Wellington",NA,65,NA,NA,NA
1160510,6,"Central Districts","Otago","male","2018/19",2019-01-10,"Super Smash","14","McLean Park","Napier","Otago","field","BF Bowden","AL Gillies","Glen Walklin","A Mehrotra",NA,"Central Districts",NA,54,NA,NA,NA
1160511,6,"Northern Districts","Wellington","male","2018/19",2019-01-12,"Super Smash","15","Basin Reserve","Wellington","Northern Districts","bat","BF Bowden","JAK Bromley","GA Stirrat","AL Gillies","K Pulley","Northern Districts",NA,12,NA,NA,NA
1160512,6,"Auckland","Otago","male","2018/19",2019-01-13,"Super Smash","16","University Oval","Dunedin","Otago","field","JM Dempsey","SB Haig",NA,NA,"RA Dykes",NA,NA,NA,NA,"no result",NA
1160513,6,"Canterbury","Central Districts","male","2018/19",2019-01-13,"Super Smash","17","Hagley Oval","Christchurch","Central Districts","field","CM Brown","DJ Walker","Kim Cotton","ED Sanders","GAV Baxter","Central Districts",6,NA,NA,NA,NA
1160514,6,"Northern Districts","Canterbury","male","2018/19",2019-01-16,"Super Smash","18","Seddon Park","Hamilton","Canterbury","field","A Mehrotra","WR Knights","Damian Morrow","AL Gillies","KD Earl","Northern Districts",NA,6,"D/L",NA,NA
1160515,6,"Wellington","Auckland","male","2018/19",2019-01-18,"Super Smash","19","Basin Reserve","Wellington","Wellington","bat","JAK Bromley","AL Gillies",NA,NA,"K Pulley","Auckland",6,NA,NA,NA,NA
1160516,6,"Central Districts","Canterbury","male","2018/19",2019-01-19,"Super Smash","20","McLean Park","Napier","Central Districts","bat","A Mehrotra","SB Haig","Glen Walklin","JAK Bromley",NA,"Central Districts",NA,18,NA,NA,NA
1160517,6,"Auckland","Otago","male","2018/19",2019-01-20,"Super Smash","21","Eden Park Outer Oval","Auckland","Otago","field","CM Brown","WR Knights",NA,"DJ Walker","RA Dykes","Auckland",NA,4,NA,NA,NA
1160518,6,"Northern Districts","Central Districts","male","2018/19",2019-01-25,"Super Smash","22","McLean Park","Napier","Central Districts","field","BF Bowden","SB Haig","Glen Walklin","AL Gillies","RA Dykes","Northern Districts",NA,131,NA,NA,NA
1160519,6,"Canterbury","Auckland","male","2018/19",2019-01-26,"Super Smash","23","Hagley Oval","Christchurch","Canterbury","bat","A Mehrotra","Damian Morrow",NA,NA,"GAV Baxter","Auckland",9,NA,NA,NA,NA
1160520,6,"Wellington","Otago","male","2018/19",2019-01-27,"Super Smash","24","University Oval","Dunedin","Wellington","bat","DJ Walker","JAK Bromley",NA,NA,"K Pulley","Wellington",NA,11,NA,NA,NA
1160521,6,"Central Districts","Wellington","male","2018/19",2019-02-01,"Super Smash","25","Basin Reserve","Wellington","Central Districts","bat","ED Sanders","SB Haig",NA,NA,"K Pulley","Central Districts",NA,11,NA,NA,NA
1160522,6,"Canterbury","Otago","male","2018/19",2019-02-02,"Super Smash","26","Hagley Oval","Christchurch","Otago","field","DJ Walker","GA Stirrat",NA,NA,"GAV Baxter","Canterbury",NA,30,NA,NA,NA
1160523,6,"Northern Districts","Auckland","male","2018/19",2019-02-02,"Super Smash","27","Eden Park Outer Oval","Auckland","Auckland","field","BF Bowden","JM Dempsey","Lui Els","A Mehrotra","RA Dykes","Auckland",6,NA,NA,NA,NA
1160524,6,"Northern Districts","Otago","male","2018/19",2019-02-09,"Super Smash","30","Bay Oval","Mount Maunganui","Northern Districts","bat","BF Bowden","TJ Parlane","Damian Morrow","AL Gillies","KD Earl","Otago",5,NA,NA,NA,NA
1160525,6,"Wellington","Canterbury","male","2018/19",2019-02-09,"Super Smash","28","Hagley Oval","Christchurch","Wellington","bat","DJ Walker","JAK Bromley",NA,NA,NA,"Canterbury",7,NA,NA,NA,NA
