"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Chaturongrattana","Thailand","2023","Thailand Women tour of Netherlands",4,"13.4",0,59,4,14.75,4.31707317073171,20.5,41,0,0,"2/10"
"U Iftikhar","United States of America","2023","ICC Women's T20 World Cup Americas Region Qualifier",5,"16.0",0,59,4,14.75,3.6875,24,56,0,0,"2/8"
"H Ishimwe","Rwanda","2022","Kwibuka Women's Twenty20 Tournament",4,"15.0",1,60,4,15,4,22.5,50,0,0,"2/19"
"K Ndlovu","Zimbabwe","2023/24","ICC Women's T20 World Cup Africa Region Qualifier",4,"16.0",3,60,4,15,3.75,24,72,0,0,"2/17"
"Khadija Tul Kubra","Bangladesh","2013/14","Women's World T20",3,"8.0",0,60,4,15,7.5,12,14,0,0,"3/24"
"Nashra Sandhu","Pakistan","2023","South Africa Women tour of Pakistan",3,"12.0",0,60,4,15,5,18,27,0,0,"2/16"
"SF Daley","West Indies","2012/13","ICC Women's World Twenty20",4,"14.0",0,60,4,15,4.28571428571429,21,49,0,0,"2/23"
"Anam Amin","Pakistan","2022","Sri Lanka Women tour of Pakistan",3,"12.0",0,61,4,15.25,5.08333333333333,18,36,0,0,"3/21"
"LK O'Reilly","Ireland","2018/19","ICC Women's T20 World Cup",3,"10.0",1,61,4,15.25,6.1,15,32,0,0,"3/19"
"M Ochieng","Kenya","2022","Kwibuka Women's Twenty20 Tournament",4,"15.0",1,61,4,15.25,4.06666666666667,22.5,53,0,0,"3/11"
"M Ramafifi","Botswana","2018","Botswana Cricket Association Women's T20I Series",4,"13.5",2,61,4,15.25,4.40963855421687,20.75,56,0,0,"2/3"
"RS Gayakwad","India","2022/23","South Africa Women's T20I Tri-Series",4,"15.0",1,61,4,15.25,4.06666666666667,22.5,51,0,0,"1/9"
"S Laomi","Thailand","2021","Thailand Women tour of Zimbabwe",3,"12.0",0,61,4,15.25,5.08333333333333,18,37,0,0,"2/22"
"S Molineux","Australia","2018/19","New Zealand Women tour of Australia",3,"12.0",1,61,4,15.25,5.08333333333333,18,32,0,0,"3/11"
"SFM Devine","New Zealand","2018/19","India Women tour of New Zealand",3,"9.1",0,61,4,15.25,6.65454545454546,13.75,22,0,0,"2/21"
