"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","match_number","outcome","method","eliminator"
1172918,6,"China","Kuwait","female","2018/19",2019-02-21,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","China","field","Zhang Chan","Akbar Ali","DN Subedi","Tabarak Dar",NA,"Neeyamur Rashid","China",NA,9,"9",NA,NA,NA
1172919,6,"Nepal","United Arab Emirates","female","2018/19",2019-02-22,"ICC Women's T20 World Cup Asia Region Qualifier","Terdthai Cricket Ground","Bangkok","United Arab Emirates","bat","Nary Thapa","V Kalidas","Tabarak Dar","VK Jha",NA,"Neeyamur Rashid","Nepal",NA,7,"10",NA,NA,NA
1172920,6,"Thailand","Hong Kong","female","2018/19",2019-02-22,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Thailand","bat","N Chaiwai","Sharfuddoula","DN Subedi","Akbar Ali",NA,"Neeyamur Rashid","Thailand",82,NA,"11",NA,NA,NA
1172921,6,"China","Malaysia","female","2018/19",2019-02-22,"ICC Women's T20 World Cup Asia Region Qualifier","Terdthai Cricket Ground","Bangkok","Malaysia","bat","F Song","VK Jha","Tabarak Dar","V Kalidas",NA,"Neeyamur Rashid","China",NA,8,"12",NA,NA,NA
1172922,6,"China","United Arab Emirates","female","2018/19",2019-02-24,"ICC Women's T20 World Cup Asia Region Qualifier","Terdthai Cricket Ground","Bangkok","China","field","S Venkataraman","Sharfuddoula","VK Jha","Tabarak Dar",NA,"Neeyamur Rashid","United Arab Emirates",27,NA,"13",NA,NA,NA
1172923,6,"Thailand","Kuwait","female","2018/19",2019-02-24,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Kuwait","bat","S Tippoch","DN Subedi","V Kalidas","Akbar Ali",NA,"Neeyamur Rashid","Thailand",NA,9,"14",NA,NA,NA
1172924,6,"Hong Kong","Nepal","female","2018/19",2019-02-24,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Hong Kong","bat","Nary Thapa","Akbar Ali","V Kalidas","DN Subedi",NA,"Neeyamur Rashid","Nepal",NA,4,"15",NA,NA,NA
1172925,6,"Thailand","Malaysia","female","2018/19",2019-02-25,"ICC Women's T20 World Cup Asia Region Qualifier","Terdthai Cricket Ground","Bangkok","Malaysia","field","N Chaiwai","Sharfuddoula","DN Subedi","V Kalidas",NA,"Neeyamur Rashid","Thailand",87,NA,"16",NA,NA,NA
1172926,6,"China","Nepal","female","2018/19",2019-02-25,"ICC Women's T20 World Cup Asia Region Qualifier","Terdthai Cricket Ground","Bangkok","China","field","SR Magar","Sharfuddoula","V Kalidas","DN Subedi",NA,"Neeyamur Rashid","Nepal",5,NA,"17",NA,NA,NA
1172927,6,"Hong Kong","Kuwait","female","2018/19",2019-02-25,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Hong Kong","field","M Yousaf","Akbar Ali","VK Jha","Tabarak Dar",NA,"Neeyamur Rashid","Hong Kong",NA,9,"18",NA,NA,NA
1172929,6,"Kuwait","Nepal","female","2018/19",2019-02-27,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Kuwait","field","RC Belbashi","Akbar Ali","Tabarak Dar","VK Jha",NA,"Neeyamur Rashid","Nepal",30,NA,"20",NA,NA,NA
1172930,6,"Thailand","United Arab Emirates","female","2018/19",2019-02-27,"ICC Women's T20 World Cup Asia Region Qualifier","Asian Institute of Technology Ground","Bangkok","Thailand","bat",NA,"VK Jha","Tabarak Dar","Akbar Ali",NA,"Neeyamur Rashid","Thailand",50,NA,"21",NA,NA,NA
1172163,6,"India","England","female","2018/19",2019-03-04,"England Women tour of India","Barsapara Cricket Stadium","Guwahati","India","field","TT Beaumont","N Pandit","A Deshmukh",NA,"GR Sadashiv Iyer","V Narayan Kutty","England",41,NA,"1",NA,NA,NA
1172164,6,"India","England","female","2018/19",2019-03-07,"England Women tour of India","Barsapara Cricket Stadium","Guwahati","England","field","DN Wyatt","N Pandit","A Deshmukh",NA,"GR Sadashiv Iyer","V Narayan Kutty","England",NA,5,"2",NA,NA,NA
1172165,6,"India","England","female","2018/19",2019-03-09,"England Women tour of India","Barsapara Cricket Stadium","Guwahati","England","bat","KL Cross","N Pandit","A Deshmukh",NA,"GR Sadashiv Iyer","V Narayan Kutty","England",1,NA,"3",NA,NA,NA
1176435,6,"Sri Lanka","England","female","2018/19",2019-03-24,"England Women tour of Sri Lanka","P Sara Oval","Colombo","Sri Lanka","bat",NA,"EJAPAM Jayasooriya","WN de Silva","PN Udawatta",NA,"WC Labrooy","England",NA,8,"1",NA,NA,NA
1176436,6,"Sri Lanka","England","female","2018/19",2019-03-26,"England Women tour of Sri Lanka","P Sara Oval","Colombo","Sri Lanka","bat",NA,"JWHD Boteju","RR Wimalasiri","WN de Silva",NA,"WC Labrooy","England",NA,8,"2",NA,NA,NA
1176437,6,"Sri Lanka","England","female","2018/19",2019-03-28,"England Women tour of Sri Lanka","P Sara Oval","Colombo","Sri Lanka","field",NA,"RR Wimalasiri","ID Gunawardene","JWHD Boteju",NA,"WC Labrooy","England",96,NA,"3",NA,NA,NA
