"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","winner","winner_wickets","winner_runs","reserve_umpire","method","outcome"
1136915,6,"Northern Knights","Munster Reds","male","2018",2018-07-07,"Cricket Ireland Inter-Provincial Twenty20 Trophy",9,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","field",NA,"Bala Kailash","S Wijesundera",NA,"Northern Knights",NA,39,"SA Richardson",NA,NA
1136916,6,"Leinster Lightning","North-West Warriors","male","2018",2018-07-07,"Cricket Ireland Inter-Provincial Twenty20 Trophy",10,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","bat",NA,"SA Richardson","S Wijesundera",NA,"Leinster Lightning",NA,41,"Bala Kailash",NA,NA
1136917,6,"Northern Knights","North-West Warriors","male","2018",2018-07-08,"Cricket Ireland Inter-Provincial Twenty20 Trophy",11,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","bat",NA,"AA Baig","Bala Kailash",NA,"Northern Knights",NA,49,"W Clarke",NA,NA
1136918,6,"Munster Reds","Leinster Lightning","male","2018",2018-07-08,"Cricket Ireland Inter-Provincial Twenty20 Trophy",12,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","bat",NA,"AA Baig","W Clarke",NA,"Munster Reds",NA,2,"Bala Kailash",NA,NA
1178138,6,"North-West Warriors","Northern Knights","male","2019",2019-06-22,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","bat",NA,"AJ Neill","S Wood","JL Laubret","Northern Knights",7,NA,NA,NA,NA
1178139,6,"Munster Reds","Leinster Lightning","male","2019",2019-06-22,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","bat",NA,"AJ Neill","S Wood","JL Laubret","Leinster Lightning",3,NA,NA,NA,NA
1178140,6,"Northern Knights","Munster Reds","male","2019",2019-06-23,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","bat",NA,"AJ Neill","AA Baig","JL Laubret","Northern Knights",NA,32,NA,NA,NA
1178143,6,"Northern Knights","Leinster Lightning","male","2019",2019-06-24,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","bat",NA,"AJ Neill","MV Waldron","AR Tuffery","Northern Knights",NA,8,NA,NA,NA
1227502,6,"North-West Warriors","Northern Knights","male","2020",2020-08-20,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"Bready Cricket Club, Magheramason, Bready","Bready","Northern Knights","field",NA,"AJ Neill","M Hawthorne","G McCrea","Northern Knights",NA,2,NA,"D/L",NA
1227503,6,"Munster Reds","Leinster Lightning","male","2020",2020-08-20,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field",NA,"PA Reynolds","S Wood","K Gallagher","Leinster Lightning",9,NA,NA,NA,NA
1227505,6,"Leinster Lightning","North-West Warriors","male","2020",2020-08-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field",NA,"AJ Neill","PA Reynolds","K Gallagher","Leinster Lightning",NA,24,NA,"D/L",NA
1227507,6,"North-West Warriors","Northern Knights","male","2020",2020-09-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"The Green, Comber","Comber","North-West Warriors","bat",NA,"AJ Neill","R Black","Philip Thompson","Northern Knights",8,NA,NA,NA,NA
1227508,6,"Munster Reds","Leinster Lightning","male","2020",2020-09-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Mardyke, Cork","Cork","Leinster Lightning","field",NA,"Aidan Seaver","PA Reynolds","K Gallagher","Leinster Lightning",7,NA,NA,NA,NA
1227511,6,"Northern Knights","Leinster Lightning","male","2020",2020-09-03,"Cricket Ireland Inter-Provincial Twenty20 Trophy",10,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field",NA,"AJ Neill","M Hawthorne","Philip Thompson","Leinster Lightning",5,NA,NA,NA,NA
1259535,6,"Munster Reds","Leinster Lightning","male","2021",2021-06-18,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","Simi Singh","M Hawthorne","PA Reynolds","K Gallagher","Leinster Lightning",7,NA,NA,NA,NA
1259536,6,"Northern Knights","North-West Warriors","male","2021",2021-06-18,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field","ST Doheny","M Hawthorne","PA Reynolds","K Gallagher","North-West Warriors",7,NA,NA,NA,NA
1259537,6,"Northern Knights","Leinster Lightning","male","2021",2021-06-19,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","GR Adair","AJ Neill","R Black","K Gallagher","Northern Knights",NA,22,NA,NA,NA
1259538,6,"North-West Warriors","Munster Reds","male","2021",2021-06-19,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","bat","M Ford","AJ Neill","R Black","K Gallagher","Munster Reds",6,NA,NA,NA,NA
1259539,6,"Leinster Lightning","North-West Warriors","male","2021",2021-06-20,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field","CA Young","AJ Neill","PA Reynolds","K Gallagher","North-West Warriors",1,NA,NA,NA,NA
1259540,6,"Munster Reds","Northern Knights","male","2021",2021-06-20,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","bat","B White","AJ Neill","PA Reynolds","K Gallagher","Northern Knights",5,NA,NA,NA,NA
1259541,6,"North-West Warriors","Northern Knights","male","2021",2021-06-25,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Bready Cricket Club, Magheramason, Bready","Bready","Northern Knights","field","W McClintock","M Hawthorne","R Black","G McCrea","North-West Warriors",NA,1,NA,NA,NA
1259542,6,"Leinster Lightning","Munster Reds","male","2021",2021-06-25,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"Bready Cricket Club, Magheramason, Bready","Bready","Munster Reds","field","PJ Moor","M Hawthorne","R Black","G McCrea","Munster Reds",7,NA,NA,NA,NA
1259543,6,"Munster Reds","North-West Warriors","male","2021",2021-06-26,"Cricket Ireland Inter-Provincial Twenty20 Trophy",9,"Bready Cricket Club, Magheramason, Bready","Bready","North-West Warriors","field","WTS Porterfield","AJ Neill","PA Reynolds","G McCrea","North-West Warriors",7,NA,NA,NA,NA
1259544,6,"Leinster Lightning","Northern Knights","male","2021",2021-06-26,"Cricket Ireland Inter-Provincial Twenty20 Trophy",10,"Bready Cricket Club, Magheramason, Bready","Bready","Northern Knights","field","J Little","AJ Neill","PA Reynolds","G McCrea","Leinster Lightning",NA,70,NA,NA,NA
1259545,6,"Leinster Lightning","North-West Warriors","male","2021",2021-06-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",11,"Bready Cricket Club, Magheramason, Bready","Bready","North-West Warriors","field","G Hoey","AJ Neill","R Black","G McCrea","Leinster Lightning",NA,16,NA,NA,NA
1259546,6,"Northern Knights","Munster Reds","male","2021",2021-06-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",12,"Bready Cricket Club, Magheramason, Bready","Bready","Munster Reds","field","JL Lawlor","AJ Neill","R Black","G McCrea","Northern Knights",NA,23,NA,NA,NA
1259550,6,"North-West Warriors","Munster Reds","male","2021",2021-09-18,"Cricket Ireland Inter-Provincial Twenty20 Trophy",16,"The Green, Comber","Comber","Munster Reds","field","M Ford","AJ Neill","R Black","Philip Thompson","Munster Reds",6,NA,NA,NA,NA
1259551,6,"Munster Reds","Northern Knights","male","2021",2021-09-19,"Cricket Ireland Inter-Provincial Twenty20 Trophy",17,"The Green, Comber","Comber","Northern Knights","field","GR Adair","Aidan Seaver","R Black","Philip Thompson","Northern Knights",9,NA,NA,NA,NA
1259552,6,"Leinster Lightning","North-West Warriors","male","2021",2021-09-19,"Cricket Ireland Inter-Provincial Twenty20 Trophy",18,"The Green, Comber","Comber","North-West Warriors","field","C Olphert","Aidan Seaver","R Black","Philip Thompson","North-West Warriors",8,NA,NA,NA,NA
1305434,6,"Northern Knights","North-West Warriors","male","2022",2022-05-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"The Green, Comber","Comber","North-West Warriors","field","ST Doheny","M Hawthorne","PD Nicholls","Philip Thompson","North-West Warriors",7,NA,NA,NA,NA
1305435,6,"Leinster Lightning","Munster Reds","male","2022",2022-05-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"The Green, Comber","Comber","Munster Reds","field","TE Kane","M Hawthorne","PD Nicholls","Philip Thompson","Munster Reds",6,NA,NA,NA,NA
1305436,6,"North-West Warriors","Leinster Lightning","male","2022",2022-05-28,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"The Green, Comber","Comber","Leinster Lightning","field","GI Hume","PD Nicholls","R Black","Philip Thompson","North-West Warriors",NA,1,NA,NA,NA
1305437,6,"Northern Knights","Munster Reds","male","2022",2022-05-28,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"The Green, Comber","Comber","Munster Reds","field","F Hand","PD Nicholls","R Black","Philip Thompson","Munster Reds",3,NA,NA,NA,NA
1305438,6,"Munster Reds","North-West Warriors","male","2022",2022-05-29,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"The Green, Comber","Comber","North-West Warriors","field","GJ Delany","Jareth McCready","PD Nicholls","Philip Thompson","Munster Reds",NA,100,NA,NA,NA
1305439,6,"Leinster Lightning","Northern Knights","male","2022",2022-05-29,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"The Green, Comber","Comber","Northern Knights","field","Simi Singh","Jareth McCready","PD Nicholls","Philip Thompson","Leinster Lightning",NA,39,NA,NA,NA
1305440,6,"Northern Knights","North-West Warriors","male","2022",2022-06-10,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Bready Cricket Club, Magheramason, Bready","Bready","North-West Warriors","field","SC Getkate","Jareth McCready","M Hawthorne","Philip Thompson","North-West Warriors",6,NA,NA,"D/L",NA
1305441,6,"Leinster Lightning","Munster Reds","male","2022",2022-06-10,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"Bready Cricket Club, Magheramason, Bready","Bready","Munster Reds","field","G Hoey","Jareth McCready","M Hawthorne","Philip Thompson",NA,NA,NA,NA,"D/L","tie"
1305446,6,"Munster Reds","Leinster Lightning","male","2022",2022-07-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",13,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","GH Dockrell","M Hawthorne","PA Reynolds","Jareth McCready","Leinster Lightning",5,NA,NA,NA,NA
1305447,6,"North-West Warriors","Northern Knights","male","2022",2022-07-27,"Cricket Ireland Inter-Provincial Twenty20 Trophy",14,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","bat","GR Adair","M Hawthorne","PA Reynolds","Jareth McCready","Northern Knights",4,NA,NA,NA,NA
1305448,6,"Northern Knights","Munster Reds","male","2022",2022-07-28,"Cricket Ireland Inter-Provincial Twenty20 Trophy",15,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","field","J Matchett","PA Reynolds","R Black","Philip Thompson","Northern Knights",NA,99,NA,NA,NA
1305449,6,"Leinster Lightning","North-West Warriors","male","2022",2022-07-28,"Cricket Ireland Inter-Provincial Twenty20 Trophy",16,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field","L Tucker","PA Reynolds","R Black","Philip Thompson","Leinster Lightning",NA,128,NA,NA,NA
1305450,6,"North-West Warriors","Munster Reds","male","2022",2022-07-29,"Cricket Ireland Inter-Provincial Twenty20 Trophy",17,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","bat","DC Delany","Jareth McCready","R Black","Philip Thompson","Munster Reds",6,NA,NA,NA,NA
1305451,6,"Northern Knights","Leinster Lightning","male","2022",2022-07-29,"Cricket Ireland Inter-Provincial Twenty20 Trophy",18,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","bat","BJ McCarthy","Jareth McCready","R Black","Philip Thompson","Leinster Lightning",6,NA,NA,NA,NA
1375537,6,"Munster Reds","North-West Warriors","male","2023",2023-06-06,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"Mardyke, Cork","Cork","North-West Warriors","field","T McKeegan","PA Reynolds","SD Hollingshead","G McCrea","North-West Warriors",6,NA,"Aidan Seaver",NA,NA
1375538,6,"Northern Knights","Leinster Lightning","male","2023",2023-06-06,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"Mardyke, Cork","Cork","Leinster Lightning","field","NA Rock","PA Reynolds","SD Hollingshead","G McCrea","Northern Knights",NA,73,"Aidan Seaver",NA,NA
1375539,6,"North-West Warriors","Leinster Lightning","male","2023",2023-06-07,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"Mardyke, Cork","Cork","Leinster Lightning","field","SC Getkate","Aidan Seaver","SD Hollingshead","G McCrea","North-West Warriors",NA,81,"PA Reynolds",NA,NA
1375540,6,"Munster Reds","Northern Knights","male","2023",2023-06-07,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"Mardyke, Cork","Cork","Munster Reds","bat","R Pretorius","Aidan Seaver","SD Hollingshead","G McCrea","Northern Knights",7,NA,"PA Reynolds","D/L",NA
1375541,6,"North-West Warriors","Northern Knights","male","2023",2023-06-08,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"Mardyke, Cork","Cork","Northern Knights","field","M Topping","Aidan Seaver","PA Reynolds","G McCrea","Northern Knights",7,NA,"SD Hollingshead",NA,NA
1375542,6,"Leinster Lightning","Munster Reds","male","2023",2023-06-08,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"Mardyke, Cork","Cork","Leinster Lightning","bat","L McCarthy","Aidan Seaver","PA Reynolds","G McCrea","Munster Reds",5,NA,"SD Hollingshead",NA,NA
1375543,6,"Munster Reds","North-West Warriors","male","2023",2023-07-14,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Bready Cricket Club, Magheramason, Bready","Bready","North-West Warriors","field",NA,"Jonathan Kennedy","M Hawthorne","G McCrea",NA,NA,NA,NA,NA,"no result"
1375549,6,"Munster Reds","Leinster Lightning","male","2023",2023-08-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",13,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","R Mudford","Aidan Seaver","PA Reynolds","W Clarke","Leinster Lightning",6,NA,NA,NA,NA
1375550,6,"North-West Warriors","Northern Knights","male","2023",2023-08-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",14,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","field","MJ Humphreys","Aidan Seaver","PA Reynolds","W Clarke","Northern Knights",5,NA,NA,NA,NA
1375553,6,"Munster Reds","North-West Warriors","male","2023",2023-08-03,"Cricket Ireland Inter-Provincial Twenty20 Trophy",17,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field","AR Frost","PA Reynolds","S Wood","Philip Thompson","Munster Reds",NA,38,"Jonathan Kennedy",NA,NA
1375554,6,"Northern Knights","Leinster Lightning","male","2023",2023-08-03,"Cricket Ireland Inter-Provincial Twenty20 Trophy",18,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","TH Tector","PA Reynolds","S Wood","Philip Thompson","Leinster Lightning",5,NA,"Jonathan Kennedy",NA,NA
1430828,6,"Munster Reds","Leinster Lightning","male","2024",2024-05-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",1,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","BJ McCarthy","Jonathan Kennedy","W Mohammed","G McCrea","Leinster Lightning",6,NA,"AA Baig",NA,NA
1430829,6,"North-West Warriors","Northern Knights","male","2024",2024-05-01,"Cricket Ireland Inter-Provincial Twenty20 Trophy",2,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","field","PR Stirling","Jonathan Kennedy","W Mohammed","G McCrea","Northern Knights",7,NA,"AA Baig",NA,NA
1430830,6,"Northern Knights","Munster Reds","male","2024",2024-05-02,"Cricket Ireland Inter-Provincial Twenty20 Trophy",3,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","field","MR Adair","Aidan Seaver","M Hawthorne","G McCrea","Northern Knights",NA,99,"W Mohammed",NA,NA
1430831,6,"North-West Warriors","Leinster Lightning","male","2024",2024-05-02,"Cricket Ireland Inter-Provincial Twenty20 Trophy",4,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","bat","A Balbirnie","Aidan Seaver","M Hawthorne","G McCrea","Leinster Lightning",8,NA,"W Mohammed",NA,NA
1430832,6,"Munster Reds","North-West Warriors","male","2024",2024-05-03,"Cricket Ireland Inter-Provincial Twenty20 Trophy",5,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","North-West Warriors","field","C Campher","R Black","W Mohammed","G McCrea","Munster Reds",NA,20,"Jareth McCready",NA,NA
1430833,6,"Northern Knights","Leinster Lightning","male","2024",2024-05-03,"Cricket Ireland Inter-Provincial Twenty20 Trophy",6,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","field","TH Tector","R Black","W Mohammed","G McCrea","Leinster Lightning",5,NA,"Jareth McCready",NA,NA
1430834,6,"Northern Knights","North-West Warriors","male","2024",2024-05-08,"Cricket Ireland Inter-Provincial Twenty20 Trophy",7,"Civil Service Cricket Club, Stormont, Belfast","Belfast","North-West Warriors","field","C Melly","GN Brolly","Jareth McCready","Philip Thompson","North-West Warriors",5,NA,"G Morrisey",NA,NA
1430835,6,"Munster Reds","Leinster Lightning","male","2024",2024-05-16,"Cricket Ireland Inter-Provincial Twenty20 Trophy",8,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Munster Reds","bat","TH Tector","Jonathan Kennedy","R Black","G McCrea","Leinster Lightning",6,NA,"M Hawthorne",NA,NA
