"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","outcome","winner","winner_wickets","winner_runs","player_of_match","winner_innings","tv_umpire","toss_uncontested","reserve_umpire","match_number"
692919,6,"Worcestershire","Surrey","male","2014",2014-06-01,"LV= County Championship","Kennington Oval, London","London","Worcestershire","bat","AG Wharf","RA Kettleborough",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692921,6,"Glamorgan","Essex","male","2014",2014-06-01,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Glamorgan","bat","G Sharp","SJ O'Shaughnessy",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692923,6,"Hampshire","Derbyshire","male","2014",2014-06-01,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Derbyshire","field","NGC Cowley","P Willey",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692925,6,"Leicestershire","Gloucestershire","male","2014",2014-06-02,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","bat","DJ Millns","MJ Saggers",NA,NA,"Gloucestershire",9,NA,NA,NA,NA,NA,NA,NA
692927,6,"Kent","Essex","male","2014",2014-06-07,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Kent","bat","NGB Cook","NJ Llong",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692783,6,"Sussex","Somerset","male","2014",2014-06-08,"LV= County Championship","County Ground, Taunton","Taunton","Sussex","bat","NGC Cowley","PJ Hartley",NA,NA,"Somerset",6,NA,NA,NA,NA,NA,NA,NA
692785,6,"Nottinghamshire","Yorkshire","male","2014",2014-06-08,"LV= County Championship","Headingley, Leeds","Leeds","Nottinghamshire","bat","AG Wharf","MJ Saggers",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692787,6,"Lancashire","Warwickshire","male","2014",2014-06-08,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Lancashire","bat","DJ Millns","MR Benson",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692867,6,"Leicestershire","Derbyshire","male","2014",2014-06-08,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","bat","GD Lloyd","RA Kettleborough",NA,NA,"Derbyshire",9,NA,NA,NA,NA,NA,NA,NA
692929,6,"Worcestershire","Hampshire","male","2014",2014-06-08,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat","MJD Bodenham","NA Mallender",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692931,6,"Gloucestershire","Surrey","male","2014",2014-06-09,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat","BV Taylor","RT Robinson",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692789,6,"Middlesex","Nottinghamshire","male","2014",2014-06-14,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","field","NA Mallender","PJ Hartley",NA,NA,"Nottinghamshire",6,NA,NA,NA,NA,NA,NA,NA
692791,6,"Northamptonshire","Warwickshire","male","2014",2014-06-15,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","bat","GD Lloyd","JW Lloyds",NA,NA,"Warwickshire",NA,105,NA,"1",NA,NA,NA,NA
692793,6,"Durham","Lancashire","male","2014",2014-06-15,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Lancashire","field","G Sharp","MJD Bodenham",NA,NA,"Durham",NA,27,NA,NA,NA,NA,NA,NA
692933,6,"Kent","Glamorgan","male","2014",2014-06-15,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Kent","bat","AG Wharf","NGC Cowley",NA,NA,"Glamorgan",NA,11,NA,"1",NA,NA,NA,NA
692935,6,"Worcestershire","Leicestershire","male","2014",2014-06-15,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","field","NJ Llong","SA Garratt",NA,NA,"Worcestershire",NA,234,NA,NA,NA,NA,NA,NA
692937,6,"Derbyshire","Surrey","male","2014",2014-06-15,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","bat","DJ Millns","MJ Saggers",NA,NA,"Surrey",10,NA,NA,NA,NA,NA,NA,NA
692939,6,"Hampshire","Essex","male","2014",2014-06-15,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Essex","field","JH Evans","RJ Bailey",NA,NA,"Hampshire",NA,470,NA,NA,NA,NA,NA,NA
692795,6,"Sussex","Yorkshire","male","2014",2014-06-16,"LV= County Championship","Arundel Castle Cricket Club Ground","Arundel","Sussex","bat","NL Bainton","RA Kettleborough",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692941,6,"Gloucestershire","Glamorgan","male","2014",2014-06-21,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat","RA Kettleborough","SA Garratt",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692797,6,"Somerset","Nottinghamshire","male","2014",2014-06-22,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Somerset","bat","MJ Saggers","P Willey",NA,NA,"Nottinghamshire",7,NA,NA,NA,NA,NA,NA,NA
692799,6,"Lancashire","Northamptonshire","male","2014",2014-06-22,"LV= County Championship","Old Trafford, Manchester","Manchester","Lancashire","bat","GD Lloyd","NGC Cowley",NA,NA,"Lancashire",NA,200,NA,"1",NA,NA,NA,NA
692801,6,"Durham","Sussex","male","2014",2014-06-22,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","bat","NL Bainton","NGB Cook",NA,NA,"Durham",NA,309,NA,NA,NA,NA,NA,NA
692803,6,"Warwickshire","Yorkshire","male","2014",2014-06-22,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","bat","JH Evans","NJ Llong",NA,NA,"Yorkshire",NA,8,NA,"1",NA,NA,NA,NA
692943,6,"Surrey","Leicestershire","male","2014",2014-06-22,"LV= County Championship","Kennington Oval, London","London","Surrey","bat","AG Wharf","NA Mallender",NA,NA,"Surrey",10,NA,NA,NA,NA,NA,NA,NA
692945,6,"Kent","Derbyshire","male","2014",2014-06-22,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Kent","bat","MJD Bodenham","RJ Bailey",NA,NA,"Kent",10,NA,NA,NA,NA,NA,NA,NA
692947,6,"Surrey","Hampshire","male","2014",2014-06-28,"LV= County Championship","Kennington Oval, London","London","Surrey","bat","RA Kettleborough","SC Gale",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
692805,6,"Lancashire","Somerset","male","2014",2014-06-29,"LV= County Championship","County Ground, Taunton","Taunton","Lancashire","bat","PJ Hartley","RJ Bailey",NA,"draw",NA,NA,NA,NA,NA,NA,NA,NA,NA
