"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TC Smith","Lancashire",2016,"Specsavers County Championship",10,133,31,374,15,24.9333333333333,2.81203007518797,53.2,623,0,1,"5/25"
"MJ Leach","Somerset",2015,"LV= County Championship",7,145.1,37,391,15,26.0666666666667,2.69345579793341,58.0666666666667,688,1,1,"7/106"
"SJ Mullaney","Nottinghamshire",2022,"County Championship",15,151.3,26,393,15,26.2,2.59405940594059,60.6,689,0,0,"3/29"
"BJ Currie","Sussex",2022,"County Championship",5,98.4,17,396,15,26.4,4.01351351351351,39.4666666666667,417,0,1,"6/93"
"J Clark","Surrey",2019,"Specsavers County Championship",8,99.4,14,398,15,26.5333333333333,3.9933110367893,39.8666666666667,429,0,1,"5/77"
"WS Davis","Leicestershire",2021,"County Championship",10,157.4,32,416,15,27.7333333333333,2.6384778012685,63.0666666666667,744,0,1,"5/66"
"NJ Dexter","Leicestershire",2018,"Specsavers County Championship",15,144,36,422,15,28.1333333333333,2.93055555555556,57.6,672,0,0,"3/17"
"SCJ Broad","Nottinghamshire",2023,"County Championship",8,127,21,426,15,28.4,3.35433070866142,50.8,552,1,0,"4/68"
"TAI Taylor","Derbyshire",2014,"LV= County Championship",11,142,31,451,15,30.0666666666667,3.17605633802817,56.8,657,0,1,"5/58"
"D Paterson","Nottinghamshire",2024,"County Championship",8,146,28,455,15,30.3333333333333,3.11643835616438,58.4,661,0,1,"5/49"
"LJ Fletcher","Nottinghamshire",2016,"Specsavers County Championship",11,183.1,48,469,15,31.2666666666667,2.56050955414013,73.2666666666667,887,1,0,"4/25"
"Haris Rauf","Yorkshire",2022,"County Championship",6,126,24,473,15,31.5333333333333,3.75396825396825,50.4,569,0,1,"5/65"
"JH Davey","Somerset",2023,"County Championship",11,127,21,473,15,31.5333333333333,3.7244094488189,50.8,574,1,0,"4/17"
"J Overton","Somerset",2015,"LV= County Championship",12,140.5,24,474,15,31.6,3.36568047337278,56.3333333333333,636,1,0,"4/37"
"AS Dale","Gloucestershire",2023,"County Championship",10,135.5,19,475,15,31.6666666666667,3.49693251533742,54.3333333333333,599,0,1,"6/41"
"OJ Hannon-Dalby","Warwickshire",2024,"County Championship",11,179.1,43,476,15,31.7333333333333,2.65674418604651,71.6666666666667,832,0,1,"5/78"
"JAR Harris","Middlesex",2017,"Specsavers County Championship",10,154.5,32,490,15,32.6666666666667,3.16469321851453,61.9333333333333,696,1,0,"4/119"
"SG Whittingham","Sussex",2017,"Specsavers County Championship",8,105.5,12,494,15,32.9333333333333,4.66771653543307,42.3333333333333,403,0,1,"5/80"
