"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"BA Langston",2020-08-31,"Northern Diamonds","Lightning",1,8,10,0,0,80,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229333,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","Lightning","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"9"
"D van Niekerk",2023-07-02,"Sunrisers","Southern Vipers",1,8,10,1,0,80,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347425,"County Ground, Chelmsford","Chelmsford","Sunrisers","Southern Vipers","Sunrisers","bat",NA,"Sunrisers",NA,"28"
"GK Davis",2022-07-02,"Central Sparks","Southern Vipers",1,8,10,0,0,80,TRUE,"Rachael Heyhoe Flint Trophy",2022,1297929,"Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Central Sparks","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","7",NA
"HJ Armitage",2023-05-06,"Northern Diamonds","The Blaze",1,8,10,2,0,80,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347417,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","The Blaze","The Blaze","field",NA,"The Blaze","4",NA
"M Rogers",2021-09-10,"Sunrisers","Central Sparks",1,8,10,0,0,80,TRUE,"Rachael Heyhoe Flint Trophy",2021,1252282,"Merchant Taylors' School Ground, Northwood","Northwood","Sunrisers","Central Sparks","Central Sparks","field",NA,"Central Sparks","6",NA
"N Brown",2021-05-29,"Thunder","Western Storm",1,8,11,2,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252265,"County Ground, Bristol","Bristol","Thunder","Western Storm","Western Storm","field",NA,"Western Storm","1",NA
"N Holland",2020-09-13,"Western Storm","Southern Vipers",2,8,11,0,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229342,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Western Storm","Southern Vipers","bat",NA,"Southern Vipers",NA,"32"
"NAJ Wraith",2023-09-16,"Western Storm","Thunder",1,8,11,1,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347456,"Old Trafford, Manchester","Manchester","Western Storm","Thunder","Western Storm","bat",NA,"Thunder","5",NA
"RA Fackrell",2022-07-02,"Central Sparks","Southern Vipers",1,8,11,0,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297929,"Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Central Sparks","Southern Vipers","Southern Vipers","field",NA,"Southern Vipers","7",NA
"SL Kalis",2023-09-13,"Northern Diamonds","Thunder",1,8,11,1,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347452,"Rookwood, Sale","Sale","Northern Diamonds","Thunder","Thunder","field",NA,"Northern Diamonds",NA,"48"
"T Graves",2024-05-06,"The Blaze","Thunder",1,8,11,2,0,72.7272727272727,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427825,"Trent Bridge, Nottingham","Nottingham","The Blaze","Thunder","Thunder","field",NA,"Thunder","1",NA
"A Campbell",2020-09-19,"Northern Diamonds","Thunder",2,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2020,1229347,"Headingley, Leeds","Leeds","Thunder","Northern Diamonds","Thunder","bat",NA,"Northern Diamonds","6",NA
"A Cranstone",2023-09-16,"South East Stars","Central Sparks",1,8,12,1,0,66.6666666666667,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347455,"Edgbaston, Birmingham","Birmingham","South East Stars","Central Sparks","Central Sparks","field",NA,"South East Stars",NA,"152"
