"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JA Woolston","Northern Diamonds",2023,"Rachael Heyhoe Flint Trophy",11,"66.0",3,302,13,23.2307692307692,4.57575757575758,30.4615384615385,254,0,1,"5/37"
"KE Bryce","The Blaze",2023,"Rachael Heyhoe Flint Trophy",11,"89.0",8,372,13,28.6153846153846,4.17977528089888,41.0769230769231,333,0,0,"2/17"
"LF Higham","The Blaze",2023,"Rachael Heyhoe Flint Trophy",12,"81.5",6,380,13,29.2307692307692,4.64358452138493,37.7692307692308,279,0,1,"5/19"
"R MacDonald-Gay","South East Stars",2024,"Rachael Heyhoe Flint Trophy",4,"33.0",4,141,12,11.75,4.27272727272727,16.5,124,1,1,"5/31"
"GL Adams","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",7,"37.5",2,173,12,14.4166666666667,4.5726872246696,18.9166666666667,120,1,0,"4/35"
"KA Levick","Northern Diamonds",2021,"Rachael Heyhoe Flint Trophy",8,"59.1",5,190,12,15.8333333333333,3.2112676056338,29.5833333333333,244,1,0,"4/34"
"EA Burns","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",5,"47.0",3,214,12,17.8333333333333,4.5531914893617,23.5,171,1,1,"5/36"
"TG Norris","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",7,"44.5",2,215,12,17.9166666666667,4.79553903345725,22.4166666666667,174,1,0,"4/45"
"BF Smith","South East Stars",2021,"Rachael Heyhoe Flint Trophy",6,"52.2",0,232,12,19.3333333333333,4.43312101910828,26.1666666666667,171,0,0,"3/46"
"TG Norris","Southern Vipers",2022,"Rachael Heyhoe Flint Trophy",8,"58.0",5,237,12,19.75,4.08620689655172,29,224,0,0,"3/29"
"J Groves","The Blaze",2023,"Rachael Heyhoe Flint Trophy",6,"45.0",1,246,12,20.5,5.46666666666667,22.5,149,0,0,"3/39"
"MK Villiers","Sunrisers",2022,"Rachael Heyhoe Flint Trophy",6,"59.5",4,262,12,21.8333333333333,4.37883008356546,29.9166666666667,210,1,0,"4/36"
"KA Levick","Northern Diamonds",2022,"Rachael Heyhoe Flint Trophy",7,"65.5",0,277,12,23.0833333333333,4.20759493670886,32.9166666666667,238,1,0,"4/41"
"LCN Smith","Northern Diamonds",2021,"Rachael Heyhoe Flint Trophy",8,"73.0",10,286,12,23.8333333333333,3.91780821917808,36.5,279,0,1,"5/34"
"KL Coppack","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",12,"63.0",4,341,12,28.4166666666667,5.41269841269841,31.5,239,0,0,"3/24"
"Sophia Smale","Western Storm",2023,"Rachael Heyhoe Flint Trophy",11,"78.5",4,344,12,28.6666666666667,4.36363636363636,39.4166666666667,282,1,0,"4/34"
"LE Scott","Northern Diamonds",2023,"Rachael Heyhoe Flint Trophy",13,"84.3",2,381,12,31.75,4.50887573964497,42.25,336,0,0,"3/33"
"MK Villiers","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",11,"72.2",2,404,12,33.6666666666667,5.5852534562212,36.1666666666667,231,0,0,"3/42"
"HJ Armitage","Northern Diamonds",2022,"Rachael Heyhoe Flint Trophy",6,"32.2",2,168,11,15.2727272727273,5.19587628865979,17.6363636363636,105,0,0,"3/37"
"KL Gordon","The Blaze",2024,"Rachael Heyhoe Flint Trophy",6,"51.0",7,199,11,18.0909090909091,3.90196078431373,27.8181818181818,203,1,0,"4/40"
"FR Davies","South East Stars",2023,"Rachael Heyhoe Flint Trophy",7,"47.0",8,207,11,18.8181818181818,4.40425531914894,25.6363636363636,183,0,0,"3/27"
"PJ Scholfield","Southern Vipers",2022,"Rachael Heyhoe Flint Trophy",7,"46.4",2,221,11,20.0909090909091,4.73571428571429,25.4545454545455,160,0,0,"3/29"
"FMK Morris","Western Storm",2020,"Rachael Heyhoe Flint Trophy",6,"59.1",4,240,11,21.8181818181818,4.05633802816901,32.2727272727273,216,0,1,"5/26"
"HL Baker","Central Sparks",2024,"Rachael Heyhoe Flint Trophy",6,"52.0",3,242,11,22,4.65384615384615,28.3636363636364,170,0,1,"5/45"
"EA Burns","Northern Diamonds",2024,"Rachael Heyhoe Flint Trophy",6,"60.0",1,248,11,22.5454545454545,4.13333333333333,32.7272727272727,199,0,0,"3/40"
"L Filer","Western Storm",2022,"Rachael Heyhoe Flint Trophy",6,"49.0",2,249,11,22.6363636363636,5.08163265306122,26.7272727272727,180,0,0,"3/35"
"GM Hennessy","Western Storm",2020,"Rachael Heyhoe Flint Trophy",6,"53.1",2,257,11,23.3636363636364,4.83385579937304,29,182,1,0,"4/31"
"EL Arlott","Central Sparks",2021,"Rachael Heyhoe Flint Trophy",7,"55.0",5,261,11,23.7272727272727,4.74545454545455,30,211,0,1,"5/29"
"GE Hall","Northern Diamonds",2023,"Rachael Heyhoe Flint Trophy",8,"47.4",0,265,11,24.0909090909091,5.55944055944056,26,139,2,0,"4/33"
"RA Fackrell","Central Sparks",2021,"Rachael Heyhoe Flint Trophy",8,"47.0",0,265,11,24.0909090909091,5.63829787234043,25.6363636363636,140,1,0,"4/34"
"GL Adams","Southern Vipers",2022,"Rachael Heyhoe Flint Trophy",8,"59.3",0,270,11,24.5454545454545,4.53781512605042,32.4545454545455,177,0,0,"3/34"
"EL Arlott","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",9,"72.4",2,298,11,27.0909090909091,4.10091743119266,39.6363636363636,281,0,0,"3/41"
"TG Norris","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",8,"68.5",4,331,11,30.0909090909091,4.80871670702179,37.5454545454545,247,1,0,"4/14"
"A Griffiths","Western Storm",2023,"Rachael Heyhoe Flint Trophy",10,"61.1",1,346,11,31.4545454545455,5.6566757493188,33.3636363636364,187,0,0,"2/25"
