"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"DR Sams",2023-08-19,"Birmingham Phoenix","Trent Rockets",2,"4.0",0,17,3,4.25,7,"The Hundred Men's Competition",2023,1355630,"Trent Bridge, Nottingham","Nottingham","Trent Rockets","Birmingham Phoenix","Birmingham Phoenix","field","M Carter","Trent Rockets",NA,"46"
"L Wood",2022-08-15,"Birmingham Phoenix","Trent Rockets",2,"4.0",0,17,3,4.25,13,"The Hundred Men's Competition",2022,1299185,"Edgbaston, Birmingham","Birmingham","Trent Rockets","Birmingham Phoenix","Birmingham Phoenix","field","MM Ali","Birmingham Phoenix","7",NA
"M Carter",2021-07-29,"London Spirit","Trent Rockets",2,"4.0",0,17,3,4.25,11,"The Hundred Men's Competition",2021,1252675,"Lord's, London","London","Trent Rockets","London Spirit","London Spirit","field","DJM Short","Trent Rockets",NA,"7"
"BAC Howell",2022-08-28,"Manchester Originals","Birmingham Phoenix",1,"4.0",0,18,3,4.5,5,"The Hundred Men's Competition",2022,1299198,"Edgbaston, Birmingham","Birmingham","Manchester Originals","Birmingham Phoenix","Manchester Originals","bat","TW Hartley","Manchester Originals",NA,"79"
"CJ Jordan",2023-08-01,"Trent Rockets","Southern Brave",1,"4.0",0,18,3,4.5,12,"The Hundred Men's Competition",2023,1355606,"Trent Bridge, Nottingham","Nottingham","Trent Rockets","Southern Brave","Southern Brave","field","SR Hain","Trent Rockets",NA,"6"
"GHS Garton",2021-08-20,"Trent Rockets","Southern Brave",1,"4.0",0,18,3,4.5,10,"The Hundred Men's Competition",2021,1252698,"Kennington Oval, London","London","Trent Rockets","Southern Brave","Southern Brave","field","GHS Garton","Southern Brave","7",NA
"KW Richardson",2022-08-10,"Southern Brave","Birmingham Phoenix",2,"3.0",0,19,3,6.33333333333333,7,"The Hundred Men's Competition",2022,1299178,"Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","Southern Brave","Southern Brave","field","WCF Smeed","Birmingham Phoenix",NA,"53"
"L Gregory",2023-08-01,"Southern Brave","Trent Rockets",2,"3.0",0,19,3,6.33333333333333,6,"The Hundred Men's Competition",2023,1355606,"Trent Bridge, Nottingham","Nottingham","Trent Rockets","Southern Brave","Southern Brave","field","SR Hain","Trent Rockets",NA,"6"
"MJ Henry",2024-08-01,"London Spirit","Welsh Fire",2,"4.0",0,19,3,4.75,11,"The Hundred Men's Competition",2024,1417799,"Lord's, London","London","Welsh Fire","London Spirit","London Spirit","field","LA Dawson","London Spirit","3",NA
"BA Raine",2021-08-03,"London Spirit","Northern Superchargers",2,"4.0",0,20,3,5,7,"The Hundred Men's Competition",2021,1252682,"Lord's, London","London","Northern Superchargers","London Spirit","Northern Superchargers","bat","DJ Willey","Northern Superchargers",NA,"63"
