"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1252731,5,"Welsh Fire","London Spirit","female","2021",2021-08-18,"The Hundred Women's Competition","32","Sophia Gardens, Cardiff","Cardiff","London Spirit","field","DR Gibson","DJ Millns","SM Bartlett","Y Dolphin-Cooper","MJ Saggers","SJ Davis","London Spirit",7,NA,NA,NA
1252732,5,"Oval Invincibles","Birmingham Phoenix","female","2021",2021-08-20,"The Hundred Women's Competition",NA,"Kennington Oval, London","London","Birmingham Phoenix","field","NE Farrant","AY Harris","RJ Bailey","SM Bartlett","NL Bainton","TJ Boon","Oval Invincibles",NA,20,NA,NA
1252733,5,"Oval Invincibles","Southern Brave","female","2021",2021-08-21,"The Hundred Women's Competition",NA,"Lord's, London","London","Southern Brave","field","M Kapp","SJ O'Shaughnessy","S Redfern","J Naeem","NJ Llong","SJ Davis","Oval Invincibles",NA,48,NA,NA
1299145,5,"Northern Superchargers","Oval Invincibles","female","2022",2022-08-11,"The Hundred Women's Competition","1","Kennington Oval, London","London","Oval Invincibles","field","L Winfield-Hill","Rob White","SM Bartlett","S McLelland","NJ Llong","SJ Davis","Oval Invincibles",9,NA,NA,NA
1299146,5,"London Spirit","Southern Brave","female","2022",2022-08-12,"The Hundred Women's Competition","2","The Rose Bowl, Southampton","Southampton","London Spirit","bat","DN Wyatt","S Redfern","Tom Lungley","CA Polosak","PK Baldwin","SG Hinks","Southern Brave",6,NA,NA,NA
1299147,5,"Trent Rockets","Manchester Originals","female","2022",2022-08-13,"The Hundred Women's Competition","3","Old Trafford, Manchester","Manchester","Manchester Originals","field","A King","AY Harris","BV Taylor","J Ibbotson","GD Lloyd","SJ Davis","Trent Rockets",NA,43,NA,NA
1299148,5,"Birmingham Phoenix","Welsh Fire","female","2022",2022-08-13,"The Hundred Women's Competition","4","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","EA Perry","CA Polosak","ID Blackwell","G Bambury","AG Wharf","Phil Whitticase","Birmingham Phoenix",NA,19,NA,NA
1299149,5,"Northern Superchargers","London Spirit","female","2022",2022-08-14,"The Hundred Women's Competition","5","Headingley, Leeds","Leeds","London Spirit","field","BAM Heath","CA Polosak","N Pratt","S McLelland","SJ O'Shaughnessy","SJ Davis","Northern Superchargers",NA,5,NA,NA
1299150,5,"Southern Brave","Oval Invincibles","female","2022",2022-08-14,"The Hundred Women's Competition","6","Kennington Oval, London","London","Oval Invincibles","field","GL Adams","BJ Debenham","SM Bartlett","J Ibbotson","NL Bainton","H Pack","Southern Brave",NA,12,NA,NA
1299151,5,"Trent Rockets","Birmingham Phoenix","female","2022",2022-08-15,"The Hundred Women's Competition","7","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","AE Jones","AY Harris","PK Baldwin","J Pratt","SJ O'Shaughnessy","H Pack","Birmingham Phoenix",8,NA,NA,NA
1299152,5,"Manchester Originals","Welsh Fire","female","2022",2022-08-16,"The Hundred Women's Competition","8","Old Trafford, Manchester","Manchester","Welsh Fire","field","DJS Dottin","J Naeem","Mark Newell","S McLelland","GD Lloyd","Phil Whitticase","Manchester Originals",NA,11,NA,NA
1299153,5,"Trent Rockets","Oval Invincibles","female","2022",2022-08-17,"The Hundred Women's Competition","9","Trent Bridge, Nottingham","Nottingham","Oval Invincibles","field","SW Bates","James Middlebrook","S Redfern","J Ibbotson","MJ Saggers","Wayne Noon","Oval Invincibles",5,NA,NA,NA
1299154,5,"Southern Brave","Manchester Originals","female","2022",2022-08-18,"The Hundred Women's Competition","10","The Rose Bowl, Southampton","Southampton","Manchester Originals","field","A Wellington","Hassan Adnan","J Naeem","G Bambury","NL Bainton","Phil Whitticase","Southern Brave",NA,9,NA,NA
1299155,5,"Birmingham Phoenix","Northern Superchargers","female","2022",2022-08-19,"The Hundred Women's Competition","11","Edgbaston, Birmingham","Birmingham","Northern Superchargers","field","S Molineux","AY Harris","PK Baldwin","J Ibbotson","M Burns","PM Such","Birmingham Phoenix",NA,5,NA,NA
1299156,5,"Trent Rockets","London Spirit","female","2022",2022-08-20,"The Hundred Women's Competition","12","Trent Bridge, Nottingham","Nottingham","London Spirit","field","BF Smith","NL Bainton","SM Bartlett","S McLelland","DJ Millns","PM Such","Trent Rockets",NA,18,NA,NA
1299157,5,"Manchester Originals","Northern Superchargers","female","2022",2022-08-21,"The Hundred Women's Competition","13","Headingley, Leeds","Leeds","Manchester Originals","bat","L Wolvaardt","AY Harris","Chris Watts","S McLelland",NA,"H Pack","Northern Superchargers",7,NA,NA,NA
1299158,5,"Southern Brave","Welsh Fire","female","2022",2022-08-22,"The Hundred Women's Competition","14","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","field","SIR Dunkley","J Naeem","Mark Newell","G Bambury","NL Bainton","WR Smith","Southern Brave",NA,14,NA,NA
1299159,5,"Birmingham Phoenix","Oval Invincibles","female","2022",2022-08-23,"The Hundred Women's Competition","15","Kennington Oval, London","London","Oval Invincibles","field","A Capsey","PK Baldwin","SM Bartlett","J Pratt","NL Bainton","H Pack","Oval Invincibles",8,NA,NA,NA
1299160,5,"Welsh Fire","London Spirit","female","2022",2022-08-24,"The Hundred Women's Competition","16","Lord's, London","London","Welsh Fire","bat","BL Mooney","AY Harris","BV Taylor","J Pratt","GD Lloyd","H Pack","London Spirit",8,NA,NA,NA
1299161,5,"Trent Rockets","Southern Brave","female","2022",2022-08-25,"The Hundred Women's Competition","17","The Rose Bowl, Southampton","Southampton","Southern Brave","field","LK Bell","N Pratt","SM Bartlett","S McLelland","S Redfern","WR Smith","Southern Brave",10,NA,NA,NA
1299162,5,"Welsh Fire","Northern Superchargers","female","2022",2022-08-26,"The Hundred Women's Competition","18","Sophia Gardens, Cardiff","Cardiff","Welsh Fire","bat","NJ Carey","J Naeem","NL Bainton","J Pratt","AY Harris","H Pack","Welsh Fire",NA,11,NA,NA
1299163,5,"London Spirit","Oval Invincibles","female","2022",2022-08-27,"The Hundred Women's Competition","19","Lord's, London","London","Oval Invincibles","field","MK Villiers","James Middlebrook","S Redfern","J Ibbotson","SM Bartlett","SG Hinks","Oval Invincibles",9,NA,NA,NA
1299164,5,"Manchester Originals","Birmingham Phoenix","female","2022",2022-08-28,"The Hundred Women's Competition","20","Edgbaston, Birmingham","Birmingham","Birmingham Phoenix","field","S Ecclestone","Chris Watts","J Naeem","G Bambury","DJ Millns","Wayne Noon","Manchester Originals",NA,18,NA,NA
1299165,5,"Welsh Fire","Trent Rockets","female","2022",2022-08-29,"The Hundred Women's Competition","21","Trent Bridge, Nottingham","Nottingham","Welsh Fire","bat","EJ Villani","NL Bainton","S Redfern","S McLelland","SJ O'Shaughnessy","DA Cosker","Trent Rockets",8,NA,NA,NA
1299166,5,"Birmingham Phoenix","London Spirit","female","2022",2022-08-30,"The Hundred Women's Competition","22","Lord's, London","London","London Spirit","field","ND Dattani","AY Harris","BJ Debenham","J Ibbotson","PK Baldwin","PM Such","London Spirit",4,NA,NA,NA
