"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"DJ Vilas",2021,"The Hundred Men's Competition","Northern Superchargers",5,95,75,126.666666666667,31.6666666666667,8,1,2,0,0,36
"DJ Willey",2021,"The Hundred Men's Competition","Northern Superchargers",7,132,85,155.294117647059,22,6,9,1,0,1,81
"DJ Willey",2022,"The Hundred Men's Competition","Northern Superchargers",6,90,84,107.142857142857,18,8,3,1,0,0,29
"DJ Willey",2023,"The Hundred Men's Competition","Welsh Fire",6,78,69,113.04347826087,26,4,2,3,0,0,31
"DJ Worrall",2023,"The Hundred Men's Competition","London Spirit",1,0,1,0,NA,0,0,1,0,0,0
"DJM Short",2021,"The Hundred Men's Competition","Trent Rockets",9,156,129,120.93023255814,26,20,2,3,0,2,69
"DL Lloyd",2021,"The Hundred Men's Competition","Welsh Fire",2,6,7,85.7142857142857,3,0,1,0,0,0,6
"DMW Rawlins",2021,"The Hundred Men's Competition","Southern Brave",1,7,7,100,7,1,0,0,0,0,7
"DP Conway",2021,"The Hundred Men's Competition","Southern Brave",4,97,86,112.790697674419,24.25,10,1,0,0,0,34
"DP Conway",2023,"The Hundred Men's Competition","Southern Brave",9,215,177,121.468926553672,35.8333333333333,22,3,3,0,2,54
"DR Briggs",2021,"The Hundred Men's Competition","Southern Brave",2,8,9,88.8888888888889,Inf,1,0,2,0,0,5
"DR Briggs",2022,"The Hundred Men's Competition","Oval Invincibles",3,32,15,213.333333333333,32,4,1,2,0,0,29
"DR Mousley",2022,"The Hundred Men's Competition","Birmingham Phoenix",2,4,6,66.6666666666667,2,0,0,0,0,0,2
"DR Mousley",2023,"The Hundred Men's Competition","Birmingham Phoenix",5,50,49,102.040816326531,10,4,1,0,0,0,15
"DR Sams",2022,"The Hundred Men's Competition","Trent Rockets",5,105,55,190.909090909091,35,8,7,2,0,1,55
