"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
692909,6,"Gloucestershire","Kent","male","2014",2014-05-18,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat",NA,"G Sharp","IJ Gould",NA,NA,"Gloucestershire",290,NA,NA,NA,NA,NA,NA
692765,6,"Durham","Somerset","male","2014",2014-05-19,"LV= County Championship","County Ground, Taunton","Taunton","Durham","bat",NA,"GD Lloyd","NGB Cook",NA,NA,"Somerset",NA,NA,NA,7,NA,NA,NA
692767,6,"Nottinghamshire","Durham","male","2014",2014-05-25,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Nottinghamshire","bat",NA,"NA Mallender","NL Bainton",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692769,6,"Lancashire","Yorkshire","male","2014",2014-05-25,"LV= County Championship","Headingley, Leeds","Leeds","Yorkshire","field",NA,"P Willey","IJ Gould",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692771,6,"Somerset","Warwickshire","male","2014",2014-05-25,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","field",NA,"SC Gale","RK Illingworth",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692911,6,"Kent","Worcestershire","male","2014",2014-05-25,"LV= County Championship","Nevill Ground, Tunbridge Wells","Tunbridge Wells","Kent","bat",NA,"SJ O'Shaughnessy","JW Lloyds",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692913,6,"Leicestershire","Glamorgan","male","2014",2014-05-25,"LV= County Championship","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field",NA,"NGC Cowley","MJD Bodenham",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692915,6,"Derbyshire","Gloucestershire","male","2014",2014-05-25,"LV= County Championship","County Ground, Derby","Derby","Gloucestershire","field",NA,"JH Evans","PJ Hartley",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692917,6,"Essex","Surrey","male","2014",2014-05-25,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Essex","bat",NA,"MJ Saggers","MR Benson",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692775,6,"Yorkshire","Northamptonshire","male","2014",2014-05-31,"LV= County Championship","County Ground, Northampton","Northampton","Northamptonshire","field",NA,"PJ Hartley","NGB Cook",NA,NA,"Yorkshire",271,NA,NA,NA,NA,NA,NA
