"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
575186,6,"Warriors","Titans","male","2012/13",2013-04-03,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Titans","field","AC Thomas","AT Holdstock","S George","LJ Willemse","IL Howell","SB Lambson","Titans",4,NA,NA,NA,NA
575187,6,"Lions","Titans","male","2012/13",2013-04-07,"Ram Slam T20 Challenge",NA,"New Wanderers Stadium, Johannesburg","Johannesburg","Lions","bat","AM Phangiso","AT Holdstock","S George","DJ Smith","KH Hurter","A Barnes","Lions",NA,30,NA,NA,NA
652265,6,"Dolphins","Titans","male","2013/14",2014-01-05,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Titans","field","VB van Jaarsveld","AT Holdstock","EC Hendrikse","CD Isaacs","BP Jele","SB Lambson","Dolphins",NA,8,NA,NA,NA
652303,6,"Warriors","Lions","male","2013/14",2014-01-05,"Ram Slam T20 Challenge",NA,"Newlands, Cape Town","Cape Town","Warriors","bat","RT Bailey","BP Jele","EC Hendrikse","CD Isaacs","AT Holdstock","SB Lambson","Warriors",NA,26,NA,NA,NA
652257,6,"Knights","Warriors","male","2013/14",2014-01-08,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Knights","bat","L Mbane","A Paleker","KH Hurter","LJ Willemse","IL Howell","A Barnes","Warriors",5,NA,NA,NA,NA
652261,6,"Cape Cobras","Titans","male","2013/14",2014-01-09,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Titans","field","RE van der Merwe","AT Holdstock","GH Pienaar","A Paleker","BP Jele","A Barnes","Titans",6,NA,"D/L",NA,NA
652259,6,"Knights","Dolphins","male","2013/14",2014-01-10,"Ram Slam T20 Challenge",NA,"Diamond Oval, Kimberley","Kimberley","Dolphins","field","KJ Abbott","BM White","KH Hurter","RN Hendricks","MW Brown","S Wadvalla","Dolphins",4,NA,NA,NA,NA
652263,6,"Cape Cobras","Warriors","male","2013/14",2014-01-11,"Ram Slam T20 Challenge",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Cape Cobras","bat","DJ Jacobs","A Paleker","IL Howell","Stephen Harris","BG Jerling","CJ Mitchley","Cape Cobras",NA,18,NA,NA,NA
652267,6,"Lions","Knights","male","2013/14",2014-01-12,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Knights","field","D Elgar","KH Hurter","MW Brown","BDA Westraadt","BM White","S Wadvalla","Knights",9,NA,NA,NA,NA
652269,6,"Cape Cobras","Lions","male","2013/14",2014-01-15,"Ram Slam T20 Challenge",NA,"Boland Park, Paarl","Paarl","Lions","field","RJ Peterson","BG Jerling","IL Howell","EC Hendrikse",NA,"A Barnes","Cape Cobras",NA,15,NA,NA,NA
652273,6,"Cape Cobras","Knights","male","2013/14",2014-01-17,"Ram Slam T20 Challenge",NA,"Chevrolet Park, Bloemfontein","Bloemfontein","Cape Cobras","bat","RE Levi","AT Holdstock","BP Jele","BDA Westraadt",NA,"S Wadvalla","Cape Cobras",NA,80,NA,NA,NA
652275,6,"Warriors","Dolphins","male","2013/14",2014-01-17,"Ram Slam T20 Challenge",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Dolphins","field","MN van Wyk","A Paleker","BG Jerling","CL Joubert",NA,"A Barnes",NA,NA,NA,NA,"tie",NA
652277,6,"Titans","Lions","male","2013/14",2014-01-17,"Ram Slam T20 Challenge",NA,"Senwes Park, Potchefstroom","Potchefstroom","Lions","field","M Morkel","EC Hendrikse","IL Howell","R Ellis","GH Pienaar","CJ Mitchley","Titans",NA,10,NA,NA,NA
652279,6,"Warriors","Lions","male","2013/14",2014-01-19,"Ram Slam T20 Challenge",NA,"Buffalo Park, East London","East London","Warriors","bat","GH Bodi","BG Jerling","IL Howell","LJ Willemse",NA,"A Barnes",NA,NA,NA,NA,"tie",NA
652281,6,"Cape Cobras","Dolphins","male","2013/14",2014-01-19,"Ram Slam T20 Challenge",NA,"Kingsmead, Durban","Durban","Cape Cobras","bat","JP Duminy","AT Holdstock","BM White","LB Gcuma","GH Pienaar","S Wadvalla","Cape Cobras",NA,25,NA,NA,NA
652283,6,"Titans","Knights","male","2013/14",2014-01-19,"Ram Slam T20 Challenge",NA,"SuperSport Park, Centurion","Centurion","Knights","field","D Elgar","EC Hendrikse","MW Brown","BP Jele","A Paleker","SB Lambson","Knights",7,NA,NA,NA,NA
