"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"K Brazell",2024-03-01,"South Australia","New South Wales",2,20,77,3,0,25.974025974026,0,10,0,0,20,"Sheffield Shield","2023/24",1391794,"Cricket Central, Sydney","Sydney","South Australia","New South Wales","New South Wales","field","DP Hughes",NA,NA,NA
"PM Nevill",2017-10-27,"New South Wales","South Australia",1,20,67,2,0,29.8507462686567,0,20,0,0,20,"Sheffield Shield","2017/18",1118866,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","MA Starc","New South Wales","6",NA
"GS Sandhu",2022-02-18,"Queensland","Victoria",2,20,66,2,0,30.3030303030303,0,10,0,0,19,"Sheffield Shield","2021/22",1270453,"Junction Oval, Melbourne","Melbourne","Queensland","Victoria","Queensland","bat","NJ Maddinson",NA,NA,NA
"DJM Short",2019-03-20,"Western Australia","Queensland",2,20,62,3,0,32.258064516129,0,10,0,0,18,"Sheffield Shield","2018/19",1150137,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","AM Hardie","Western Australia",NA,"136"
"J Weatherald",2020-02-24,"South Australia","New South Wales",2,20,60,3,0,33.3333333333333,0,10,0,0,20,"Marsh Sheffield Shield","2019/20",1196135,"Bankstown Oval, Sydney","Sydney","New South Wales","South Australia","New South Wales","bat","DP Hughes","New South Wales",NA,"133"
"JS Lehmann",2022-10-31,"South Australia","New South Wales",1,20,60,2,0,33.3333333333333,0,20,0,0,20,"Sheffield Shield","2022/23",1322403,"North Dalton Park, Wollongong","Wollongong","New South Wales","South Australia","New South Wales","bat","WA Agar",NA,NA,NA
"UT Khawaja",2021-10-07,"Queensland","Tasmania",1,20,60,3,0,33.3333333333333,0,20,0,0,20,"Sheffield Shield","2021/22",1270435,"Karen Rolton Oval, Adelaide","Adelaide","Tasmania","Queensland","Tasmania","bat","TP Ward",NA,NA,NA
"M Kelly",2020-02-14,"Western Australia","South Australia",2,20,59,3,0,33.8983050847458,0,10,0,0,12,"Marsh Sheffield Shield","2019/20",1196133,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DJ Worrall","South Australia",NA,"109"
"SPD Smith",2021-02-17,"New South Wales","Victoria",2,20,59,0,0,33.8983050847458,0,10,0,0,13,"Sheffield Shield","2020/21",1244512,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","NJ Maddinson","Victoria","4",NA
"DJM Moody",2020-02-14,"Western Australia","South Australia",2,20,58,2,0,34.4827586206897,1,20,0,0,15,"Marsh Sheffield Shield","2019/20",1196133,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DJ Worrall","South Australia",NA,"109"
"SM Whiteman",2023-03-23,"Western Australia","Victoria",2,20,58,2,0,34.4827586206897,0,10,0,0,20,"Sheffield Shield","2022/23",1322426,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","AJ Turner","Western Australia","9",NA
"JJ Peirson",2022-11-10,"Queensland","Victoria",1,20,57,3,0,35.0877192982456,0,20,0,0,20,"Sheffield Shield","2022/23",1322405,"Allan Border Field, Brisbane","Brisbane","Victoria","Queensland","Victoria","bat","MG Neser","Queensland",NA,"10"
"C Green",2021-10-17,"Western Australia","Tasmania",2,20,54,3,0,37.037037037037,0,10,0,0,13,"Sheffield Shield","2021/22",1270452,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","L Neil-Smith","Tasmania","3",NA
"DP Hughes",2023-11-06,"New South Wales","Western Australia",2,20,54,2,0,37.037037037037,1,20,0,0,20,"Sheffield Shield","2023/24",1391780,"Sydney Cricket Ground","Sydney","Western Australia","New South Wales","New South Wales","field","O Davies","New South Wales","10",NA
"TP Ward",2021-10-17,"Tasmania","Western Australia",2,20,54,2,1,37.037037037037,0,10,0,0,20,"Sheffield Shield","2021/22",1270452,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","L Neil-Smith","Tasmania","3",NA
"NT Ellis",2023-02-11,"Tasmania","New South Wales",1,20,53,3,0,37.7358490566038,0,20,0,0,20,"Sheffield Shield","2022/23",1322416,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","DP Hughes",NA,NA,NA
"JD Wildermuth",2018-10-16,"Queensland","Tasmania",2,20,52,3,0,38.4615384615385,0,10,0,0,10,"Sheffield Shield","2018/19",1150109,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","JM Bird","Tasmania",NA,"246"
"JD Wildermuth",2020-02-14,"Queensland","Tasmania",1,20,47,3,0,42.5531914893617,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196134,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","MG Neser","Queensland","10",NA
"MS Wade",2024-03-11,"Tasmania","South Australia",2,20,47,2,0,42.5531914893617,0,10,0,0,20,"Sheffield Shield","2023/24",1391797,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","NA McSweeney","South Australia",NA,"134"
"DJ Worrall",2021-04-03,"South Australia","Victoria",2,20,45,3,0,44.4444444444444,1,20,0,0,12,"Sheffield Shield","2020/21",1251084,"Junction Oval, Melbourne","Melbourne","South Australia","Victoria","South Australia","bat","JM Holland",NA,NA,NA
"W Sutherland",2021-03-15,"Victoria","Queensland",1,20,45,3,0,44.4444444444444,0,20,0,0,20,"Sheffield Shield","2020/21",1244504,"Allan Border Field, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","MS Harris",NA,NA,NA
"JP Inglis",2018-11-16,"Western Australia","South Australia",2,20,42,4,0,47.6190476190476,1,20,0,0,18,"Sheffield Shield","2018/19",1150118,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","SE Marsh","Western Australia","5",NA
"TM Head",2022-10-31,"South Australia","New South Wales",2,20,42,2,0,47.6190476190476,1,20,0,0,12,"Sheffield Shield","2022/23",1322403,"North Dalton Park, Wollongong","Wollongong","New South Wales","South Australia","New South Wales","bat","WA Agar",NA,NA,NA
"BAD Manenti",2022-10-31,"South Australia","New South Wales",1,20,40,2,0,50,0,20,0,0,20,"Sheffield Shield","2022/23",1322403,"North Dalton Park, Wollongong","Wollongong","New South Wales","South Australia","New South Wales","bat","WA Agar",NA,NA,NA
"MS Harris",2023-03-23,"Victoria","Western Australia",2,20,38,3,0,52.6315789473684,0,10,0,0,19,"Sheffield Shield","2022/23",1322426,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","AJ Turner","Western Australia","9",NA
"JM Bird",2022-12-01,"Tasmania","South Australia",2,20,37,1,0,54.0540540540541,0,10,0,0,13,"Sheffield Shield","2022/23",1322412,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","NA McSweeney","South Australia",NA,"208"
"NT Ellis",2020-03-06,"Tasmania","New South Wales",1,20,37,2,0,54.0540540540541,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196138,"Bellerive Oval, Hobart","Hobart","New South Wales","Tasmania","Tasmania","field","NT Ellis","Tasmania","9",NA
"NM Lyon",2020-02-14,"New South Wales","Victoria",2,20,36,3,0,55.5555555555556,0,10,0,0,19,"Marsh Sheffield Shield","2019/20",1196132,"Sydney Cricket Ground","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"112"
"MT Steketee",2020-02-14,"Queensland","Tasmania",1,20,34,3,0,58.8235294117647,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196134,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","MG Neser","Queensland","10",NA
"CJ Gannon",2020-03-06,"Queensland","Western Australia",1,20,33,3,0,60.6060606060606,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196140,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","SM Whiteman",NA,NA,NA
"JA Burns",2021-04-15,"Queensland","New South Wales",1,20,33,2,0,60.6060606060606,0,20,0,0,20,"Sheffield Shield","2020/21",1244521,"Allan Border Field, Brisbane","Brisbane","New South Wales","Queensland","New South Wales","bat","M Labuschagne","Queensland",NA,"33"
"SA Abbott",2022-12-01,"New South Wales","Victoria",2,20,33,3,0,60.6060606060606,0,10,0,0,19,"Sheffield Shield","2022/23",1322411,"Junction Oval, Melbourne","Melbourne","Victoria","New South Wales","New South Wales","field","W Sutherland","Victoria",NA,"69"
"JD Wildermuth",2023-03-02,"Queensland","South Australia",2,20,32,4,0,62.5,1,20,0,0,15,"Sheffield Shield","2022/23",1322421,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
"HWR Cartwright",2022-11-11,"Western Australia","South Australia",1,20,31,2,1,64.5161290322581,0,20,0,0,20,"Sheffield Shield","2022/23",1322406,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","SM Whiteman","Western Australia",NA,"28"
"WA Agar",2019-10-18,"South Australia","Queensland",2,20,30,3,0,66.6666666666667,2,Inf,0,0,20,"Marsh Sheffield Shield","2019/20",1196118,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","South Australia","bat","M Labuschagne","Queensland","4",NA
"SA Abbott",2019-10-10,"New South Wales","Queensland",1,20,28,3,0,71.4285714285714,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196115,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","Queensland","bat","HNA Conway","New South Wales","5",NA
"CJ Rocchiccioli",2024-03-01,"Western Australia","Queensland",1,20,24,4,0,83.3333333333333,1,Inf,0,0,20,"Sheffield Shield","2023/24",1391796,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","JP Inglis","Western Australia",NA,"146"
"JR Doran",2021-10-17,"Tasmania","Western Australia",2,20,24,2,0,83.3333333333333,0,10,0,0,19,"Sheffield Shield","2021/22",1270452,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","L Neil-Smith","Tasmania","3",NA
"MP Kuhnemann",2021-11-23,"Queensland","South Australia",1,20,24,3,0,83.3333333333333,1,Inf,0,0,20,"Sheffield Shield","2021/22",1270441,"Karen Rolton Oval, Adelaide","Adelaide","Queensland","South Australia","South Australia","field","MP Kuhnemann","Queensland","8",NA
"PM Siddle",2022-10-29,"Tasmania","Victoria",1,20,20,3,0,100,0,20,0,0,20,"Sheffield Shield","2022/23",1322402,"Bellerive Oval, Hobart","Hobart","Victoria","Tasmania","Tasmania","field","JC Silk",NA,NA,NA
"GT Bell",2023-11-18,"Tasmania","New South Wales",1,20,16,3,1,125,0,20,0,0,20,"Sheffield Shield","2023/24",1391784,"Bellerive Oval, Hobart","Hobart","New South Wales","Tasmania","Tasmania","field","BM Hope","Tasmania",NA,"1"
"MJ Swepson",2019-11-02,"Queensland","Western Australia",1,20,15,4,0,133.333333333333,0,20,0,0,20,"Marsh Sheffield Shield","2019/20",1196122,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"MJ Swepson",2020-10-30,"Queensland","New South Wales",2,20,15,4,0,133.333333333333,1,20,0,0,16,"Sheffield Shield","2020/21",1233448,"Karen Rolton Oval, Adelaide","Adelaide","Queensland","New South Wales","New South Wales","field","MJ Swepson","New South Wales","1",NA
"NJ Maddinson",2022-03-31,"Victoria","Western Australia",1,20,12,5,0,166.666666666667,0,20,0,0,20,"Sheffield Shield","2021/22",1270465,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Victoria","Victoria","field","SM Whiteman",NA,NA,NA
"JM Mennie",2018-03-14,"South Australia","Western Australia",2,19,97,2,0,19.5876288659794,1,19,0,0,12,"Sheffield Shield","2017/18",1118893,"Gliderol Stadium, Adelaide","Adelaide","Western Australia","South Australia","South Australia","field","HWR Cartwright","Western Australia",NA,"241"
"BE Street",2022-02-09,"Queensland","New South Wales",2,19,92,3,0,20.6521739130435,0,9.5,0,0,14,"Sheffield Shield","2021/22",1270459,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","CP Tremain","New South Wales","2",NA
"BR McDermott",2022-12-01,"Tasmania","South Australia",2,19,70,1,0,27.1428571428571,0,9.5,0,0,17,"Sheffield Shield","2022/23",1322412,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","NA McSweeney","South Australia",NA,"208"
"JR Doran",2023-03-02,"Tasmania","Western Australia",2,19,70,3,0,27.1428571428571,0,9.5,0,0,18,"Sheffield Shield","2022/23",1322422,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","CH Stobo","Western Australia","9",NA
"NCR Larkin",2019-10-10,"New South Wales","Queensland",2,19,67,3,0,28.3582089552239,0,9.5,0,0,12,"Marsh Sheffield Shield","2019/20",1196115,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","Queensland","bat","HNA Conway","New South Wales","5",NA
"T Kelly",2022-11-20,"South Australia","Queensland",1,19,64,0,0,29.6875,0,19,0,0,19,"Sheffield Shield","2022/23",1322408,"Adelaide Oval","Adelaide","South Australia","Queensland","Queensland","field","N McAndrew",NA,NA,NA
"CJ Gannon",2019-10-10,"Queensland","New South Wales",2,19,63,3,0,30.1587301587302,1,19,0,0,19,"Marsh Sheffield Shield","2019/20",1196115,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","Queensland","bat","HNA Conway","New South Wales","5",NA
"HJ Nielsen",2019-11-01,"South Australia","New South Wales",2,19,63,1,0,30.1587301587302,0,9.5,0,0,19,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"M Gilkes",2023-03-02,"New South Wales","Victoria",2,19,61,2,0,31.1475409836066,0,9.5,0,0,12,"Sheffield Shield","2022/23",1322420,"Lavington Sports Oval, Albury","Albury","New South Wales","Victoria","Victoria","field","MW Short","Victoria","10",NA
"MC Henriques",2022-10-31,"New South Wales","South Australia",2,19,60,1,0,31.6666666666667,0,9.5,0,0,19,"Sheffield Shield","2022/23",1322403,"North Dalton Park, Wollongong","Wollongong","New South Wales","South Australia","New South Wales","bat","WA Agar",NA,NA,NA
"J Weatherald",2021-11-10,"South Australia","Tasmania",2,19,58,2,0,32.7586206896552,1,19,0,0,16,"Sheffield Shield","2021/22",1270446,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","HJ Hunt",NA,NA,NA
"JC Silk",2023-10-26,"Tasmania","Queensland",2,19,55,2,0,34.5454545454545,0,9.5,0,0,19,"Sheffield Shield","2023/24",1391777,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","MS Wade","Tasmania","3",NA
"JW Wells",2018-02-16,"Western Australia","Tasmania",2,19,54,3,0,35.1851851851852,0,9.5,0,0,13,"Sheffield Shield","2017/18",1118882,"Bellerive Oval, Hobart","Hobart","Tasmania","Western Australia","Western Australia","field","MS Wade","Tasmania",NA,"87"
"TD Paine",2020-11-08,"Tasmania","New South Wales",2,19,54,2,0,35.1851851851852,0,9.5,0,0,12,"Sheffield Shield","2020/21",1233452,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Tasmania","Tasmania","field","SA Abbott","New South Wales",NA,"145"
"W Sutherland",2022-03-15,"Victoria","Tasmania",2,19,52,1,0,36.5384615384615,1,19,0,0,14,"Sheffield Shield","2021/22",1270440,"Junction Oval, Melbourne","Melbourne","Tasmania","Victoria","Tasmania","bat","TJ Dean","Victoria","2",NA
"NT Ellis",2023-02-21,"Tasmania","Western Australia",2,19,46,3,0,41.304347826087,0,9.5,0,0,16,"Sheffield Shield","2022/23",1322418,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","CT Bancroft","Western Australia",NA,"383"
"TP Ward",2023-02-21,"Tasmania","Western Australia",2,19,45,3,0,42.2222222222222,0,9.5,0,0,17,"Sheffield Shield","2022/23",1322418,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","CT Bancroft","Western Australia",NA,"383"
"JJS Sangha",2023-11-28,"New South Wales","Tasmania",2,19,43,3,0,44.1860465116279,0,9.5,0,0,19,"Sheffield Shield","2023/24",1391786,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","Tasmania","field","CP Tremain","New South Wales",NA,"74"
"CA Wakim",2020-11-08,"Tasmania","New South Wales",2,19,39,2,0,48.7179487179487,0,9.5,0,0,19,"Sheffield Shield","2020/21",1233452,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Tasmania","Tasmania","field","SA Abbott","New South Wales",NA,"145"
"BJ Webster",2022-10-06,"Tasmania","Queensland",2,19,38,4,0,50,0,9.5,0,0,14,"Sheffield Shield","2022/23",1322397,"Allan Border Field, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","GS Sandhu","Queensland",NA,"172"
"MW Edwards",2022-12-01,"New South Wales","Victoria",2,19,37,2,0,51.3513513513514,0,9.5,0,0,12,"Sheffield Shield","2022/23",1322411,"Junction Oval, Melbourne","Melbourne","Victoria","New South Wales","New South Wales","field","W Sutherland","Victoria",NA,"69"
"RP Meredith",2020-11-08,"Tasmania","New South Wales",2,19,37,3,0,51.3513513513514,2,Inf,0,0,12,"Sheffield Shield","2020/21",1233452,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Tasmania","Tasmania","field","SA Abbott","New South Wales",NA,"145"
"CH Stobo",2024-03-21,"Western Australia","Tasmania",2,19,35,3,0,54.2857142857143,0,9.5,0,0,13,"Sheffield Shield","2023/24",1391800,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"377"
"BJ Webster",2022-02-18,"Tasmania","New South Wales",2,19,34,4,0,55.8823529411765,0,9.5,0,0,10,"Sheffield Shield","2021/22",1270447,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","H Kerr","New South Wales",NA,"75"
"AM Hardie",2023-03-02,"Western Australia","Tasmania",1,19,33,3,0,57.5757575757576,0,19,0,0,19,"Sheffield Shield","2022/23",1322422,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","CH Stobo","Western Australia","9",NA
"KW Richardson",2018-03-14,"South Australia","Western Australia",2,19,30,2,1,63.3333333333333,0,9.5,0,0,16,"Sheffield Shield","2017/18",1118893,"Gliderol Stadium, Adelaide","Adelaide","Western Australia","South Australia","South Australia","field","HWR Cartwright","Western Australia",NA,"241"
"B Doggett",2023-10-03,"South Australia","Tasmania",2,19,26,3,0,73.0769230769231,0,9.5,0,0,12,"Sheffield Shield","2023/24",1391770,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","CA Wakim","Tasmania","7",NA
"PM Siddle",2023-10-14,"Victoria","Queensland",2,19,26,2,0,73.0769230769231,1,19,0,0,19,"Sheffield Shield","2023/24",1391773,"Great Barrier Reef Arena, Mackay","Mackay","Victoria","Queensland","Queensland","field","MT Renshaw","Queensland",NA,"104"
"GT Bell",2022-03-23,"Tasmania","Queensland",1,19,24,2,1,79.1666666666667,0,19,0,0,19,"Sheffield Shield","2021/22",1270455,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","SL Rainbird","Tasmania",NA,"231"
"JA Burns",2021-11-23,"Queensland","South Australia",2,18,153,0,0,11.7647058823529,0,9,0,0,17,"Sheffield Shield","2021/22",1270441,"Karen Rolton Oval, Adelaide","Adelaide","Queensland","South Australia","South Australia","field","MP Kuhnemann","Queensland","8",NA
"TJ Dean",2023-11-16,"Victoria","Queensland",2,18,91,1,0,19.7802197802198,0,9,0,0,17,"Sheffield Shield","2023/24",1391783,"Melbourne Cricket Ground","Melbourne","Victoria","Queensland","Queensland","field","W Sutherland","Victoria",NA,"113"
"EM Vines",2020-02-24,"Victoria","Queensland",2,18,84,2,0,21.4285714285714,0,9,0,0,10,"Marsh Sheffield Shield","2019/20",1196137,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","SE Gotch","Victoria",NA,"44"
"CP Tremain",2019-11-12,"Victoria","Queensland",2,18,83,1,0,21.6867469879518,2,Inf,0,0,18,"Marsh Sheffield Shield","2019/20",1196125,"Melbourne Cricket Ground","Melbourne","Queensland","Victoria","Victoria","field",NA,"Queensland",NA,"59"
"JR Doran",2018-11-17,"Tasmania","Victoria",2,18,75,1,0,24,0,9,0,0,16,"Sheffield Shield","2018/19",1150119,"Bellerive Oval, Hobart","Hobart","Tasmania","Victoria","Victoria","field","MS Wade","Victoria","6",NA
"JR Doran",2018-10-16,"Tasmania","Queensland",2,18,74,2,0,24.3243243243243,0,9,0,0,11,"Sheffield Shield","2018/19",1150109,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","JM Bird","Tasmania",NA,"246"
"TLW Cooper",2018-02-25,"South Australia","Queensland",2,18,71,2,0,25.3521126760563,0,9,0,0,15,"Sheffield Shield","2017/18",1118887,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Renshaw","Queensland",NA,"118"
"CP Tremain",2018-11-27,"Victoria","Queensland",2,18,65,3,0,27.6923076923077,0,9,0,0,9,"Sheffield Shield","2018/19",1150121,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","JA Burns","Queensland","8",NA
"PM Siddle",2022-10-06,"Tasmania","Queensland",2,18,60,2,0,30,0,9,0,0,15,"Sheffield Shield","2022/23",1322397,"Allan Border Field, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","GS Sandhu","Queensland",NA,"172"
"JC Silk",2020-10-30,"Tasmania","Western Australia",2,18,56,1,0,32.1428571428571,0,9,0,0,17,"Sheffield Shield","2020/21",1233449,"Park 25 No 2, Adelaide","Adelaide","Western Australia","Tasmania","Tasmania","field","SE Marsh",NA,NA,NA
"HJ Hunt",2023-10-03,"South Australia","Tasmania",2,18,53,2,0,33.9622641509434,0,9,0,0,16,"Sheffield Shield","2023/24",1391770,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","CA Wakim","Tasmania","7",NA
"W Sutherland",2023-03-02,"Victoria","New South Wales",1,18,52,0,0,34.6153846153846,0,18,0,0,18,"Sheffield Shield","2022/23",1322420,"Lavington Sports Oval, Albury","Albury","New South Wales","Victoria","Victoria","field","MW Short","Victoria","10",NA
"CJ Gannon",2024-02-16,"Western Australia","Tasmania",1,18,49,2,0,36.734693877551,0,18,0,0,18,"Sheffield Shield","2023/24",1391792,"Bellerive Oval, Hobart","Hobart","Tasmania","Western Australia","Western Australia","field","CP Jewell",NA,NA,NA
"L Guthrie",2023-11-16,"Queensland","Victoria",2,18,47,2,0,38.2978723404255,1,18,0,0,9,"Sheffield Shield","2023/24",1391783,"Melbourne Cricket Ground","Melbourne","Victoria","Queensland","Queensland","field","W Sutherland","Victoria",NA,"113"
"SE Marsh",2022-03-23,"Western Australia","Victoria",1,18,47,2,0,38.2978723404255,0,18,0,0,18,"Sheffield Shield","2021/22",1270461,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Western Australia","field","HWR Cartwright","Western Australia",NA,"51"
"HJ Hunt",2020-03-06,"South Australia","Victoria",2,18,46,3,0,39.1304347826087,0,9,0,0,10,"Marsh Sheffield Shield","2019/20",1196139,"Adelaide Oval","Adelaide","Victoria","South Australia","South Australia","field","W Sutherland","Victoria",NA,"182"
"MT Renshaw",2018-11-27,"Queensland","Victoria",2,18,45,2,0,40,0,9,0,0,16,"Sheffield Shield","2018/19",1150121,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","JA Burns","Queensland","8",NA
"H Kerr",2022-11-22,"New South Wales","Western Australia",2,18,42,1,0,42.8571428571429,0,9,0,0,13,"Sheffield Shield","2022/23",1322409,"Sydney Cricket Ground","Sydney","Western Australia","New South Wales","Western Australia","bat","CJ Green","Western Australia",NA,"133"
"JP Inglis",2024-03-21,"Western Australia","Tasmania",2,18,41,2,0,43.9024390243902,0,9,0,0,15,"Sheffield Shield","2023/24",1391800,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"377"
"MT Steketee",2018-10-16,"Queensland","Tasmania",2,18,41,2,1,43.9024390243902,0,9,0,0,12,"Sheffield Shield","2018/19",1150109,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","JM Bird","Tasmania",NA,"246"
"GJ Bailey",2018-11-17,"Tasmania","Victoria",2,18,31,2,0,58.0645161290323,0,9,0,0,15,"Sheffield Shield","2018/19",1150119,"Bellerive Oval, Hobart","Hobart","Tasmania","Victoria","Victoria","field","MS Wade","Victoria","6",NA
"J Fraser-McGurk",2020-02-24,"Victoria","Queensland",2,18,31,3,0,58.0645161290323,0,9,0,0,16,"Marsh Sheffield Shield","2019/20",1196137,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","SE Gotch","Victoria",NA,"44"
"JJS Sangha",2021-03-20,"New South Wales","Tasmania",2,18,30,4,0,60,0,9,0,0,9,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"AC Agar",2021-04-03,"Western Australia","Tasmania",2,18,29,2,0,62.0689655172414,0,9,0,0,9,"Sheffield Shield","2020/21",1251085,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Western Australia","field","BJ Webster","Tasmania",NA,"175"
"J Nisbet",2024-03-11,"New South Wales","Queensland",1,18,28,4,0,64.2857142857143,0,18,0,0,18,"Sheffield Shield","2023/24",1391799,"Allan Border Field, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","O Davies","New South Wales","5",NA
"T Wyllie",2023-03-14,"Western Australia","Victoria",2,18,28,3,0,64.2857142857143,0,9,0,0,16,"Sheffield Shield","2022/23",1322425,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Victoria","Victoria","field","SM Boland","Victoria","7",NA
"MT Steketee",2018-11-27,"Queensland","Victoria",1,18,26,3,0,69.2307692307692,0,18,0,0,18,"Sheffield Shield","2018/19",1150121,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","JA Burns","Queensland","8",NA
"JJ Peirson",2022-12-01,"Queensland","Western Australia",2,18,24,3,0,75,0,9,0,0,18,"Sheffield Shield","2022/23",1322413,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Western Australia","Western Australia","field","CT Bancroft",NA,NA,NA
"MJ Swepson",2022-10-31,"Queensland","Western Australia",2,18,21,1,0,85.7142857142857,1,18,0,0,15,"Sheffield Shield","2022/23",1322404,"Western Australia Cricket Association Ground, Perth","Perth","Queensland","Western Australia","Western Australia","field","AM Hardie","Western Australia","3",NA
