"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"TJ Dean",2022-12-01,"Victoria","New South Wales",2,64,111,10,0,57.6576576576577,0,32,0,0,46,"Sheffield Shield","2022/23",1322411,"Junction Oval, Melbourne","Melbourne","Victoria","New South Wales","New South Wales","field","W Sutherland","Victoria",NA,"69"
"DP Hughes",2017-10-27,"New South Wales","South Australia",2,64,110,4,0,58.1818181818182,1,64,0,1,57,"Sheffield Shield","2017/18",1118866,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","MA Starc","New South Wales","6",NA
"CJ Sayers",2021-03-06,"South Australia","New South Wales",2,64,96,5,2,66.6666666666667,2,Inf,0,1,52,"Sheffield Shield","2020/21",1251095,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","SA Abbott","New South Wales","6",NA
"MS Harris",2018-11-27,"Victoria","Queensland",2,64,88,10,0,72.7272727272727,0,32,0,1,62,"Sheffield Shield","2018/19",1150121,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Victoria","Queensland","Queensland","field","JA Burns","Queensland","8",NA
"JM Bird",2021-04-03,"Tasmania","Western Australia",1,64,84,10,1,76.1904761904762,0,64,0,1,64,"Sheffield Shield","2020/21",1251085,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Western Australia","field","BJ Webster","Tasmania",NA,"175"
"TA Copeland",2018-10-16,"New South Wales","South Australia",2,64,77,9,1,83.1168831168831,2,Inf,0,1,55,"Sheffield Shield","2018/19",1150108,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","TA Copeland",NA,NA,NA
"AT Carey",2022-10-31,"South Australia","New South Wales",1,64,74,6,0,86.4864864864865,0,64,0,1,64,"Sheffield Shield","2022/23",1322403,"North Dalton Park, Wollongong","Wollongong","New South Wales","South Australia","New South Wales","bat","WA Agar",NA,NA,NA
"TA Copeland",2021-03-20,"New South Wales","Tasmania",2,64,71,6,2,90.1408450704225,0,32,0,1,58,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"BR McDermott",2019-02-23,"Tasmania","South Australia",2,64,68,6,2,94.1176470588235,1,64,0,1,63,"Sheffield Shield","2018/19",1150128,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","JM Bird","Tasmania","6",NA
"JJ Bazley",2022-11-20,"Queensland","South Australia",1,64,53,5,4,120.754716981132,1,Inf,0,1,64,"Sheffield Shield","2022/23",1322408,"Adelaide Oval","Adelaide","South Australia","Queensland","Queensland","field","N McAndrew",NA,NA,NA
