"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CJ Sayers","South Australia","2017/18","Sheffield Shield",4,66,14,176,9,19.5555555555556,2.66666666666667,44,313,1,0,"4/82"
"JL Pattinson","Victoria","2020/21","Sheffield Shield",4,69,18,181,9,20.1111111111111,2.6231884057971,46,322,0,0,"3/54"
"MG Neser","Queensland","2021/22","Sheffield Shield",5,79.2,23,218,9,24.2222222222222,2.74789915966387,52.8888888888889,387,0,0,"3/38"
"RP Meredith","Tasmania","2019/20","Marsh Sheffield Shield",3,56,6,229,9,25.4444444444444,4.08928571428571,37.3333333333333,239,0,1,"5/98"
"MR Marsh","Western Australia","2018/19","Sheffield Shield",6,70.1,12,238,9,26.4444444444444,3.39192399049881,46.7777777777778,320,0,0,"3/21"
"L Guthrie","Western Australia","2018/19","Sheffield Shield",6,72,16,257,9,28.5555555555556,3.56944444444444,48,325,1,0,"4/53"
"DJM Moody","Western Australia","2018/19","Sheffield Shield",6,90.3,23,268,9,29.7777777777778,2.96132596685083,60.3333333333333,426,0,0,"2/15"
"JD Wildermuth","Queensland","2019/20","Marsh Sheffield Shield",8,116.3,40,270,9,30,2.31759656652361,77.6666666666667,589,0,0,"3/17"
"NM Lyon","New South Wales","2023/24","Sheffield Shield",7,127.1,31,306,9,34,2.40629095674967,84.7777777777778,581,0,1,"5/153"
"RP Meredith","Tasmania","2023/24","Sheffield Shield",6,98,17,334,9,37.1111111111111,3.40816326530612,65.3333333333333,444,0,0,"3/59"
"LC Hatcher","New South Wales","2022/23","Sheffield Shield",8,117,19,457,9,50.7777777777778,3.90598290598291,78,502,1,0,"4/95"
"AM Hardie","Western Australia","2018/19","Sheffield Shield",2,24.4,9,62,8,7.75,2.51351351351351,18.5,125,2,0,"4/29"
"B Stanlake","Tasmania","2023/24","Sheffield Shield",2,34,5,88,8,11,2.58823529411765,25.5,162,2,0,"4/38"
"MC Henriques","New South Wales","2023/24","Sheffield Shield",12,52,6,130,8,16.25,2.5,39,236,0,0,"2/12"
"CJ Sayers","South Australia","2016/17","Sheffield Shield",2,61.2,22,141,8,17.625,2.29891304347826,46,302,0,1,"7/84"
"JM Holland","Victoria","2016/17","Sheffield Shield",2,44.3,7,152,8,19,3.41573033707865,33.375,180,0,1,"7/82"
"L Neil-Smith","Tasmania","2021/22","Sheffield Shield",5,51.1,10,166,8,20.75,3.2442996742671,38.375,233,0,1,"5/43"
"JM Bird","Tasmania","2019/20","Marsh Sheffield Shield",4,60,14,179,8,22.375,2.98333333333333,45,286,2,0,"4/68"
"L Guthrie","Queensland","2022/23","Sheffield Shield",4,62,16,215,8,26.875,3.46774193548387,46.5,287,1,0,"4/103"
"TS Rogers","Tasmania","2018/19","Sheffield Shield",5,69,14,221,8,27.625,3.20289855072464,51.75,311,0,0,"3/42"
"TD Andrews","Tasmania","2021/22","Sheffield Shield",4,85,11,231,8,28.875,2.71764705882353,63.75,371,0,0,"3/69"
"H Kerr","New South Wales","2021/22","Sheffield Shield",8,89,21,233,8,29.125,2.61797752808989,66.75,430,0,0,"2/41"
"M Kelly","Western Australia","2021/22","Sheffield Shield",7,109,36,284,8,35.5,2.60550458715596,81.75,530,0,0,"3/27"
"MP Stoinis","Western Australia","2019/20","Marsh Sheffield Shield",6,86.2,14,288,8,36,3.33590733590734,64.75,389,0,0,"3/33"
"JD Wildermuth","Queensland","2022/23","Sheffield Shield",6,88.2,16,290,8,36.25,3.28301886792453,66.25,408,0,0,"2/12"
"LR Morris","Western Australia","2020/21","Sheffield Shield",6,86.1,18,300,8,37.5,3.4816247582205,64.625,390,0,1,"5/94"
"NM Lyon","New South Wales","2022/23","Sheffield Shield",5,104.5,15,300,8,37.5,2.86168521462639,78.625,458,0,0,"3/69"
"JM Mennie","South Australia","2017/18","Sheffield Shield",8,117.5,24,346,8,43.25,2.93635077793494,88.375,536,0,0,"2/42"
"SL Rainbird","Tasmania","2017/18","Sheffield Shield",7,106.5,20,408,8,51,3.81903276131045,80.125,477,0,0,"2/12"
"L Pope","South Australia","2020/21","Sheffield Shield",6,130,4,690,8,86.25,5.30769230769231,97.5,448,0,1,"5/164"
"JA Richardson","Western Australia","2018/19","Sheffield Shield",2,38,8,95,7,13.5714285714286,2.5,32.5714285714286,179,0,1,"5/47"
"JR Hazlewood","New South Wales","2019/20","Marsh Sheffield Shield",2,42.4,13,95,7,13.5714285714286,2.2265625,36.5714285714286,208,0,1,"6/35"
"SL Rainbird","Tasmania","2020/21","Sheffield Shield",4,47,15,146,7,20.8571428571429,3.1063829787234,40.2857142857143,224,1,0,"4/67"
"T Murphy","Victoria","2021/22","Sheffield Shield",2,50,14,146,7,20.8571428571429,2.92,42.8571428571429,232,1,0,"4/98"
"H Kerr","New South Wales","2022/23","Sheffield Shield",6,61,17,166,7,23.7142857142857,2.72131147540984,52.2857142857143,289,0,0,"2/10"
"KJS Elliott","Tasmania","2023/24","Sheffield Shield",4,54.2,9,178,7,25.4285714285714,3.2760736196319,46.5714285714286,252,0,0,"3/65"
"S Milenko","Tasmania","2017/18","Sheffield Shield",5,50,8,195,7,27.8571428571429,3.9,42.8571428571429,225,0,0,"3/49"
"L Guthrie","Western Australia","2017/18","Sheffield Shield",3,54.4,9,213,7,30.4285714285714,3.89634146341463,46.8571428571429,242,1,0,"4/59"
"GT Bell","Tasmania","2021/22","Sheffield Shield",6,77.4,18,222,7,31.7142857142857,2.85836909871245,66.5714285714286,367,0,0,"2/18"
"JM Bird","Tasmania","2021/22","Sheffield Shield",6,86.5,28,229,7,32.7142857142857,2.63723608445297,74.4285714285714,422,0,0,"3/38"
"BJ Dwarshuis","New South Wales","2023/24","Sheffield Shield",3,53,3,240,7,34.2857142857143,4.52830188679245,45.4285714285714,210,0,0,"3/43"
"AL Fekete","Victoria","2018/19","Sheffield Shield",4,79,21,254,7,36.2857142857143,3.21518987341772,67.7142857142857,372,0,0,"3/104"
"JJ Bazley","Queensland","2021/22","Sheffield Shield",9,96,30,300,7,42.8571428571429,3.125,82.2857142857143,445,0,0,"2/9"
"J Sinfield","Queensland","2022/23","Sheffield Shield",5,82.5,6,301,7,43,3.63380281690141,71,331,0,0,"3/46"
"LW Feldman","Queensland","2017/18","Sheffield Shield",6,89.5,15,308,7,44,3.42857142857143,77,411,0,0,"3/45"
"JD Wildermuth","Queensland","2017/18","Sheffield Shield",7,78,16,337,7,48.1428571428571,4.32051282051282,66.8571428571429,341,0,0,"2/49"
"NT Ellis","Tasmania","2022/23","Sheffield Shield",6,97.4,14,353,7,50.4285714285714,3.61433447098976,83.7142857142857,404,0,0,"2/22"
"M Kelly","Western Australia","2020/21","Sheffield Shield",9,148,32,386,7,55.1428571428571,2.60810810810811,126.857142857143,697,0,0,"2/34"
"DJ Worrall","South Australia","2020/21","Sheffield Shield",6,123,23,441,7,63,3.58536585365854,105.428571428571,540,0,0,"3/86"
"MJ Owen","Tasmania","2023/24","Sheffield Shield",11,111,8,445,7,63.5714285714286,4.00900900900901,95.1428571428571,432,0,0,"3/38"
"M Kelly","Western Australia","2017/18","Sheffield Shield",2,31,10,59,6,9.83333333333333,1.90322580645161,31,151,1,0,"4/25"
"DE Bollinger","New South Wales","2017/18","Sheffield Shield",2,37,8,103,6,17.1666666666667,2.78378378378378,37,176,0,0,"3/38"
