"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"TG Southee",2017-08-10,"Sussex","Middlesex",2,"4.0",0,26,1,6.5,6,"NatWest T20 Blast",2017,1068394,"Lord's","London","Middlesex","Sussex","Sussex","field","TG Helm","Middlesex",NA,"2"
"TK Curran",2016-06-03,"Sussex","Surrey",2,"4.0",0,26,1,6.5,13,"NatWest T20 Blast",2016,947139,"County Ground","Hove","Sussex","Surrey","Surrey","bat","JJ Roy","Surrey",NA,"23"
"TM Dilshan",2015-05-29,"Lancashire","Derbyshire",1,"4.0",0,26,1,6.5,4,"NatWest T20 Blast",2015,804487,"County Ground","Derby","Lancashire","Derbyshire","Derbyshire","field","WA White","Derbyshire","5",NA
"TMJ Smith",2014-06-13,"Essex","Gloucestershire",2,"4.0",0,26,1,6.5,7,"NatWest T20 Blast",2014,693109,"County Ground","Chelmsford","Gloucestershire","Essex","Essex","field","RS Bopara","Essex","8",NA
"TMJ Smith",2014-07-20,"Essex","Gloucestershire",1,"4.0",0,26,1,6.5,9,"NatWest T20 Blast",2014,693235,"College Ground","Cheltenham","Essex","Gloucestershire","Gloucestershire","field","CDJ Dent","Gloucestershire","6",NA
"TMJ Smith",2020-09-18,"Glamorgan","Gloucestershire",1,"4.0",0,26,1,6.5,8,"Vitality Blast",2020,1207775,"Sophia Gardens","Cardiff","Glamorgan","Gloucestershire","Glamorgan","bat","A Balbirnie","Glamorgan",NA,"17"
"TS Mills",2017-07-23,"Kent","Sussex",1,"4.0",0,26,1,6.5,13,"NatWest T20 Blast",2017,1068348,"County Ground","Hove","Kent","Sussex","Sussex","field","JDS Neesham",NA,NA,NA
"TS Mills",2023-06-16,"Hampshire","Sussex",2,"4.0",0,26,1,6.5,10,"Vitality Blast",2023,1347642,"County Ground, Hove","Brighton","Sussex","Hampshire","Hampshire","field","BJ Currie","Sussex",NA,"6"
"TW Hartley",2023-06-16,"Northamptonshire","Lancashire",2,"4.0",0,26,1,6.5,7,"Vitality Blast",2023,1347645,"County Ground, Northampton","Northampton","Lancashire","Northamptonshire","Northamptonshire","field",NA,"Lancashire",NA,"35"
"WAT Beer",2021-06-27,"Surrey","Sussex",1,"4.0",0,26,1,6.5,4,"Vitality Blast",2021,1250313,"County Ground, Hove","Brighton","Surrey","Sussex","Sussex","field",NA,NA,NA,NA
"WAT Beer",2021-07-18,"Kent","Sussex",1,"4.0",1,26,1,6.5,9,"Vitality Blast",2021,1250355,"St Lawrence Ground, Canterbury","Canterbury","Kent","Sussex","Kent","bat","RS Bopara","Sussex","4",NA
"WB Rankin",2015-05-29,"Northamptonshire","Warwickshire",1,"4.0",0,26,1,6.5,9,"NatWest T20 Blast",2015,804497,"County Ground","Northampton","Northamptonshire","Warwickshire","Northamptonshire","bat","WTS Porterfield","Warwickshire","5",NA
"WB Rankin",2017-08-04,"Worcestershire","Warwickshire",1,"2.0",0,26,1,13,7,"NatWest T20 Blast",2017,1068388,"Edgbaston","Birmingham","Worcestershire","Warwickshire","Warwickshire","field","JW Hastings","Worcestershire",NA,"5"
"WD Parnell",2019-07-18,"Nottinghamshire","Worcestershire",2,"4.0",0,26,1,6.5,9,"Vitality Blast",2019,1167128,"Trent Bridge","Nottingham","Nottinghamshire","Worcestershire","Worcestershire","bat","EG Barnard","Worcestershire",NA,"28"
"WRS Gidman",2014-07-11,"Somerset","Gloucestershire",1,"3.0",0,26,1,8.66666666666667,7,"NatWest T20 Blast",2014,693193,"The Cooper Associates County Ground","Taunton","Somerset","Gloucestershire","Gloucestershire","field","AC Thomas","Somerset",NA,"7"
"Zaman Khan",2023-06-23,"Lancashire","Derbyshire",1,"3.0",0,26,1,8.66666666666667,7,"Vitality Blast",2023,1347671,"Old Trafford, Manchester","Manchester","Lancashire","Derbyshire","Derbyshire","field",NA,"Lancashire",NA,"27"
"ZS Ansari",2014-06-27,"Hampshire","Surrey",1,"3.0",0,26,1,8.66666666666667,4,"NatWest T20 Blast",2014,693145,"Kennington Oval","London","Hampshire","Surrey","Surrey","field","JJ Roy","Surrey","8",NA
"A Javid",2015-07-03,"Derbyshire","Warwickshire",2,"2.0",0,27,1,13.5,2,"NatWest T20 Blast",2015,804611,"Edgbaston","Birmingham","Warwickshire","Derbyshire","Derbyshire","field","BB McCullum","Warwickshire",NA,"60"
"A Javid",2016-05-27,"Worcestershire","Warwickshire",2,"4.0",0,27,1,6.75,7,"NatWest T20 Blast",2016,947115,"Edgbaston","Birmingham","Warwickshire","Worcestershire","Worcestershire","field","BL D'Oliveira","Worcestershire","5",NA
"A Lyth",2019-07-20,"Derbyshire","Yorkshire",2,"4.0",0,27,1,6.75,6,"Vitality Blast",2019,1167138,"Queen's Park","Chesterfield","Derbyshire","Yorkshire","Yorkshire","bat","BA Godleman","Derbyshire","5",NA
