"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BL D'Oliveira",97,"267.0",0,2046,72,28.4166666666667,7.66292134831461,22.25,438,3,0,"4/11"
"SM Curran",69,"220.0",3,1837,71,25.8732394366197,8.35,18.5915492957746,494,3,2,"5/26"
"JA Thompson",62,"193.3",0,1850,71,26.056338028169,9.56072351421189,16.3521126760563,345,3,1,"5/21"
"OJ Hannon-Dalby",56,"195.3",0,1753,70,25.0428571428571,8.96675191815857,16.7571428571429,396,2,0,"4/20"
"GG Wagg",68,"216.3",0,1907,69,27.6376811594203,8.80831408775981,18.8260869565217,358,1,0,"4/27"
"T van der Gugten",56,"180.0",5,1588,68,23.3529411764706,8.82222222222222,15.8823529411765,411,3,0,"4/14"
"ME Claydon",66,"239.1",0,2098,68,30.8529411764706,8.77212543554007,21.1029411764706,465,0,0,"3/16"
"AG Salter",76,"239.0",1,1992,67,29.7313432835821,8.3347280334728,21.4029850746269,394,3,0,"4/12"
"WAT Beer",76,"230.0",1,1785,66,27.0454545454545,7.76086956521739,20.9090909090909,395,0,0,"3/14"
"JH Davey",42,"132.5",1,1232,65,18.9538461538462,9.27478042659975,12.2615384615385,291,2,0,"4/34"
"RJ Gleeson",55,"193.4",1,1506,65,23.1692307692308,7.77624784853701,17.8769230769231,534,1,1,"5/33"
"AU Rashid",56,"205.3",1,1548,65,23.8153846153846,7.53284671532847,18.9692307692308,391,2,0,"4/19"
"M de Lange",52,"170.2",1,1452,64,22.6875,8.52446183953033,15.96875,351,2,0,"4/9"
"R Clarke",68,"208.0",2,1494,63,23.7142857142857,7.18269230769231,19.8095238095238,514,1,0,"4/16"
"P Coughlin",54,"160.1",2,1532,63,24.3174603174603,9.56503642039542,15.2539682539683,351,2,1,"5/42"
"JB Lintott",52,"180.2",0,1398,62,22.5483870967742,7.75231053604436,17.4516129032258,333,2,0,"4/20"
"JW Dernbach",56,"200.3",1,1732,62,27.9354838709677,8.63840399002494,19.4032258064516,424,0,0,"3/23"
"FJ Klaassen",55,"190.1",3,1692,61,27.7377049180328,8.89745836985101,18.7049180327869,430,2,0,"4/17"
"EG Barnard",100,"265.4",0,2392,61,39.2131147540984,9.00376411543287,26.1311475409836,447,0,0,"3/29"
"GLS Scrimshaw",43,"150.2",0,1303,60,21.7166666666667,8.66740576496674,15.0333333333333,346,0,0,"3/16"
"BGF Green",45,"134.3",1,1222,59,20.7118644067797,9.08550185873606,13.6779661016949,218,3,1,"5/29"
"M Carter",62,"208.0",1,1592,59,26.9830508474576,7.65384615384615,21.1525423728814,420,0,0,"3/14"
"DI Stevens",68,"188.4",2,1625,59,27.5423728813559,8.613074204947,19.1864406779661,373,3,0,"4/17"
"TS Roland-Jones",47,"158.0",0,1415,58,24.3965517241379,8.95569620253165,16.3448275862069,331,3,1,"5/21"
"WD Parnell",49,"180.1",0,1517,58,26.1551724137931,8.4199814986124,18.6379310344828,424,1,0,"4/25"
"DT Christian",80,"205.3",0,1868,58,32.2068965517241,9.09002433090024,21.2586206896552,345,1,0,"4/23"
"NJ Rimmington",47,"165.1",1,1394,57,24.4561403508772,8.43995963673058,17.3859649122807,321,1,0,"4/28"
"OP Stone",56,"185.3",2,1618,57,28.3859649122807,8.72237196765499,19.5263157894737,461,1,0,"4/21"
"KJ Abbott",51,"187.1",2,1658,57,29.0877192982456,8.85841495992876,19.7017543859649,382,0,1,"5/14"
"J Clark",75,"191.5",1,1721,57,30.1929824561403,8.97132927888792,20.1929824561403,369,1,0,"4/22"
"JP Faulkner",38,"136.1",3,982,56,17.5357142857143,7.21175030599755,14.5892857142857,317,0,0,"3/19"
"Imran Tahir",40,"154.0",0,1124,56,20.0714285714286,7.2987012987013,16.5,301,4,0,"4/14"
"CN Miles",46,"146.2",1,1259,56,22.4821428571429,8.60364464692483,15.6785714285714,329,1,0,"4/29"
"G Stewart",48,"148.0",0,1426,56,25.4642857142857,9.63513513513514,15.8571428571429,256,1,0,"4/48"
"SJ Cook",52,"178.4",2,1529,56,27.3035714285714,8.55783582089552,19.1428571428571,412,3,0,"4/15"
"L Trevaskis",60,"208.4",1,1659,56,29.625,7.95047923322684,22.3571428571429,398,1,0,"4/16"
"MT Coles",59,"201.5",1,1823,56,32.5535714285714,9.03220478943022,21.625,419,2,0,"4/27"
"AL Hughes",86,"244.5",0,1995,55,36.2727272727273,8.14840027229408,26.7090909090909,383,1,0,"4/42"
"Naveen-ul-Haq",33,"121.0",0,1002,54,18.5555555555556,8.28099173553719,13.4444444444444,263,2,1,"5/11"
"Azeem Rafiq",44,"148.5",0,1163,54,21.537037037037,7.81410974244121,16.537037037037,280,0,1,"5/19"
"J Overton",65,"188.1",0,1815,54,33.6111111111111,9.64570416297609,20.9074074074074,391,2,1,"5/47"
"IS Sodhi",48,"168.0",0,1404,53,26.4905660377358,8.35714285714286,19.0188679245283,285,2,0,"4/17"
"SG Borthwick",63,"175.0",0,1434,53,27.0566037735849,8.19428571428571,19.811320754717,312,1,0,"4/18"
"SD Parry",60,"201.0",0,1495,53,28.2075471698113,7.43781094527363,22.7547169811321,344,1,1,"5/13"
"ZJ Chappell",37,"118.2",0,1097,52,21.0961538461538,9.27042253521127,13.6538461538462,251,1,0,"4/41"
"HJH Brookes",43,"147.0",2,1344,52,25.8461538461538,9.14285714285714,16.9615384615385,342,1,0,"4/32"
"RK Kleinveldt",47,"163.0",1,1356,52,26.0769230769231,8.31901840490798,18.8076923076923,393,0,0,"3/14"
"GT Griffiths",56,"161.2",2,1415,52,27.2115384615385,8.77066115702479,18.6153846153846,353,2,0,"4/24"
"DY Pennington",54,"156.4",4,1404,51,27.5294117647059,8.96170212765957,18.4313725490196,397,2,0,"4/9"
"NL Buck",48,"155.5",1,1406,51,27.5686274509804,9.02245989304813,18.3333333333333,339,2,0,"4/26"
"LS Livingstone",52,"155.3",0,1223,50,24.46,7.86495176848875,18.66,290,2,0,"4/17"
"MJ Henry",37,"132.2",0,1223,50,24.46,9.24181360201511,15.88,302,2,0,"4/24"
"CJ McKay",36,"126.5",2,893,49,18.2244897959184,7.0407358738502,15.530612244898,322,1,1,"5/11"
"MM Ali",43,"149.0",0,1113,49,22.7142857142857,7.46979865771812,18.2448979591837,287,1,0,"4/18"
"CN Ackermann",61,"159.1",0,1225,49,25,7.69633507853403,19.4897959183673,313,0,1,"7/18"
"SJ Croft",83,"184.1",1,1271,49,25.9387755102041,6.90135746606335,22.5510204081633,374,0,0,"3/31"
"D Wiese",64,"168.3",1,1518,49,30.9795918367347,9.00890207715134,20.6326530612245,333,1,1,"5/24"
"R Rampaul",36,"126.0",1,1006,48,20.9583333333333,7.98412698412698,15.75,287,1,0,"4/19"
"J Leach",44,"129.2",0,1232,48,25.6666666666667,9.52577319587629,16.1666666666667,263,0,1,"5/33"
"TAI Taylor",45,"133.1",0,1235,48,25.7291666666667,9.27409261576971,16.6458333333333,277,1,1,"5/28"
"C Rushworth",52,"174.3",1,1351,48,28.1458333333333,7.74212034383954,21.8125,433,0,0,"3/14"
"JJ Cobb",89,"201.0",0,1528,47,32.5106382978723,7.60199004975124,25.6595744680851,369,0,1,"5/25"
"DKH Mitchell",85,"208.2",1,1567,47,33.3404255319149,7.5216,26.5957446808511,319,0,1,"5/28"
"CR Brathwaite",31,"104.0",0,930,46,20.2173913043478,8.94230769230769,13.5652173913043,213,2,0,"4/21"
"AAP Atkinson",36,"110.5",1,962,46,20.9130434782609,8.6796992481203,14.4565217391304,271,2,0,"4/36"
