"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"MJJ Critchley","Derbyshire",2019,"Vitality Blast",13,"44.1",0,315,17,18.5294117647059,7.13207547169811,15.5882352941176,81,1,0,"4/36"
"TMJ Smith","Gloucestershire",2023,"Vitality Blast",13,"41.4",0,323,17,19,7.752,14.7058823529412,77,0,0,"3/22"
"AL Hughes","Derbyshire",2018,"Vitality Blast",13,"40.0",0,324,17,19.0588235294118,8.1,14.1176470588235,68,1,0,"4/42"
"P Coughlin","Durham",2016,"NatWest T20 Blast",11,"37.5",1,328,17,19.2941176470588,8.66960352422907,13.3529411764706,86,0,1,"5/42"
"MJ Potts","Durham",2019,"Vitality Blast",12,"39.5",0,332,17,19.5294117647059,8.3347280334728,14.0588235294118,88,0,0,"3/22"
"TT Bresnan","Yorkshire",2017,"NatWest T20 Blast",12,"39.3",2,338,17,19.8823529411765,8.55696202531646,13.9411764705882,97,0,1,"6/19"
"HF Gurney","Nottinghamshire",2016,"NatWest T20 Blast",11,"41.1",1,342,17,20.1176470588235,8.30769230769231,14.5294117647059,101,1,0,"4/20"
"FJ Heldreich","Northamptonshire",2023,"Vitality Blast",11,"37.3",0,345,17,20.2941176470588,9.2,13.2352941176471,63,1,0,"4/27"
"SR Harmer","Essex",2019,"Vitality Blast",13,"42.4",0,348,17,20.4705882352941,8.15625,15.0588235294118,83,1,0,"4/19"
"BTJ Wheal","Hampshire",2021,"Vitality Blast",13,"45.0",0,354,17,20.8235294117647,7.86666666666667,15.8823529411765,99,0,0,"3/39"
"SR Harmer","Essex",2022,"Vitality Blast",14,"53.4",0,363,17,21.3529411764706,6.7639751552795,18.9411764705882,117,0,0,"3/18"
"Azeem Rafiq","Yorkshire",2017,"NatWest T20 Blast",12,"44.0",0,368,17,21.6470588235294,8.36363636363636,15.5294117647059,78,0,1,"5/19"
"DA Cosker","Glamorgan",2015,"NatWest T20 Blast",14,"46.5",0,374,17,22,7.98576512455516,16.5294117647059,68,2,0,"4/25"
"CJ Jordan","Surrey",2022,"Vitality Blast",13,"47.0",2,376,17,22.1176470588235,8,16.5882352941176,97,1,0,"4/31"
"MK Andersson","Middlesex",2022,"Vitality Blast",12,"37.5",0,376,17,22.1176470588235,9.93832599118943,13.3529411764706,74,0,0,"3/32"
"BAC Howell","Gloucestershire",2015,"NatWest T20 Blast",14,"52.0",1,377,17,22.1764705882353,7.25,18.3529411764706,96,0,0,"3/18"
"J Leach","Worcestershire",2015,"NatWest T20 Blast",14,"44.3",0,393,17,23.1176470588235,8.8314606741573,15.7058823529412,106,0,0,"3/27"
"CF Parkinson","Leicestershire",2023,"Vitality Blast",14,"55.0",0,396,17,23.2941176470588,7.2,19.4117647058824,108,1,0,"4/33"
"CAJ Morris","Worcestershire",2021,"Vitality Blast",13,"41.5",0,398,17,23.4117647058824,9.51394422310757,14.7647058823529,77,0,0,"3/21"
"P Hatzoglou","Glamorgan",2023,"Vitality Blast",13,"46.2",1,404,17,23.7647058823529,8.71942446043165,16.3529411764706,86,0,0,"3/23"
"PR Brown","Worcestershire",2019,"Vitality Blast",14,"51.5",0,421,17,24.7647058823529,8.12218649517685,18.2941176470588,102,0,0,"2/21"
"MH McKiernan","Derbyshire",2022,"Vitality Blast",14,"48.0",0,431,17,25.3529411764706,8.97916666666667,16.9411764705882,82,0,0,"3/19"
"MT Coles","Kent",2015,"NatWest T20 Blast",13,"46.0",0,431,17,25.3529411764706,9.3695652173913,16.2352941176471,107,0,0,"3/22"
