"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"HRC Came",22,526,391,134.526854219949,23.9090909090909,59,11,0,0,2,56
"HRD Adair",3,45,48,93.75,15,2,1,0,0,0,32
"HT Crocombe",8,21,21,100,21,0,1,7,0,0,12
"HW Podmore",10,37,64,57.8125,5.28571428571429,0,0,3,0,0,9
"HWR Cartwright",5,137,103,133.009708737864,34.25,14,3,1,0,0,38
"HZ Finch",20,285,269,105.947955390335,17.8125,27,3,4,0,0,47
"Haider Ali",14,335,243,137.860082304527,25.7692307692308,24,16,1,0,2,74
"Haris Rauf",1,5,4,125,Inf,1,0,1,0,0,5
"Hasan Ali",3,9,13,69.2307692307692,3,1,0,0,0,0,7
"IA Cockbain",105,2923,2174,134.452621895124,33.9883720930233,251,100,19,1,16,123
"IAA Thomas",3,3,5,60,3,0,0,2,0,0,3
"IG Butler",4,24,23,104.347826086957,12,1,1,2,0,0,13
"IG Holland",15,191,155,123.225806451613,27.2857142857143,9,6,8,0,1,65
"IJL Trott",2,40,45,88.8888888888889,20,0,1,0,0,0,39
"IR Bell",47,1552,1178,131.748726655348,36.093023255814,158,42,4,1,12,131
"IS Sodhi",18,65,60,108.333333333333,5.90909090909091,4,2,7,0,0,15
"Imad Wasim",12,113,88,128.409090909091,22.6,8,3,7,0,0,31
"Imran Qayyum",9,51,39,130.769230769231,17,5,1,6,0,0,21
"Imran Tahir",8,48,37,129.72972972973,16,1,3,5,0,0,23
"J Allenby",47,1248,985,126.700507614213,28.3636363636364,140,31,3,1,7,105
"J Banton",1,0,1,0,0,0,0,0,0,0,0
"J Broad",6,130,99,131.313131313131,32.5,12,2,2,0,0,47
"J Clark",67,957,738,129.674796747967,23.925,55,37,27,0,1,60
"J Goodwin",1,32,29,110.344827586207,32,5,0,0,0,0,32
"J Hull",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"J Leach",27,211,190,111.052631578947,9.59090909090909,22,5,5,0,0,24
"J Overton",56,758,443,171.106094808126,16.8444444444444,56,48,11,0,0,48
"J Shaw",4,16,11,145.454545454545,8,1,1,2,0,0,14
"JA Brooks",4,18,23,78.2608695652174,9,1,0,2,0,0,10
"JA Burns",6,63,68,92.6470588235294,10.5,1,3,0,0,0,21
"JA Chohan",5,55,37,148.648648648649,18.3333333333333,4,3,2,0,0,37
"JA Haynes",33,759,529,143.478260869565,23.71875,77,30,1,0,3,63
"JA Leaning",85,1814,1373,132.119446467589,28.34375,120,71,21,0,7,81
"JA Porter",6,5,7,71.4285714285714,5,0,0,5,0,0,1
"JA Rudolph",52,1657,1357,122.10759027266,42.4871794871795,184,16,13,1,13,101
"JA Simpson",115,2170,1662,130.565583634176,23.0851063829787,142,85,21,0,7,84
"JA Tattersall",34,500,405,123.456790123457,20.8333333333333,41,6,10,0,1,53
"JA Thompson",51,702,445,157.752808988764,19.5,37,52,15,0,4,74
"JA Turner",1,1,1,100,Inf,0,0,1,0,0,1
"JAR Harris",14,68,78,87.1794871794872,8.5,6,0,6,0,0,18
"JB Cracknell",43,1016,764,132.984293193717,24.780487804878,111,33,2,0,5,77
