"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"MW Short",2023-07-20,"Washington Freedom","Los Angeles Knight Riders",2,43,35,3,1,122.857142857143,FALSE,"Major League Cricket",2023,1381369,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","AD Russell","Washington Freedom","6",NA
"Imad Wasim",2023-07-14,"Seattle Orcas","Washington Freedom",2,43,38,3,1,113.157894736842,TRUE,"Major League Cricket",2023,1381363,"Grand Prairie Stadium","Dallas","Washington Freedom","Seattle Orcas","Seattle Orcas","field","Imad Wasim","Seattle Orcas","5",NA
"DR Sams",2023-07-24,"Texas Super Kings","San Francisco Unicorns",2,42,18,2,4,233.333333333333,FALSE,"Major League Cricket",2023,1381374,"Church Street Park, Morrisville","Morrisville","San Francisco Unicorns","Texas Super Kings","San Francisco Unicorns","bat","DR Sams","Texas Super Kings","3",NA
"H Klaasen",2023-07-21,"Seattle Orcas","Texas Super Kings",2,42,21,4,3,200,TRUE,"Major League Cricket",2023,1381370,"Church Street Park, Morrisville","Morrisville","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","WD Parnell","Seattle Orcas","8",NA
"AD Russell",2023-07-18,"Los Angeles Knight Riders","San Francisco Unicorns",2,42,26,2,4,161.538461538462,TRUE,"Major League Cricket",2023,1381368,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","Los Angeles Knight Riders","San Francisco Unicorns","bat","MS Wade","San Francisco Unicorns",NA,"21"
"SPD Smith",2024-07-14,"Washington Freedom","Los Angeles Knight Riders",2,42,36,2,2,116.666666666667,TRUE,"Major League Cricket",2024,1432736,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","GJ Maxwell","Washington Freedom","8",NA
"RR Rossouw",2023-07-20,"Los Angeles Knight Riders","Washington Freedom",1,41,30,0,4,136.666666666667,FALSE,"Major League Cricket",2023,1381369,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","AD Russell","Washington Freedom","6",NA
"D Brevis",2023-07-28,"MI New York","Texas Super Kings",2,41,33,1,2,124.242424242424,TRUE,"Major League Cricket",2023,1381378,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","MI New York","field","TA Boult","MI New York","6",NA
"Shayan Jahangir",2023-07-17,"MI New York","Texas Super Kings",2,41,38,5,0,107.894736842105,FALSE,"Major League Cricket",2023,1381367,"Grand Prairie Stadium","Dallas","Texas Super Kings","MI New York","Texas Super Kings","bat","DP Conway","Texas Super Kings",NA,"17"
"AGS Gous",2023-07-20,"Washington Freedom","Los Angeles Knight Riders",2,40,15,5,2,266.666666666667,FALSE,"Major League Cricket",2023,1381369,"Church Street Park, Morrisville","Morrisville","Los Angeles Knight Riders","Washington Freedom","Washington Freedom","field","AD Russell","Washington Freedom","6",NA
"AM Hardie",2024-07-24,"Texas Super Kings","MI New York",2,40,22,3,2,181.818181818182,TRUE,"Major League Cricket",2024,1432747,"Grand Prairie Stadium, Dallas","Dallas","MI New York","Texas Super Kings","Texas Super Kings","field","F du Plessis","Texas Super Kings","9",NA
"GJ Maxwell",2024-07-28,"Washington Freedom","San Francisco Unicorns",1,40,22,1,4,181.818181818182,FALSE,"Major League Cricket",2024,1432750,"Grand Prairie Stadium, Dallas","Dallas","Washington Freedom","San Francisco Unicorns","San Francisco Unicorns","field","SPD Smith","Washington Freedom",NA,"96"
"AD Russell",2024-07-07,"Los Angeles Knight Riders","San Francisco Unicorns",1,40,25,2,3,160,TRUE,"Major League Cricket",2024,1432729,"Grand Prairie Stadium, Dallas","Dallas","Los Angeles Knight Riders","San Francisco Unicorns","San Francisco Unicorns","field","FH Allen","San Francisco Unicorns","6",NA
"DP Conway",2024-07-14,"Texas Super Kings","MI New York",1,40,28,3,1,142.857142857143,FALSE,"Major League Cricket",2024,1432737,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","MI New York","MI New York","field","Rashid Khan","Texas Super Kings",NA,"15"
"N Pooran",2023-07-14,"MI New York","San Francisco Unicorns",2,40,28,2,3,142.857142857143,FALSE,"Major League Cricket",2023,1381362,"Grand Prairie Stadium","Dallas","San Francisco Unicorns","MI New York","San Francisco Unicorns","bat","CJ Anderson","San Francisco Unicorns",NA,"22"
"F du Plessis",2024-07-23,"Texas Super Kings","Seattle Orcas",1,39,17,6,1,229.411764705882,FALSE,"Major League Cricket",2024,1432746,"Grand Prairie Stadium, Dallas","Dallas","Texas Super Kings","Seattle Orcas","Seattle Orcas","field","CP Savage","Texas Super Kings",NA,"37"
