"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Tamim Iqbal",2022-01-22,"Minister Group Dhaka","Chattogram Challengers",2,52,45,6,2,115.555555555556,FALSE,"Bangladesh Premier League","2021/22",1296688,"Shere Bangla National Stadium, Mirpur","Dhaka","Chattogram Challengers","Minister Group Dhaka","Minister Group Dhaka","field","Nasum Ahmed","Chattogram Challengers",NA,"30"
"MN Samuels",2016-11-18,"Comilla Victorians","Rangpur Riders",1,52,46,3,2,113.04347826087,FALSE,"Bangladesh Premier League","2016/17",1063066,"Zahur Ahmed Chowdhury Stadium, Chittagong","Chattogram","Comilla Victorians","Rangpur Riders","Rangpur Riders","field","Mohammad Shahzad","Rangpur Riders","9",NA
"Shamsur Rahman",2013-01-31,"Rangpur Riders","Sylhet Royals",1,52,46,5,1,113.04347826087,FALSE,"Bangladesh Premier League","2012/13",599883,"MA Aziz Stadium, Chittagong","Chattogram","Rangpur Riders","Sylhet Royals","Sylhet Royals","field","Nazmul Hossain Milon","Sylhet Royals","5",NA
"CS Delport",2022-01-31,"Comilla Victorians","Chattogram Challengers",1,51,23,4,3,221.739130434783,TRUE,"Bangladesh Premier League","2021/22",1296697,"Zahur Ahmed Chowdhury Stadium, Chattogram","Chattogram","Comilla Victorians","Chattogram Challengers","Chattogram Challengers","field","F du Plessis","Comilla Victorians",NA,"52"
"Mahmudullah",2024-01-30,"Fortune Barishal","Sylhet Strikers",1,51,24,7,2,212.5,TRUE,"Bangladesh Premier League","2023/24",1412289,"Sylhet International Cricket Stadium","Sylhet","Fortune Barishal","Sylhet Strikers","Sylhet Strikers","field","Mahmudullah","Fortune Barishal",NA,"49"
"JDS Neesham",2024-02-10,"Rangpur Riders","Chattogram Challengers",1,51,26,5,3,196.153846153846,TRUE,"Bangladesh Premier League","2023/24",1412300,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Chattogram Challengers","Rangpur Riders","bat","JDS Neesham","Rangpur Riders",NA,"53"
"Zakir Hasan",2017-11-17,"Rajshahi Kings","Sylhet Sixers",2,51,26,4,3,196.153846153846,TRUE,"Bangladesh Premier League","2017/18",1121261,"Shere Bangla National Stadium, Mirpur","Dhaka","Sylhet Sixers","Rajshahi Kings","Rajshahi Kings","field","Zakir Hasan","Rajshahi Kings","7",NA
"CH Gayle",2017-11-21,"Rangpur Riders","Dhaka Dynamites",1,51,28,5,4,182.142857142857,FALSE,"Bangladesh Premier League","2017/18",1121268,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Dhaka Dynamites","Dhaka Dynamites","field","CH Gayle","Rangpur Riders",NA,"3"
"Munim Shahriar",2022-02-08,"Fortune Barishal","Sylhet Sunrisers",1,51,28,6,3,182.142857142857,FALSE,"Bangladesh Premier League","2021/22",1296708,"Sylhet International Cricket Stadium","Sylhet","Fortune Barishal","Sylhet Sunrisers","Sylhet Sunrisers","field","Shakib Al Hasan","Fortune Barishal",NA,"12"
"S Chanderpaul",2013-02-07,"Sylhet Royals","Rangpur Riders",2,51,29,6,2,175.862068965517,FALSE,"Bangladesh Premier League","2012/13",599894,"Shere Bangla National Stadium, Mirpur","Dhaka","Rangpur Riders","Sylhet Royals","Sylhet Royals","field","Shamsur Rahman","Sylhet Royals","6",NA
