"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Murad Khan",3,"10.0",0,97,2,48.5,9.7,30,15,0,0,"2/29"
"BJ Hodge",6,"12.0",0,98,2,49,8.16666666666667,36,22,0,0,"1/20"
"Bishawnath Halder",5,"16.0",0,108,2,54,6.75,48,34,0,0,"1/18"
"Abbas Afridi",3,"12.0",0,109,2,54.5,9.08333333333333,36,29,0,0,"1/26"
"Zahir Khan",4,"16.0",0,112,2,56,7,48,38,0,0,"1/18"
"Anwar Ali",6,"19.0",0,170,2,85,8.94736842105263,57,46,0,0,"1/25"
"CH Gayle",9,"21.0",0,194,2,97,9.23809523809524,63,33,0,0,"1/19"
"SF Mire",1,"1.0",0,4,1,4,4,6,3,0,0,"1/4"
"Taibur Rahman",2,"2.0",0,12,1,12,6,12,7,0,0,"1/5"
"Fawad Alam",1,"2.0",0,15,1,15,7.5,12,3,0,0,"1/15"
"Naeem Islam Jr.",1,"4.0",0,16,1,16,4,24,17,0,0,"1/16"
"Minhajul Abedin Afridi",2,"3.3",0,20,1,20,5.71428571428571,21,10,0,0,"1/8"
"Shafiqullah Ghafari",1,"4.0",0,21,1,21,5.25,24,10,0,0,"1/21"
"BCJ Cutting",2,"2.0",0,25,1,25,12.5,12,4,0,0,"1/10"
"Mohammad Asghar",2,"6.0",0,27,1,27,4.5,36,20,0,0,"1/21"
"AU Rashid",1,"4.0",0,31,1,31,7.75,24,7,0,0,"1/31"
"Shamsur Rahman",2,"3.0",0,31,1,31,10.3333333333333,18,5,0,0,"1/17"
"LMP Simmons",1,"4.0",0,33,1,33,8.25,24,5,0,0,"1/33"
"SJ Benn",1,"4.0",0,33,1,33,8.25,24,12,0,0,"1/33"
"Y Cariah",1,"4.0",0,33,1,33,8.25,24,10,0,0,"1/33"
"Rohanat Doullah Borson",2,"4.0",0,36,1,36,9,24,11,0,0,"1/21"
"Sabbir Hossain",3,"4.0",0,37,1,37,9.25,24,7,0,0,"1/5"
"CN Ackermann",2,"4.0",0,38,1,38,9.5,24,6,0,0,"1/22"
"Ifran Hossain",1,"3.0",0,38,1,38,12.6666666666667,18,5,0,0,"1/38"
"A Dananjaya",2,"7.0",0,47,1,47,6.71428571428571,42,15,0,0,"1/17"
"Mahbubul Alam",2,"3.0",0,47,1,47,15.6666666666667,18,4,0,0,"1/26"
"Mohammad Hafeez",3,"7.0",0,48,1,48,6.85714285714286,42,10,0,0,"1/15"
"SC Williams",2,"6.0",0,48,1,48,8,36,9,0,0,"1/27"
"SB Styris",3,"8.0",0,51,1,51,6.375,48,12,0,0,"1/26"
"GD Elliott",2,"6.0",0,52,1,52,8.66666666666667,36,5,0,0,"1/23"
"Amit Kumar",3,"6.0",0,56,1,56,9.33333333333333,36,9,0,0,"1/29"
"Nazmul Hossain Milon",4,"5.0",0,61,1,61,12.2,30,5,0,0,"1/8"
"GF Linde",3,"12.0",1,68,1,68,5.66666666666667,72,39,0,0,"1/14"
"Saeed Ajmal",3,"11.0",0,70,1,70,6.36363636363636,66,35,0,0,"1/23"
"GB Hogg",3,"12.0",0,72,1,72,6,72,33,0,0,"1/16"
"Habibur Rahman",3,"6.0",0,74,1,74,12.3333333333333,36,6,0,0,"1/43"
"MD Gunathilaka",5,"8.0",0,76,1,76,9.5,48,17,0,0,"1/25"
"Iftikhar Ahmed",6,"11.0",0,82,1,82,7.45454545454545,66,22,0,0,"1/33"
"KJ Abbott",3,"10.0",0,82,1,82,8.2,60,22,0,0,"1/27"
"Robiul Islam Robi",3,"8.0",0,82,1,82,10.25,48,15,0,0,"1/44"
"DJ Malan",7,"12.5",0,85,1,85,6.62337662337662,77,27,0,0,"1/8"
"Usama Mir",3,"11.0",0,85,1,85,7.72727272727273,66,24,0,0,"1/15"
"SMSM Senanayake",4,"14.0",0,98,1,98,7,84,39,0,0,"1/15"
"Samiullah Shenwari",4,"11.0",0,99,1,99,9,66,12,0,0,"1/33"
"Arif Ahmed",3,"11.0",0,106,1,106,9.63636363636364,66,17,0,0,"1/19"
"Shahadat Hossain",6,"17.0",0,169,1,169,9.94117647058824,102,36,0,0,"1/22"
"Sumon Khan",7,"19.0",0,196,1,196,10.3157894736842,114,27,0,0,"1/36"
"SPD Smith",1,"1.0",0,4,0,Inf,4,Inf,5,0,0,"0/4"
"MN Waller",1,"0.1",0,6,0,Inf,36,Inf,0,0,0,"0/6"
"Salman Hossain",1,"1.0",0,8,0,Inf,8,Inf,1,0,0,"0/8"
"Mahmudul Hasan Joy",1,"1.0",0,11,0,Inf,11,Inf,0,0,0,"0/11"
"Mehrab Hossain jnr",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"RR Rossouw",2,"2.0",0,12,0,Inf,6,Inf,3,0,0,"0/5"
"Saim Ayub",1,"1.0",0,12,0,Inf,12,Inf,2,0,0,"0/12"
"CJ Borgas",1,"1.0",0,14,0,Inf,14,Inf,1,0,0,"0/14"
"Aaron Jones",1,"1.0",0,15,0,Inf,15,Inf,0,0,0,"0/15"
"SM Katich",1,"1.0",0,15,0,Inf,15,Inf,1,0,0,"0/15"
"Towhid Hridoy",2,"3.0",0,15,0,Inf,5,Inf,8,0,0,"0/4"
"Aftab Ahmed",1,"1.0",0,16,0,Inf,16,Inf,0,0,0,"0/16"
"Talha Jubair",1,"1.0",0,16,0,Inf,16,Inf,0,0,0,"0/16"
"JL Jaggesar",1,"2.0",0,18,0,Inf,9,Inf,5,0,0,"0/18"
"Raza Ali Dar",1,"1.2",0,18,0,Inf,13.5,Inf,1,0,0,"0/18"
"Hammad Azam",1,"2.0",0,19,0,Inf,9.5,Inf,4,0,0,"0/19"
"Fazle Mahmud",1,"2.0",0,20,0,Inf,10,Inf,3,0,0,"0/20"
"PWH de Silva",1,"0.5",0,20,0,Inf,24,Inf,0,0,0,"0/20"
"GSNFG Jayasuriya",1,"3.0",0,21,0,Inf,7,Inf,4,0,0,"0/21"
"MADI Hemantha",1,"3.4",0,21,0,Inf,5.72727272727273,Inf,6,0,0,"0/21"
"Abrar Ahmed",1,"4.0",0,22,0,Inf,5.5,Inf,10,0,0,"0/22"
"DAS Gunaratne",2,"2.2",0,22,0,Inf,9.42857142857143,Inf,5,0,0,"0/8"
"Yasir Ali Chowdhury",2,"2.0",0,23,0,Inf,11.5,Inf,2,0,0,"0/8"
"SM Meherob",3,"2.4",0,26,0,Inf,9.75,Inf,5,0,0,"0/4"
"Zia-ur-Rehman",1,"4.0",0,26,0,Inf,6.5,Inf,12,0,0,"0/26"
"CK Kapugedera",1,"4.0",0,28,0,Inf,7,Inf,8,0,0,"0/28"
"LJ Wright",1,"4.0",0,28,0,Inf,7,Inf,6,0,0,"0/28"
"Aamer Yamin",1,"4.0",0,29,0,Inf,7.25,Inf,13,0,0,"0/29"
"CAK Rajitha",1,"3.0",0,29,0,Inf,9.66666666666667,Inf,6,0,0,"0/29"
