"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JP Sarro",2021-07-23,"Lancashire","Sussex",2,"7.0",1,41,2,5.85714285714286,26,"Royal London One-Day Cup",2021,1250164,"The Cricket Field, Sedbergh School","Sedbergh","Sussex","Lancashire","Sussex","bat",NA,"Lancashire","2",NA
"JS Patel",2019-04-19,"Yorkshire","Warwickshire",2,"10.0",0,41,2,4.1,35,"Royal London One-Day Cup",2019,1167056,"Edgbaston, Birmingham","Birmingham","Warwickshire","Yorkshire","Yorkshire","field",NA,NA,NA,NA
"KJ Abbott",2019-04-17,"Kent","Hampshire",2,"7.0",0,41,2,5.85714285714286,27,"Royal London One-Day Cup",2019,1167051,"St Lawrence Ground, Canterbury","Canterbury","Hampshire","Kent","Kent","field","SA Northeast","Hampshire",NA,"90"
"L Gregory",2018-05-18,"Surrey","Somerset",1,"8.0",0,41,2,5.125,32,"Royal London One-Day Cup",2018,1127767,"Kennington Oval, London","London","Surrey","Somerset","Somerset","field",NA,"Somerset","8",NA
"L Gregory",2018-05-27,"Middlesex","Somerset",2,"8.0",1,41,2,5.125,31,"Royal London One-Day Cup",2018,1127799,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Middlesex","Middlesex","field",NA,"Somerset",NA,"53"
"LA Dawson",2017-04-27,"Kent","Hampshire",1,"10.0",0,41,2,4.1,31,"Royal London One-Day Cup",2017,1068434,"St Lawrence Ground, Canterbury","Canterbury","Kent","Hampshire","Hampshire","field",NA,"Hampshire","6",NA
"LA Dawson",2019-05-05,"Somerset","Hampshire",1,"10.0",0,41,2,4.1,28,"Royal London One-Day Cup",2019,1167111,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Hampshire","Somerset","bat",NA,"Hampshire","7",NA
"MD Taylor",2021-08-12,"Kent","Gloucestershire",1,"9.0",0,41,2,4.55555555555556,25,"Royal London One-Day Cup",2021,1250226,"Kent County Cricket Ground, Beckenham","Beckenham","Kent","Gloucestershire","Gloucestershire","field",NA,"Gloucestershire","8",NA
"ME Claydon",2014-07-29,"Durham","Kent",1,"9.0",1,41,2,4.55555555555556,32,"Royal London One-Day Cup",2014,693305,"St Lawrence Ground, Canterbury","Canterbury","Durham","Kent","Durham","bat",NA,"Kent","2",NA
"MT Coles",2014-07-27,"Lancashire","Hampshire",2,"6.0",0,41,2,6.83333333333333,19,"Royal London One-Day Cup",2014,693293,"Old Trafford, Manchester","Manchester","Hampshire","Lancashire","Hampshire","bat",NA,"Hampshire",NA,"148"
"NL Buck",2022-08-12,"Glamorgan","Northamptonshire",1,"8.0",0,41,2,5.125,29,"Royal London One-Day Cup",2022,1297990,"County Ground, Northampton","Northampton","Glamorgan","Northamptonshire","Glamorgan","bat",NA,"Northamptonshire","6",NA
"OE Robinson",2018-05-22,"Somerset","Sussex",2,"8.0",0,41,2,5.125,27,"Royal London One-Day Cup",2018,1127778,"The Cooper Associates County Ground, Taunton","Taunton","Sussex","Somerset","Sussex","bat",NA,"Sussex",NA,"75"
"OJ Hannon-Dalby",2016-08-29,"Somerset","Warwickshire",2,"10.0",0,41,2,4.1,30,"Royal London One-Day Cup",2016,947511,"Edgbaston, Birmingham","Birmingham","Warwickshire","Somerset","Warwickshire","bat","JS Patel","Warwickshire",NA,"8"
"RAJ Smith",2018-05-25,"Kent","Glamorgan",2,"9.0",0,41,2,4.55555555555556,31,"Royal London One-Day Cup",2018,1127787,"St Lawrence Ground, Canterbury","Canterbury","Glamorgan","Kent","Kent","field",NA,"Kent","4",NA
"S Baker",2021-07-28,"Glamorgan","Somerset",2,"8.0",1,41,2,5.125,29,"Royal London One-Day Cup",2021,1250179,"The Cooper Associates County Ground, Taunton","Taunton","Somerset","Glamorgan","Glamorgan","field",NA,"Somerset",NA,"1"
"SG Borthwick",2014-08-12,"Nottinghamshire","Durham",1,"10.0",0,41,2,4.1,33,"Royal London One-Day Cup",2014,693379,"Riverside Ground, Chester-le-Street","Chester-le-Street","Nottinghamshire","Durham","Durham","field",NA,"Durham","6",NA
