"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CG Williams",2013-11-19,"Namibia","Italy",2,57,51,4,1,111.764705882353,FALSE,"ICC World Twenty20 Qualifier","2013/14",660141,"Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Italy","Namibia","Italy","bat","CG Williams","Namibia","3",NA
"AR Patwa",2018-07-07,"Tanzania","Rwanda",1,56,25,7,4,224,FALSE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151244,"Gahanga International Cricket Stadium. Rwanda",NA,"Tanzania","Rwanda","Tanzania","bat","AR Patwa","Tanzania",NA,"76"
"DM Gondaria",2018-07-08,"Kenya","Rwanda",1,56,31,4,5,180.645161290323,FALSE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151246,"Gahanga International Cricket Stadium. Rwanda",NA,"Kenya","Rwanda","Kenya","bat","CO Obuya","Kenya",NA,"123"
"Ahmed Faiz Mohammad Noor",2015-01-30,"Malaysia","Singapore",2,56,32,3,4,175,TRUE,"ACC Twenty20 Cup","2014/15",811137,"Sharjah Cricket Stadium",NA,"Malaysia","Singapore","Singapore","bat","Ahmed Faiz Mohammad Noor","Malaysia","6",NA
"Rohan Mustafa",2017-01-15,"United Arab Emirates","Namibia",2,56,34,7,1,164.705882352941,FALSE,"Desert T20 Challenge","2016/17",1074960,"Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","Namibia","Namibia","bat","Mohammad Naveed","United Arab Emirates","6",NA
"KC Ramamoorthy",2018-12-03,"Indonesia","Philippines",2,56,43,7,1,130.232558139535,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166885,"Friendship Oval","Dasmarinas","Philippines","Indonesia","Philippines","bat","Anjar Tadarus","Philippines",NA,"3"
"Shahbaz Badar",2018-04-21,"Bahrain","Maldives",2,56,43,2,1,130.232558139535,FALSE,"ICC World Twenty20 Asia Region Qualifier A","2018",1142212,"Tack-Tec Ground","Kuwait City","Maldives","Bahrain","Bahrain","field","Shahbaz Badar","Bahrain","6",NA
"WTS Porterfield",2015-07-10,"Ireland","Namibia",2,56,44,7,1,127.272727272727,TRUE,"ICC World Twenty20 Qualifier","2015",875461,"Civil Service Cricket Club, Stormont","Belfast","Ireland","Namibia","Ireland","field","JF Mooney","Ireland","7",NA
"CS MacLeod",2013-11-27,"Scotland","Italy",2,56,45,7,0,124.444444444444,FALSE,"ICC World Twenty20 Qualifier","2013/14",660215,"Sheikh Zayed Stadium Nursery 2","Abu Dhabi","Italy","Scotland","Italy","bat","CS MacLeod","Scotland","7",NA
"TP Ura",2013-11-17,"Papua New Guinea","Afghanistan",1,56,49,5,2,114.285714285714,FALSE,"ICC World Twenty20 Qualifier","2013/14",660131,"Sharjah Cricket Stadium","Sharjah","Papua New Guinea","Afghanistan","Papua New Guinea","bat","Samiullah Shenwari","Afghanistan","6",NA
"Sami Sohail",2018-10-30,"Malawi","Botswana",2,56,52,4,2,107.692307692308,FALSE,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163058,"Botswana Cricket Association Oval 2","Gaborone","Botswana","Malawi","Botswana","bat","Sami Sohail","Botswana",NA,"15"
"Mohammad Shahzad (2)",2015-07-14,"United Arab Emirates","Canada",2,56,53,2,3,105.660377358491,FALSE,"ICC World Twenty20 Qualifier","2015",875497,"New Williamfield No1 Oval","Stirling","Canada","United Arab Emirates","United Arab Emirates","field","Mohammad Shahzad (2)","United Arab Emirates","5",NA
