"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"Ameel Mauroof",2,3,13,23.0769230769231,3,0,0,1,0,0,3
"Aminuddin Ramly",5,66,59,111.864406779661,22,1,5,2,0,0,23
"Amir Ali",6,72,57,126.315789473684,14.4,7,1,1,0,0,30
"Amir Hamza",2,2,8,25,Inf,0,0,2,0,0,2
"Amir Hayat",1,0,1,0,0,0,0,0,0,0,0
"Amjad Javed",8,83,68,122.058823529412,16.6,7,4,3,0,0,19
"Amjad Mahboob",6,19,23,82.6086956521739,6.33333333333333,0,2,3,0,0,9
"Ammar Zahir",2,21,21,100,21,0,2,1,0,0,18
"Anam Mollik",2,24,29,82.7586206896552,12,3,0,0,0,0,13
"Anamul Haque",2,11,9,122.222222222222,5.5,2,0,0,0,0,11
"Andre Jarju",2,12,21,57.1428571428571,6,2,0,0,0,0,8
"Anjar Tadarus",5,59,45,131.111111111111,11.8,7,2,0,0,0,30
"Ansar Iqbal",3,80,66,121.212121212121,40,11,1,1,0,0,39
"Anshuman Rath",3,46,50,92,23,2,1,1,0,0,43
"Anwar Arudin",8,100,89,112.359550561798,14.2857142857143,8,6,1,0,1,55
"Anwar Rahman",2,7,14,50,7,0,0,1,0,0,6
"Aritra Dutta",5,86,68,126.470588235294,17.2,13,1,0,0,0,36
"Arshad Hayat",1,3,2,150,Inf,0,0,1,0,0,3
"Arslan Ahmed",1,49,34,144.117647058824,49,7,0,0,0,0,49
"Arya Pastika",4,30,53,56.6037735849057,10,1,0,1,0,0,12
"Asad Mohammad",5,46,26,176.923076923077,15.3333333333333,1,5,2,0,0,32
"Asghar Stanikzai",2,42,42,100,21,1,2,0,0,0,31
"Ashfaq Ahmed",6,157,122,128.688524590164,31.4,15,10,1,0,0,46
"Ashiqullah Said",2,23,19,121.052631578947,23,1,1,1,0,0,12
"Asim Khurshid",2,17,24,70.8333333333333,8.5,0,0,0,0,0,17
"Aslam Doria",3,24,36,66.6666666666667,12,2,0,1,0,0,12
"Atif Mehmood",3,40,39,102.564102564103,13.3333333333333,2,2,0,0,0,18
"Aung Ko Ko",3,0,10,0,0,0,0,1,0,0,0
"Awais Ahmed",3,24,30,80,8,3,0,0,0,0,15
"Azam Khalil",2,6,9,66.6666666666667,3,0,0,0,0,0,6
"Azam Mohammad",2,25,20,125,25,2,1,1,0,0,25
"Azan Baig",2,9,15,60,4.5,0,0,0,0,0,9
"Aziz Mohammad",2,24,29,82.7586206896552,12,3,0,0,0,0,17
"Azmatullah Nazeer",3,24,20,120,12,0,2,1,0,0,12
"Azyan Farhath",5,40,46,86.9565217391304,13.3333333333333,1,1,2,0,0,22
"B Adu",1,11,5,220,Inf,1,0,1,0,0,11
"B Bhandari",20,264,209,126.315789473684,18.8571428571429,19,15,6,0,1,51
"B Bugingo",1,2,4,50,Inf,0,0,1,0,0,2
"B Ess",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"B Hower",2,0,4,0,0,0,0,1,0,0,0
"B Kynman",4,14,19,73.6842105263158,4.66666666666667,0,0,1,0,0,8
"B Masaba",5,79,68,116.176470588235,26.3333333333333,8,0,2,0,0,36
"B Regmi",6,39,41,95.1219512195122,9.75,2,1,2,0,0,13
"B Songa",5,63,72,87.5,12.6,4,3,0,0,0,43
"B Ward",4,111,110,100.909090909091,37,12,0,1,0,1,54
"B Zaigham",2,8,10,80,4,0,0,0,0,0,5
"BA Pai",2,46,44,104.545454545455,23,7,0,0,0,0,33
"BA Simango",3,24,48,50,8,2,0,0,0,0,11
"BBJL Perera",9,107,102,104.901960784314,13.375,8,2,1,0,0,34
"BDH Stevens",8,155,147,105.442176870748,22.1428571428571,12,2,1,0,1,75
"BF Mailata",5,116,83,139.759036144578,29,11,6,1,0,1,57
"BM Scholtz",9,22,25,88,4.4,2,0,4,0,0,6
"BMAJ Mendis",2,9,9,100,4.5,0,0,0,0,0,7
"BN Cooper",6,132,96,137.5,26.4,12,5,1,0,1,59
"BS Bartley",5,37,46,80.4347826086957,7.4,2,0,0,0,0,15
"Babar Hayat",10,142,140,101.428571428571,15.7777777777778,8,4,1,0,0,48
"Babar Hussain",3,37,30,123.333333333333,18.5,0,3,1,0,0,29
"Baljit Singh",1,2,4,50,Inf,0,0,1,0,0,2
"Bashir Shah",3,7,9,77.7777777777778,3.5,1,0,1,0,0,6
"Basiru Jaye",2,11,12,91.6666666666667,5.5,2,0,0,0,0,11
"Bastaki Fahad",1,4,38,10.5263157894737,4,0,0,0,0,0,4
"Bastaki Mahmoud",1,0,1,0,0,0,0,0,0,0,0
"Beidas Tareq",1,4,17,23.5294117647059,4,0,0,0,0,0,4
"Bilal Ahmed",2,1,3,33.3333333333333,0.5,0,0,0,0,0,1
"Bilal Mansoor",2,20,7,285.714285714286,20,0,3,1,0,0,20
"Bilal Zalmai",1,12,14,85.7142857142857,12,1,0,0,0,0,12
"Bosco Tuyizere",5,31,60,51.6666666666667,7.75,2,1,1,0,0,14
"C Bisson",6,16,32,50,2.66666666666667,0,0,0,0,0,5
"C Brown",4,22,45,48.8888888888889,5.5,2,0,0,0,0,12
"C Burgess",1,2,5,40,2,0,0,0,0,0,2
"C Chete",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"C George",2,18,19,94.7368421052632,9,3,0,0,0,0,9
"C Hawke",1,2,5,40,2,0,0,0,0,0,2
"C Lenyatsa",1,3,3,100,3,0,0,0,0,0,3
"C Munoz-Mills",4,61,69,88.4057971014493,20.3333333333333,3,2,1,0,0,29
"C Peake",2,0,1,0,0,0,0,1,0,0,0
"C Pengkumta",3,58,54,107.407407407407,29,7,0,1,0,1,50
"C Pervez",1,2,4,50,Inf,0,0,1,0,0,2
"C Rububagumya",6,37,51,72.5490196078431,6.16666666666667,5,0,0,0,0,12
"C Tlali",4,112,123,91.0569105691057,37.3333333333333,9,2,1,0,1,58
"C Tommy",5,35,49,71.4285714285714,7,2,2,0,0,0,23
"C Viljoen",6,103,99,104.040404040404,17.1666666666667,8,1,0,0,0,35
"C Waiswa",6,43,45,95.5555555555556,14.3333333333333,3,1,3,0,0,21
"C Wright",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"CA Soper",3,16,16,100,Inf,1,0,3,0,0,11
"CC Blake",2,11,9,122.222222222222,11,2,0,1,0,0,10
"CD Wright",3,42,36,116.666666666667,21,5,2,1,0,0,21
"CF Snyman",1,1,2,50,1,0,0,0,0,0,1
"CG Williams",16,281,258,108.914728682171,21.6153846153846,20,6,3,0,1,57
"CH Williams",2,6,11,54.5454545454545,3,1,0,0,0,0,5
"CJ Bodenstein",5,60,61,98.3606557377049,15,7,1,1,0,0,27
"CJ Botma",2,6,17,35.2941176470588,3,0,0,0,0,0,6
"CJ Delany",1,1,6,16.6666666666667,1,0,0,0,0,0,1
"CJ Langford",1,0,1,0,0,0,0,0,0,0,0
"CJ Phillips",1,15,25,60,15,1,0,0,0,0,15
"CJA Amini",14,239,180,132.777777777778,21.7272727272727,20,7,3,0,1,61
"CKB Kulasekara",1,0,2,0,0,0,0,0,0,0,0
"CN Kent",6,63,57,110.526315789474,10.5,4,2,0,0,0,24
"CN Onwuzulike",2,77,59,130.508474576271,38.5,3,6,0,0,1,54
"CO Obuya",16,437,337,129.673590504451,36.4166666666667,28,20,4,0,4,67
"CP Wellage",1,7,4,175,Inf,0,0,1,0,0,7
"CR Amini",3,19,22,86.3636363636364,19,0,0,2,0,0,11
"CR Foggo",3,66,84,78.5714285714286,22,2,1,0,0,0,41
"CR Kumarage",8,188,148,127.027027027027,31.3333333333333,16,8,2,0,0,45
"CR Pedersen",6,142,164,86.5853658536585,47.3333333333333,12,1,3,0,0,43
"CR Suryawanshi",9,115,93,123.655913978495,16.4285714285714,11,3,2,0,0,36
"CRM Douglas",2,15,20,75,7.5,2,0,0,0,0,12
"CS MacLeod",9,318,243,130.864197530864,39.75,32,9,1,0,3,82
"CS Sandri",8,201,179,112.290502793296,40.2,13,6,3,0,0,41
"CV Harrison",1,0,0,NA,NA,0,0,1,0,0,0
"CW Coombe",4,51,45,113.333333333333,17,6,1,1,0,0,37
"CW Perchard",5,34,33,103.030303030303,11.3333333333333,3,0,2,0,0,18
"Chen Jinfeng",5,36,82,43.9024390243902,7.2,2,1,0,0,0,21
"Chen Liang",2,22,36,61.1111111111111,11,1,0,0,0,0,17
"Chen Xiaoran",5,5,19,26.3157894736842,1,1,0,0,0,0,4
"Chirag Suri",5,129,98,131.632653061224,25.8,11,5,0,0,1,86
"D Ahir",3,32,54,59.2592592592593,10.6666666666667,2,1,0,0,0,16
"D Amirdalingame",2,11,19,57.8947368421053,5.5,0,0,0,0,0,6
"D Benoit",3,28,48,58.3333333333333,14,3,0,1,0,0,15
"D Daesrath",4,42,40,105,14,0,2,1,0,0,30
"D Dawa",1,1,7,14.2857142857143,1,0,0,0,0,0,1
"D Desandri",2,2,7,28.5714285714286,1,0,0,0,0,0,2
"D Duraisingam",1,8,4,200,8,0,1,0,0,0,8
"D Forrester",1,32,17,188.235294117647,32,2,3,0,0,0,32
"D Gim",1,30,29,103.448275862069,30,1,0,0,0,0,30
"D Heyliger",1,0,1,0,0,0,0,0,0,0,0
"D Kansonkho",4,63,71,88.7323943661972,15.75,8,0,0,0,0,41
"D Kniveton",4,85,104,81.7307692307692,21.25,2,0,0,0,0,30
"D Massil",1,1,1,100,Inf,0,0,1,0,0,1
"D Muhumuza",4,76,66,115.151515151515,38,5,3,2,0,0,27
"D Murphy",1,0,2,0,0,0,0,0,0,0,0
"D O'Bey",3,14,33,42.4242424242424,4.66666666666667,2,0,0,0,0,8
"D Ravu",2,1,1,100,Inf,0,0,2,0,0,1
"D Sutherland",5,30,58,51.7241379310345,7.5,3,0,1,0,0,10
"D Uwimana",6,22,33,66.6666666666667,4.4,0,0,1,0,0,12
"D Weston",5,143,126,113.492063492063,28.6,13,4,0,0,2,70
"D Young (2)",3,16,16,100,8,1,0,1,0,0,7
"DA Marage",3,5,11,45.4545454545455,2.5,0,0,1,0,0,3
"DAS Gunaratne",1,1,5,20,1,0,0,0,0,0,1
"DC Smith",6,63,60,105,12.6,3,4,1,0,0,21
"DC Stovell",7,96,81,118.518518518519,13.7142857142857,14,0,0,0,0,29
"DE Burgess",5,100,81,123.456790123457,25,13,0,1,0,0,39
"DF Jacobs",3,67,56,119.642857142857,33.5,6,3,1,0,0,47
"DG Blampied",2,29,31,93.5483870967742,29,1,0,1,0,0,24
"DG Crowley",8,191,192,99.4791666666667,27.2857142857143,14,3,1,0,2,61
"DG Weakley",1,3,8,37.5,3,0,0,0,0,0,3
"DJ Hawke",1,7,14,50,7,0,0,0,0,0,7
"DJ Hawoe",1,0,2,0,0,0,0,0,0,0,0
"DK Arinaitwe",5,77,97,79.3814432989691,15.4,2,0,0,0,0,28
"DL Brangman",1,2,1,200,Inf,0,0,1,0,0,2
"DL Hemp",10,287,270,106.296296296296,35.875,27,6,2,0,2,64
"DLS van Bunge",1,11,15,73.3333333333333,11,0,1,0,0,0,11
"DM Gondaria",9,308,195,157.948717948718,34.2222222222222,27,18,0,0,3,90
"DM Nakrani",5,319,161,198.136645962733,106.333333333333,25,26,2,1,2,102
"DNA Ankrah",2,47,29,162.068965517241,23.5,3,2,0,0,0,44
"DP Michael",5,142,102,139.21568627451,35.5,11,9,1,1,0,100
"DR Hooper",1,3,6,50,Inf,0,0,1,0,0,3
"DS Airee",2,45,36,125,22.5,5,1,0,0,0,30
"DSF Arsakulasuriya",1,7,8,87.5,Inf,0,0,1,0,0,7
"DT Johnston",4,44,25,176,22,5,2,2,0,0,35
"DZ Ma",5,9,35,25.7142857142857,1.8,0,0,0,0,0,5
"Daesik Sung",5,40,26,153.846153846154,8,2,3,0,0,0,33
"Daljeet Singh",1,2,3,66.6666666666667,Inf,0,0,1,0,0,2
"Danial Ahmed",3,11,20,55,11,0,0,2,0,0,5
"Dawlat Zadran",1,0,0,NA,NA,0,0,1,0,0,0
"Dharmang Patel",1,12,9,133.333333333333,Inf,1,0,1,0,0,12
"E Dusingizimana",5,18,36,50,3.6,3,0,0,0,0,10
"E Kahamker",6,24,58,41.3793103448276,8,1,0,3,0,0,10
"E Ngegba",4,80,77,103.896103896104,26.6666666666667,7,0,1,0,0,39
"E Niyomugabo",6,151,106,142.452830188679,25.1666666666667,12,9,0,0,0,43
"E Ochieng",2,4,8,50,4,0,0,1,0,0,3
"E Otieno",1,1,1,100,1,0,0,0,0,0,1
"E Solomon",7,155,158,98.1012658227848,22.1428571428571,14,0,0,0,1,50
"E Ul Haq",3,29,47,61.7021276595745,9.66666666666667,2,0,0,0,0,12
"EB Knowles",1,8,13,61.5384615384615,8,0,0,0,0,0,8
"EF Beard",3,70,87,80.4597701149425,23.3333333333333,2,0,0,0,0,33
"EH Dusabemungu",6,53,52,101.923076923077,8.83333333333333,7,0,0,0,0,18
"EH Hutchinson",4,10,15,66.6666666666667,3.33333333333333,1,0,1,0,0,7
"EHSN Silva",4,16,18,88.8888888888889,5.33333333333333,0,0,1,0,0,9
"EJ Farley",6,92,90,102.222222222222,15.3333333333333,6,4,0,0,1,57
"EJB Miles",1,0,0,NA,NA,0,0,1,0,0,0
"ES Szwarczynski",3,44,53,83.0188679245283,22,3,0,1,0,0,23
"Eissa Jassim",1,0,3,0,0,0,0,0,0,0,0
"Emanuel Solomon",7,141,87,162.068965517241,20.1428571428571,10,11,0,0,1,70
"F Banunaek",2,15,27,55.5555555555556,7.5,0,0,0,0,0,12
"F Damiao Couana",3,52,56,92.8571428571429,17.3333333333333,7,0,0,0,0,28
"F Khaliq",2,33,29,113.793103448276,33,1,1,1,0,0,23
