"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Riyas Bazirhak",2018-08-30,"Portugal","France",2,"4.0",0,24,1,6,11,"ICC World Twenty20 Europe Region Qualifier A","2018",1155308,"Sportpark Maarschalkerweerd","Utrecht","France","Portugal","Portugal","field","Tariq Aziz","France",NA,"2"
"Sami Sohail",2018-11-01,"Lesotho","Malawi",2,"4.0",0,24,1,6,9,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163062,"Botswana Cricket Association Oval 2","Gaborone","Malawi","Lesotho","Malawi","bat","C Tlali","Malawi",NA,"4"
"Vimal Kumar",2018-12-05,"South Korea","Philippines",2,"4.0",0,24,1,6,14,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166888,"Friendship Oval","Dasmarinas","Philippines","South Korea","Philippines","bat","Surinder Singh","Philippines",NA,"4"
"Z Bimenyimana",2018-07-11,"Kenya","Rwanda",2,"3.1",0,24,1,7.57894736842105,8,"ICC World Twenty20 Africa Region Qualifier B","2018",1151250,"Gahanga International Cricket Stadium. Rwanda",NA,"Rwanda","Kenya","Rwanda","bat","P Kerai","Kenya","5",NA
"Zeeshan Abbas",2018-04-26,"Qatar","Bahrain",2,"4.0",0,24,1,6,14,"ICC World Twenty20 Asia Region Qualifier A","2018",1142221,"Sulabiya Ground","Kuwait City","Bahrain","Qatar","Qatar","field","Zaheer Ibrahim","Qatar","5",NA
"Zeeshan Maqsood",2015-01-26,"Malaysia","Oman",2,"3.0",0,24,1,8,7,"ACC Twenty20 Cup","2014/15",811119,"Sharjah Cricket Stadium",NA,"Malaysia","Oman","Oman","bat","Jatinder Singh","Oman",NA,"46"
"Aizaz Khan",2014-10-03,"Bangladesh","Hong Kong",1,"4.0",0,25,1,6.25,7,"Asian Games Men's Cricket Competition","2014/15",778041,"Yeonhui Cricket Ground","Incheon","Bangladesh","Hong Kong","Bangladesh","bat",NA,"Bangladesh",NA,"27"
"AM Guruge",2013-11-16,"Namibia","United Arab Emirates",1,"4.0",0,25,1,6.25,10,"ICC World Twenty20 Qualifier","2013/14",660109,"Sheikh Zayed Stadium","Abu Dhabi","Namibia","United Arab Emirates","United Arab Emirates","field","Rohan Mustafa","United Arab Emirates","5",NA
"Andre Jarju",2018-04-21,"Sierra Leone","Gambia",2,"3.0",0,25,1,8.33333333333333,6,"ICC World Twenty20 Africa Region Qualifier A","2018",1143125,"Tafawa Balewa Square Cricket Oval","Lagos","Gambia","Sierra Leone","Gambia","bat",NA,"Sierra Leone","8",NA
"AV Lalcheta",2015-01-30,"Kuwait","Oman",2,"4.0",0,25,1,6.25,12,"ACC Twenty20 Cup","2014/15",811135,"Sharjah Cricket Stadium",NA,"Kuwait","Oman","Oman","bat","Aamir Kaleem","Oman",NA,"11"
"AW Kay",2015-07-17,"Namibia","Jersey",2,"3.0",0,25,1,8.33333333333333,8,"ICC World Twenty20 Qualifier","2015",875515,"Clontarf Cricket Club Ground","Dublin","Jersey","Namibia","Namibia","field","G Snyman","Namibia","9",NA
"BDH Stevens",2015-07-18,"Nepal","Jersey",1,"4.0",0,25,1,6.25,7,"ICC World Twenty20 Qualifier","2015",875523,"The Village, Malahide","Dublin","Jersey","Nepal","Jersey","field","NAT Watkins","Jersey","7",NA
"D Benoit",2018-08-30,"Portugal","France",2,"4.0",0,25,1,6.25,11,"ICC World Twenty20 Europe Region Qualifier A","2018",1155308,"Sportpark Maarschalkerweerd","Utrecht","France","Portugal","Portugal","field","Tariq Aziz","France",NA,"2"
"D Kansonkho",2018-10-30,"Botswana","Malawi",1,"2.0",0,25,1,12.5,3,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163058,"Botswana Cricket Association Oval 2","Gaborone","Botswana","Malawi","Botswana","bat","Sami Sohail","Botswana",NA,"15"
"D Maisuria",2018-11-02,"Lesotho","Botswana",1,"2.0",0,25,1,12.5,1,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163064,"Botswana Cricket Association Oval 2","Gaborone","Lesotho","Botswana","Lesotho","bat","A Rangaswamy","Botswana","6",NA
"GR Russ",2018-12-03,"Indonesia","Philippines",2,"4.0",0,25,1,6.25,12,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166885,"Friendship Oval","Dasmarinas","Philippines","Indonesia","Philippines","bat","Anjar Tadarus","Philippines",NA,"3"
"J Bulele",2018-10-30,"Lesotho","Mozambique",2,"3.0",0,25,1,8.33333333333333,7,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163057,"Botswana Cricket Association Oval 1","Gaborone","Mozambique","Lesotho","Mozambique","bat","FA Cossa","Mozambique",NA,"66"
"J Gilbert",2010-06-06,"United States of America","Bermuda",2,"4.0",0,25,1,6.25,11,"ICC World Cricket League Americas Region Division One Twenty20","2010",460060,"National Stadium","Hamilton","Bermuda","United States of America","United States of America","field","LJ Cush","United States of America","2",NA
"JWN Moses",2018-10-30,"Malawi","Botswana",2,"4.0",0,25,1,6.25,11,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163058,"Botswana Cricket Association Oval 2","Gaborone","Botswana","Malawi","Botswana","bat","Sami Sohail","Botswana",NA,"15"
"Kaleem Shah",2018-11-01,"Malawi","Mozambique",1,"4.0",0,25,1,6.25,10,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163059,"Botswana Cricket Association Oval 1","Gaborone","Malawi","Mozambique","Malawi","bat","FA Cossa","Mozambique","5",NA
"Khawar Ali",2015-07-23,"Namibia","Oman",1,"4.0",0,25,1,6.25,8,"ICC World Twenty20 Qualifier","2015",875547,"The Village, Malahide","Dublin","Namibia","Oman","Oman","field","Zeeshan Siddiqui","Oman","5",NA
"KRP Silva",2018-09-25,"Canada","United States of America",1,"4.0",1,25,1,6.25,13,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157699,"Church Street Park","Morrisville","Canada","United States of America","Canada","bat","Steven Ryan Taylor","United States of America","2",NA
"M Mooketsi",2018-11-02,"Lesotho","Botswana",1,"4.0",0,25,1,6.25,10,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163064,"Botswana Cricket Association Oval 2","Gaborone","Lesotho","Botswana","Lesotho","bat","A Rangaswamy","Botswana","6",NA
"MGSM Fernando",2013-11-19,"Namibia","Italy",2,"4.0",0,25,1,6.25,6,"ICC World Twenty20 Qualifier","2013/14",660141,"Sheikh Zayed Stadium Nursery 1","Abu Dhabi","Italy","Namibia","Italy","bat","CG Williams","Namibia","3",NA
"Mihusan Hamid",2018-04-23,"Qatar","Maldives",1,"4.0",0,25,1,6.25,6,"ICC World Twenty20 Asia Region Qualifier A","2018",1142214,"Tack-Tec Ground","Kuwait City","Qatar","Maldives","Qatar","bat","Muhammad Tanveer","Qatar",NA,"44"
"Muhammad Saqlain",2024-05-26,"Gibraltar","Hungary",1,"4.0",0,25,1,6.25,16,"Continental Cup","2024",1434162,"Moara Vlasiei Cricket Ground, Ilfov County","Ilfov County","Gibraltar","Hungary","Hungary","field","Sheikh Rasik","Hungary","8",NA
"Mujeeb-ur-Rehman",2016-09-28,"Saudi Arabia","Qatar",1,"4.0",1,25,1,6.25,15,"Kenya T20 Quadrangular Series","2016",1058157,"Jaffery Sports Club Ground","Nairobi","Qatar","Saudi Arabia","Qatar","field",NA,"Saudi Arabia",NA,"36"
"P Khadka",2013-11-16,"Kenya","Nepal",1,"4.0",0,25,1,6.25,13,"ICC World Twenty20 Qualifier","2013/14",660121,"ICC Academy Oval 2","Dubai","Kenya","Nepal","Nepal","field","RR Patel","Nepal","6",NA
"Riaz Suleman",2018-11-01,"Namibia","Lesotho",1,"2.0",0,25,1,12.5,2,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163060,"Botswana Cricket Association Oval 2","Gaborone","Namibia","Lesotho","Namibia","bat","L Louwrens","Namibia",NA,"179"
"Riyad Khan",2018-08-25,"Papua New Guinea","Fiji",1,"2.0",0,25,1,12.5,3,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155274,"Albert Park 1","Suva","Fiji","Papua New Guinea","Fiji","field","A Vala","Papua New Guinea",NA,"75"
"RJG Palmer",2015-07-12,"Papua New Guinea","Jersey",1,"4.0",0,25,1,6.25,7,"ICC World Twenty20 Qualifier","2015",875479,"Bready Cricket Club, Magheramason","Londonderry","Papua New Guinea","Jersey","Jersey","field","N Vanua","Papua New Guinea",NA,"24"
"RM Koda",2018-12-01,"Japan","Indonesia",1,"4.0",0,25,1,6.25,11,"ICC World Twenty20 East Asia-Pacific Region Qualifier B","2018/19",1166881,"Friendship Oval","Dasmarinas","Japan","Indonesia","Japan","bat","T Ota","Japan",NA,"12"
"S Crowie",2018-10-30,"Botswana","St Helena",1,"4.0",1,25,1,6.25,15,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163055,"Botswana Cricket Association Oval 1","Gaborone","Botswana","St Helena","Botswana","bat","A Rangaswamy","Botswana",NA,"81"
"Saad Bin Zafar",2015-07-10,"Kenya","Canada",2,"4.0",0,25,1,6.25,11,"ICC World Twenty20 Qualifier","2015",875463,"Myreside","Edinburgh","Canada","Kenya","Kenya","field","IA Karim","Kenya","7",NA
"Samiullah Shenwari",2017-01-19,"Namibia","Afghanistan",2,"3.0",0,25,1,8.33333333333333,6,"Desert T20 Challenge","2016/17",1074967,"Dubai International Cricket Stadium",NA,"Afghanistan","Namibia","Afghanistan","bat","Rashid Khan","Afghanistan",NA,"64"
"Tanwir Afzal",2013-11-27,"Nepal","Hong Kong",2,"4.0",0,25,1,6.25,11,"ICC World Twenty20 Qualifier","2013/14",660211,"Sheikh Zayed Stadium","Abu Dhabi","Hong Kong","Nepal","Nepal","field","P Khadka","Nepal","5",NA
"Umar Adam",2018-04-21,"Bahrain","Maldives",2,"4.0",0,25,1,6.25,8,"ICC World Twenty20 Asia Region Qualifier A","2018",1142212,"Tack-Tec Ground","Kuwait City","Maldives","Bahrain","Bahrain","field","Shahbaz Badar","Bahrain","6",NA
"A Yon",2018-10-30,"Botswana","St Helena",1,"4.0",0,26,1,6.5,14,"ICC World Twenty20 Africa Region Qualifier C","2018/19",1163055,"Botswana Cricket Association Oval 1","Gaborone","Botswana","St Helena","Botswana","bat","A Rangaswamy","Botswana",NA,"81"
