"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"AE Paraam","Mohammad Afzal",0,2,1,2,0,0,0,0,0
"AE Paraam","Pavandeep Singh",11,8,0,3,2,0,8.25,137.5,Inf
"AE Paraam","Shahrulnizam Yusof",2,4,1,2,0,0,3,50,2
"AE Paraam","Zeeshan Maqsood",2,4,0,2,0,0,3,50,Inf
"AG Dugmore","LJ Cush",25,8,1,2,1,3,18.75,312.5,25
"AG Dugmore","Moazzam Imtiaz",5,3,0,1,1,0,10,166.666666666667,Inf
"AG Dugmore","Muhammad Ghous",18,12,0,5,2,1,9,150,Inf
"AG Dugmore","OM Baker",10,6,0,1,0,1,10,166.666666666667,Inf
"AG Dugmore","TP Allen",10,6,0,3,2,0,10,166.666666666667,Inf
"AJ Michael","A Mansale",2,3,0,1,0,0,4,66.6666666666667,Inf
"AJ Michael","AL Stephen",1,6,0,5,0,0,1,16.6666666666667,Inf
"AJ Michael","CC Blake",6,11,1,5,0,0,3.27272727272727,54.5454545454545,6
"AJ Michael","D Ravu",6,9,1,6,1,0,4,66.6666666666667,6
"AJ Michael","J Kida",6,7,0,1,0,0,5.14285714285714,85.7142857142857,Inf
"AJ Michael","JW Chilia",5,8,0,3,0,0,3.75,62.5,Inf
"AJ Michael","KSB Tavo",8,10,1,6,1,0,4.8,80,8
"AJ Michael","N Nipiko",14,7,0,1,1,1,12,200,Inf
"AJ Michael","N Vanua",0,5,0,5,0,0,0,0,NA
"AJ Michael","PK Matautaava",4,10,1,6,0,0,2.4,40,4
"AJ Michael","PV Vuniwaqa",2,2,0,0,0,0,6,100,Inf
"AJ Michael","Riyad Khan",11,14,0,4,0,0,4.71428571428571,78.5714285714286,Inf
"AJ Michael","S Bau",1,1,0,0,0,0,6,100,Inf
"AJ Michael","T Tavo",19,13,0,4,2,0,8.76923076923077,146.153846153846,Inf
"AJ Michael","V Yabaki",6,11,0,5,0,0,3.27272727272727,54.5454545454545,Inf
"AJ Michael","W Viraliliu",5,8,0,4,0,0,3.75,62.5,Inf
"AK Mandal","AM Guruge",3,2,0,0,0,0,9,150,Inf
"AK Mandal","Adil Bhatti",7,9,0,3,0,0,4.66666666666667,77.7777777777778,Inf
"AK Mandal","Amjad Javed",1,2,0,1,0,0,3,50,Inf
"AK Mandal","G Goudie",6,5,0,2,1,0,7.2,120,Inf
"AK Mandal","H Shahid",4,9,0,6,0,0,2.66666666666667,44.4444444444444,Inf
"AK Mandal","I Wardlaw",2,3,1,1,0,0,4,66.6666666666667,2
"AK Mandal","Jasdeep Singh",2,3,0,1,0,0,4,66.6666666666667,Inf
"AK Mandal","K Ganesh",1,2,1,1,0,0,3,50,1
"AK Mandal","Kamran Shazad",9,4,0,1,2,0,13.5,225,Inf
"AK Mandal","Muhammad Ghous",8,12,0,7,1,0,4,66.6666666666667,Inf
"AK Mandal","TK Patel",7,7,0,3,0,0,6,100,Inf
"AK Mohan","Atif Mehmood",7,4,0,0,1,0,10.5,175,Inf
"AK Mohan","B Kynman",2,4,1,3,0,0,3,50,2
"AK Mohan","B Ward",1,2,0,1,0,0,3,50,Inf
"AK Mohan","BDH Stevens",7,5,0,3,0,1,8.4,140,Inf
"AK Mohan","Yasir Ali",10,11,0,6,1,0,5.45454545454545,90.9090909090909,Inf
"AK Muslar","Abdullah Jasat",4,8,0,7,1,0,3,50,Inf
"AK Muslar","Abraash Khan",0,1,1,1,0,0,0,0,0
"AK Muslar","C Pervez",0,1,0,1,0,0,0,0,NA
