"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"DB Sharma",2018-05-22,"Trailblazers","Supernovas",1,21,22,3,0,95.4545454545455,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"H Kaur",2018-05-22,"Supernovas","Trailblazers",2,21,23,1,0,91.304347826087,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"SD Bahadur",2022-05-28,"Velocity","Supernovas",2,20,10,3,1,200,TRUE,"Women's T20 Challenge","2022",1314906,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","DJS Dottin","Supernovas",NA,"4"
"S Luus",2022-05-24,"Supernovas","Velocity",1,20,14,3,0,142.857142857143,TRUE,"Women's T20 Challenge","2022",1314904,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Velocity","Velocity","field","H Kaur","Velocity","7",NA
"DJS Dottin",2020-11-09,"Trailblazers","Supernovas",1,20,32,1,0,62.5,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"SIR Dunkley",2022-05-26,"Trailblazers","Velocity",1,19,8,2,1,237.5,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"YH Bhatia",2022-05-26,"Velocity","Trailblazers",2,19,15,3,0,126.666666666667,FALSE,"Women's T20 Challenge","2022",1314905,"Maharashtra Cricket Association Stadium, Pune","Pune","Trailblazers","Velocity","Velocity","field","JI Rodrigues","Trailblazers",NA,"16"
"HASD Siriwardene",2020-11-09,"Supernovas","Trailblazers",2,19,18,1,0,105.555555555556,FALSE,"Women's T20 Challenge","2020/21",1235589,"Sharjah Cricket Stadium","Sharjah","Trailblazers","Supernovas","Supernovas","field","S Mandhana","Trailblazers",NA,"16"
"SFM Devine",2018-05-22,"Supernovas","Trailblazers",2,19,20,0,1,95,FALSE,"Women's T20 Challenge Match","2018",1146789,"Wankhede Stadium, Mumbai","Mumbai","Trailblazers","Supernovas","Supernovas","field","SW Bates","Supernovas","3",NA
"HK Matthews",2022-05-23,"Trailblazers","Supernovas",2,18,14,2,1,128.571428571429,FALSE,"Women's T20 Challenge","2022",1314903,"Maharashtra Cricket Association Stadium, Pune","Pune","Supernovas","Trailblazers","Supernovas","bat","P Vastrakar","Supernovas",NA,"49"
