"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Mohammad Amir Khan",6,"14.0",0,124,3,41.3333333333333,8.85714285714286,28,23,0,0,"1/11"
"Aimal Khan",5,"15.0",0,178,3,59.3333333333333,11.8666666666667,30,28,0,0,"2/26"
"Zohaib Khan",8,"23.0",0,196,3,65.3333333333333,8.52173913043478,46,52,0,0,"2/35"
"RR Rossouw",3,"2.4",0,17,2,8.5,6.375,8,7,0,0,"1/3"
"Asif Ali",1,"3.0",0,27,2,13.5,9,9,3,0,0,"2/27"
"Raja Farzan",2,"6.0",0,35,2,17.5,5.83333333333333,18,20,0,0,"2/24"
"Faisal Akram",2,"5.0",0,41,2,20.5,8.2,15,10,0,0,"2/25"
"Tayyab Abbas",3,"6.0",0,52,2,26,8.66666666666667,18,12,0,0,"2/23"
"Fakhar Zaman",7,"10.0",0,58,2,29,5.8,30,27,0,0,"1/3"
"Salman Fayyaz",3,"6.2",0,61,2,30.5,9.63157894736842,19,12,0,0,"1/23"
"Salman Mirza",2,"6.0",0,62,2,31,10.3333333333333,18,11,0,0,"2/35"
"OC McCoy",2,"7.0",0,63,2,31.5,9,21,18,0,0,"1/13"
"C Munro",4,"7.0",0,71,2,35.5,10.1428571428571,21,11,0,0,"2/14"
"Maaz Khan",3,"7.0",0,76,2,38,10.8571428571429,21,12,0,0,"2/31"
"JW Hastings",3,"10.0",0,77,2,38.5,7.7,30,25,0,0,"1/25"
"Nauman Ali",4,"11.0",0,87,2,43.5,7.90909090909091,33,26,0,0,"2/14"
"JK Fuller",3,"11.0",0,104,2,52,9.45454545454546,33,25,0,0,"1/29"
"PI Walter",5,"11.0",0,108,2,54,9.81818181818182,33,15,0,0,"1/35"
"LS Livingstone",5,"14.0",0,122,2,61,8.71428571428571,42,24,0,0,"1/22"
"Agha Salman",9,"16.1",0,130,2,65,8.04123711340206,48.5,33,0,0,"1/17"
"Mubasir Khan",11,"16.0",0,139,2,69.5,8.6875,48,26,0,0,"1/5"
"Usman Tariq",5,"19.3",0,143,2,71.5,7.33333333333333,58.5,44,0,0,"2/16"
"M de Lange",5,"15.0",0,153,2,76.5,10.2,45,23,0,0,"1/32"
"MJ McClenaghan",5,"17.0",0,156,2,78,9.17647058823529,51,35,0,0,"1/31"
"Ahsan Ali",1,"1.0",0,9,1,9,9,6,2,0,0,"1/9"
"RN ten Doeschate",1,"1.4",0,9,1,9,5.4,10,3,0,0,"1/9"
"Arafat Minhas",1,"4.0",0,11,1,11,2.75,24,16,0,0,"1/11"
"HF Gurney",1,"2.0",0,13,1,13,6.5,12,7,0,0,"1/13"
"Saif Badar",1,"2.0",0,15,1,15,7.5,12,5,0,0,"1/15"
"Saud Shakeel",2,"2.0",0,15,1,15,7.5,12,4,0,0,"1/5"
"N Thushara",1,"2.0",0,21,1,21,10.5,12,5,0,0,"1/21"
"JA Thompson",1,"2.0",0,22,1,22,11,12,4,0,0,"1/22"
"NL McCullum",1,"3.0",0,24,1,24,8,18,8,0,0,"1/24"
"KJ Abbott",1,"3.0",0,25,1,25,8.33333333333333,18,8,0,0,"1/25"
"A Lyth",2,"3.0",0,26,1,26,8.66666666666667,18,7,0,0,"1/22"
"BAC Howell",1,"3.3",0,34,1,34,9.71428571428571,21,6,0,0,"1/34"
"Mohammad Mohsin",1,"4.0",0,35,1,35,8.75,24,6,0,0,"1/35"
"Abdul Nasir",2,"7.0",0,41,1,41,5.85714285714286,42,16,0,0,"1/15"
"R Powell",2,"3.0",0,45,1,45,15,18,4,0,0,"1/37"
"Zeeshan Zameer",3,"4.3",0,47,1,47,10.4444444444444,27,8,0,0,"1/10"
"TH David",4,"5.0",0,49,1,49,9.8,30,7,0,0,"1/4"
"Qasim Akram",3,"6.0",0,52,1,52,8.66666666666667,36,9,0,0,"1/7"
"Azhar Mahmood",2,"7.0",0,57,1,57,8.14285714285714,42,15,0,0,"1/22"
"Ashir Qureshi",2,"7.0",0,61,1,61,8.71428571428571,42,13,0,0,"1/31"
"JP Duminy",3,"9.0",0,70,1,70,7.77777777777778,54,21,0,0,"1/38"
"D Pretorius",2,"8.0",0,79,1,79,9.875,48,9,0,0,"1/40"
"Kamran Ghulam",6,"9.0",0,79,1,79,8.77777777777778,54,22,0,0,"1/15"
"Waqar Salamkheil",2,"7.0",0,92,1,92,13.1428571428571,42,9,0,0,"1/54"
"GF Linde",4,"12.0",0,106,1,106,8.83333333333333,72,19,0,0,"1/26"
"Mohammad Zeeshan",3,"11.0",0,112,1,112,10.1818181818182,66,27,0,0,"1/38"
"AJ Tye",4,"15.0",0,160,1,160,10.6666666666667,90,24,0,0,"1/32"
"Sohail Akhtar",1,"0.1",0,0,0,NA,0,Inf,1,0,0,"0/0"
"JL du Plooy",1,"1.0",0,2,0,Inf,2,Inf,4,0,0,"0/2"
"Aamer Azmat",1,"1.0",0,3,0,Inf,3,Inf,4,0,0,"0/3"
"Awais Zia",1,"0.1",0,4,0,Inf,24,Inf,0,0,0,"0/4"
"Nabi Gul",1,"0.5",0,4,0,Inf,4.8,Inf,1,0,0,"0/4"
"CH Gayle",1,"1.0",0,5,0,Inf,5,Inf,1,0,0,"0/5"
"Sarfraz Ahmed",1,"0.4",0,6,0,Inf,9,Inf,3,0,0,"0/6"
"CA Ingram",1,"1.0",0,8,0,Inf,8,Inf,1,0,0,"0/8"
"DAS Gunaratne",1,"1.0",0,8,0,Inf,8,Inf,2,0,0,"0/8"
"S Dadswell",1,"1.0",0,8,0,Inf,8,Inf,1,0,0,"0/8"
"Sohaib Maqsood",1,"1.0",0,8,0,Inf,8,Inf,2,0,0,"0/8"
"Saad Nasim",1,"1.0",0,9,0,Inf,9,Inf,3,0,0,"0/9"
"BB McCullum",1,"1.0",0,13,0,Inf,13,Inf,2,0,0,"0/13"
"JL Denly",1,"2.0",0,15,0,Inf,7.5,Inf,7,0,0,"0/15"
"MW Forde",1,"2.0",0,18,0,Inf,9,Inf,3,0,0,"0/18"
"Bilal Asif",1,"2.0",0,19,0,Inf,9.5,Inf,4,0,0,"0/19"
"DR Mousley",1,"3.0",0,22,0,Inf,7.33333333333333,Inf,4,0,0,"0/22"
"MD Shanaka",1,"2.0",0,22,0,Inf,11,Inf,2,0,0,"0/22"
"Zahoor Khan",1,"1.0",0,23,0,Inf,23,Inf,0,0,0,"0/23"
"Kashif Bhatti",1,"2.0",0,24,0,Inf,12,Inf,4,0,0,"0/24"
"Sohaibullah",1,"3.0",0,26,0,Inf,8.66666666666667,Inf,5,0,0,"0/26"
"Abdur Rehman",1,"3.0",0,28,0,Inf,9.33333333333333,Inf,5,0,0,"0/28"
"OP Stone",1,"3.4",0,28,0,Inf,7.63636363636364,Inf,8,0,0,"0/28"
"Akbar-ur-Rehman",3,"4.0",0,29,0,Inf,7.25,Inf,9,0,0,"0/3"
"Azhar Ali",2,"5.0",0,30,0,Inf,6,Inf,7,0,0,"0/12"
"Ubaid Shah",2,"3.0",0,30,0,Inf,10,Inf,6,0,0,"0/15"
"AP Devcich",2,"2.0",0,31,0,Inf,15.5,Inf,5,0,0,"0/12"
"Mohammad Taha",1,"4.0",0,32,0,Inf,8,Inf,4,0,0,"0/32"
"Ali Majid",1,"4.0",0,33,0,Inf,8.25,Inf,9,0,0,"0/33"
"Saad Masood",1,"3.0",0,40,0,Inf,13.3333333333333,Inf,5,0,0,"0/40"
"Danish Aziz",4,"3.5",0,43,0,Inf,11.2173913043478,Inf,6,0,0,"0/6"
"RA Whiteley",1,"3.0",0,45,0,Inf,15,Inf,2,0,0,"0/45"
"Raza Hasan",2,"5.0",0,47,0,Inf,9.4,Inf,11,0,0,"0/19"
"Athar Mahmood",3,"8.0",0,49,0,Inf,6.125,Inf,20,0,0,"0/9"
"Izharulhaq Naveed",1,"4.0",0,55,0,Inf,13.75,Inf,8,0,0,"0/55"
"S Prasanna",2,"5.0",0,56,0,Inf,11.2,Inf,6,0,0,"0/28"
"Ashar Zaidi",2,"8.0",0,59,0,Inf,7.375,Inf,10,0,0,"0/22"
"PR Brown",2,"7.0",0,61,0,Inf,8.71428571428571,Inf,13,0,0,"0/27"
"AW Summers",2,"8.0",0,62,0,Inf,7.75,Inf,14,0,0,"0/25"
"JD Wildermuth",2,"4.0",0,65,0,Inf,16.25,Inf,8,0,0,"0/12"
"Adnan Rasool",2,"6.0",0,67,0,Inf,11.1666666666667,Inf,13,0,0,"0/30"
"WD Parnell",3,"5.0",0,67,0,Inf,13.4,Inf,5,0,0,"0/16"
"Mohammad Irfan (5)",2,"5.2",0,68,0,Inf,12.75,Inf,3,0,0,"0/27"
"DR Smith",7,"6.0",0,71,0,Inf,11.8333333333333,Inf,7,0,0,"0/3"
"Hammad Azam",4,"7.1",0,77,0,Inf,10.7441860465116,Inf,11,0,0,"0/8"
