"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","method","winner_runs","outcome","eliminator"
1247018,6,"Quetta Gladiators","Peshawar Zalmi","male","2020/21",2021-02-26,"Pakistan Super League","8","National Stadium","Karachi","Peshawar Zalmi","field","Haider Ali","Asif Yaqoob","RK Illingworth","Imran Javed","Rashid Riaz","Iftikhar Ahmed (2)","Peshawar Zalmi",3,NA,NA,NA,NA
1247019,6,"Multan Sultans","Karachi Kings","male","2020/21",2021-02-27,"Pakistan Super League","9","National Stadium","Karachi","Karachi Kings","field","Babar Azam","Rashid Riaz","RK Illingworth","Faisal Afridi","Ahsan Raza","RS Mahanama","Karachi Kings",7,NA,NA,NA,NA
1247020,6,"Islamabad United","Peshawar Zalmi","male","2020/21",2021-02-27,"Pakistan Super League","10","National Stadium","Karachi","Peshawar Zalmi","field","Wahab Riaz","Asif Yaqoob","Shozab Raza","Imran Javed","Zameer Haider","Ali Naqvi","Peshawar Zalmi",6,NA,NA,NA,NA
1247021,6,"Karachi Kings","Lahore Qalandars","male","2020/21",2021-02-28,"Pakistan Super League","11","National Stadium","Karachi","Lahore Qalandars","field","Shaheen Shah Afridi","Ahsan Raza","RK Illingworth","Shozab Raza","Rashid Riaz","RS Mahanama","Lahore Qalandars",6,NA,NA,NA,NA
1247022,6,"Quetta Gladiators","Islamabad United","male","2020/21",2021-03-02,"Pakistan Super League","12","National Stadium","Karachi","Islamabad United","field","Faheem Ashraf","Ahsan Raza","Shozab Raza","Imran Javed","Asif Yaqoob","Ali Naqvi","Islamabad United",6,NA,NA,NA,NA
1247023,6,"Peshawar Zalmi","Karachi Kings","male","2020/21",2021-03-03,"Pakistan Super League","13","National Stadium","Karachi","Karachi Kings","field","Mohammad Nabi","Imran Javed","Rashid Riaz","Shozab Raza","Ahsan Raza","Iftikhar Ahmed (2)","Karachi Kings",6,NA,NA,NA,NA
1247024,6,"Quetta Gladiators","Multan Sultans","male","2020/21",2021-03-03,"Pakistan Super League","14","National Stadium","Karachi","Multan Sultans","field","Qais Ahmad","Asif Yaqoob","Faisal Afridi","Zameer Haider","RK Illingworth","RS Mahanama","Quetta Gladiators",NA,NA,22,NA,NA
1247027,6,"Islamabad United","Lahore Qalandars","male","2021",2021-06-09,"Pakistan Super League","15","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Lahore Qalandars","field","Rashid Khan","Aleem Dar","Rashid Riaz","Faisal Afridi","Shozab Raza","Mohammad Anees (2)","Lahore Qalandars",5,NA,NA,NA,NA
1247025,6,"Multan Sultans","Karachi Kings","male","2021",2021-06-10,"Pakistan Super League","16","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Karachi Kings","field","RR Rossouw","Aleem Dar","Shozab Raza","Faisal Afridi","Rashid Riaz","Ali Naqvi","Multan Sultans",NA,NA,12,NA,NA
1247026,6,"Lahore Qalandars","Peshawar Zalmi","male","2021",2021-06-10,"Pakistan Super League","17","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Peshawar Zalmi","field","Rashid Khan","Asif Yaqoob","Rashid Riaz","Faisal Afridi","Ahsan Raza","Ali Naqvi","Lahore Qalandars",NA,NA,10,NA,NA
1247028,6,"Quetta Gladiators","Islamabad United","male","2021",2021-06-11,"Pakistan Super League","18","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Islamabad United","field","C Munro","Aleem Dar","Shozab Raza","Zameer Haider","Rashid Riaz","Muhammad Javed","Islamabad United",10,NA,NA,NA,NA
1247030,6,"Peshawar Zalmi","Quetta Gladiators","male","2021",2021-06-12,"Pakistan Super League","19","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Quetta Gladiators","field","DA Miller","Ahsan Raza","Shozab Raza","Faisal Afridi","Aleem Dar","Mohammed Anees","Peshawar Zalmi",NA,NA,61,NA,NA
1247029,6,"Islamabad United","Lahore Qalandars","male","2021",2021-06-13,"Pakistan Super League","20","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Islamabad United","bat","Asif Ali","Asif Yaqoob","Shozab Raza","Zameer Haider","Ahsan Raza",NA,"Islamabad United",NA,NA,28,NA,NA
1247031,6,"Peshawar Zalmi","Multan Sultans","male","2021",2021-06-13,"Pakistan Super League","21","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Multan Sultans","field","Shahnawaz Dhani","Ahsan Raza","Aleem Dar","Zameer Haider","Asif Yaqoob",NA,"Multan Sultans",8,NA,NA,NA,NA
1247032,6,"Karachi Kings","Islamabad United","male","2021",2021-06-14,"Pakistan Super League","22","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Islamabad United","field","Iftikhar Ahmed","Asif Yaqoob","Rashid Riaz","Faisal Afridi","Shozab Raza","Ali Naqvi","Islamabad United",8,NA,NA,NA,NA
1247033,6,"Quetta Gladiators","Lahore Qalandars","male","2021",2021-06-15,"Pakistan Super League","23","Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Lahore Qalandars","field","Usman Shinwari","Aleem Dar","Rashid Riaz","Faisal Afridi","Shozab Raza","Mohammad Anees","Quetta Gladiators",NA,NA,18,NA,NA
