"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CR Brathwaite",2024-01-27,"Dubai Capitals","Gulf Giants",1,"4.0",0,26,3,6.5,11,"International League T20","2023/24",1406899,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","Gulf Giants","Dubai Capitals","bat","CR Brathwaite","Gulf Giants","3",NA
"Imran Tahir",2023-01-14,"Sharjah Warriors","MI Emirates",2,"4.0",0,26,3,6.5,7,"International League T20","2022/23",1346917,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","Sharjah Warriors","Sharjah Warriors","field","Waseem Muhammad","MI Emirates",NA,"49"
"Mohammad Amir",2024-01-30,"MI Emirates","Desert Vipers",1,"4.0",0,26,3,6.5,13,"International League T20","2023/24",1406903,"Dubai International Cricket Stadium","Dubai","MI Emirates","Desert Vipers","Desert Vipers","field","Mohammad Amir","Desert Vipers","2",NA
"RE van der Merwe",2024-01-27,"Gulf Giants","Dubai Capitals",2,"3.4",0,27,3,7.36363636363636,10,"International League T20","2023/24",1406899,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","Gulf Giants","Dubai Capitals","bat","CR Brathwaite","Gulf Giants","3",NA
"CJ Jordan",2023-01-15,"Abu Dhabi Knight Riders","Gulf Giants",1,"4.0",0,28,3,7,13,"International League T20","2022/23",1346918,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","Gulf Giants","Abu Dhabi Knight Riders","bat","SM Sharma","Gulf Giants","6",NA
"DR Sams",2024-01-22,"Dubai Capitals","Sharjah Warriors",1,"4.0",0,28,3,7,10,"International League T20","2023/24",1406893,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Sharjah Warriors","Sharjah Warriors","field","J Charles","Sharjah Warriors","5",NA
"DR Sams",2024-01-29,"Dubai Capitals","Sharjah Warriors",1,"4.0",0,28,3,7,10,"International League T20","2023/24",1406902,"Sharjah Cricket Stadium","Sharjah","Dubai Capitals","Sharjah Warriors","Dubai Capitals","bat","M Theekshana","Sharjah Warriors","9",NA
"M Pathirana",2024-02-11,"Sharjah Warriors","Desert Vipers",1,"4.0",0,28,3,7,6,"International League T20","2023/24",1406918,"Sharjah Cricket Stadium","Sharjah","Sharjah Warriors","Desert Vipers","Desert Vipers","field","NA Sowter","Desert Vipers","6",NA
"Rehan Ahmed",2023-01-16,"Dubai Capitals","Gulf Giants",1,"4.0",0,28,3,7,12,"International League T20","2022/23",1346920,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","Gulf Giants","Gulf Giants","field","JM Vince","Gulf Giants","6",NA
"Ali Khan",2024-01-21,"Desert Vipers","Abu Dhabi Knight Riders",1,"4.0",0,29,3,7.25,9,"International League T20","2023/24",1406891,"Dubai International Cricket Stadium","Dubai","Desert Vipers","Abu Dhabi Knight Riders","Abu Dhabi Knight Riders","field","AGS Gous","Abu Dhabi Knight Riders","6",NA
