"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome"
1406899,6,"Dubai Capitals","Gulf Giants","male","2023/24",2024-01-27,"International League T20","11","Sharjah Cricket Stadium","Sharjah","Dubai Capitals","bat","CR Brathwaite","Ahmed Shah Pakteen","MJ Saggers","RJ Tucker","LS Reifer","SJA Taufel","Gulf Giants",3,NA,NA
1406900,6,"Abu Dhabi Knight Riders","MI Emirates","male","2023/24",2024-01-28,"International League T20","12","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","Waseem Muhammad","Aleem Dar","RSA Palliyaguruge","Aasif Iqbal","P Wilson","SR Bernard","MI Emirates",8,NA,NA
1406901,6,"Sharjah Warriors","Desert Vipers","male","2023/24",2024-01-28,"International League T20","13","Sharjah Cricket Stadium","Sharjah","Desert Vipers","field","T Kohler-Cadmore","Ahmed Shah Pakteen","RJ Tucker","MJ Saggers","LS Reifer","SJA Taufel","Sharjah Warriors",NA,7,NA
1406902,6,"Dubai Capitals","Sharjah Warriors","male","2023/24",2024-01-29,"International League T20","14","Sharjah Cricket Stadium","Sharjah","Dubai Capitals","bat","M Theekshana","Ahmed Shah Pakteen","MJ Saggers","RJ Tucker","LS Reifer","SJA Taufel","Sharjah Warriors",9,NA,NA
1406903,6,"MI Emirates","Desert Vipers","male","2023/24",2024-01-30,"International League T20","15","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","Mohammad Amir","Akbar Ali","RSA Palliyaguruge","Aleem Dar","P Wilson","SJA Taufel","Desert Vipers",2,NA,NA
1406904,6,"Gulf Giants","Abu Dhabi Knight Riders","male","2023/24",2024-01-31,"International League T20","16","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","MS Pepper","MJ Saggers","RJ Tucker","Shiju Sam","LS Reifer","RS Mahanama","Abu Dhabi Knight Riders",6,NA,NA
1406905,6,"Desert Vipers","Dubai Capitals","male","2023/24",2024-02-01,"International League T20","17","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","BR Dunk","Akbar Ali","RSA Palliyaguruge",NA,"P Wilson","SJA Taufel","Dubai Capitals",4,NA,NA
1406906,6,"Sharjah Warriors","MI Emirates","male","2023/24",2024-02-02,"International League T20","18","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","Waqar Salamkheil","MJ Saggers","Shiju Sam","Ahmed Shah Pakteen","LS Reifer","RS Mahanama","MI Emirates",8,NA,NA
1406907,6,"Gulf Giants","Desert Vipers","male","2023/24",2024-02-03,"International League T20","19","Dubai International Cricket Stadium","Dubai","Desert Vipers","field","Azam Khan","Aleem Dar","RSA Palliyaguruge","Akbar Ali",NA,"SJA Taufel","Desert Vipers",6,NA,NA
1406908,6,"Abu Dhabi Knight Riders","Dubai Capitals","male","2023/24",2024-02-03,"International League T20","20","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Dubai Capitals","field","DJ Willey","RJ Tucker","Shiju Sam","MJ Saggers","LS Reifer","RS Mahanama","Abu Dhabi Knight Riders",NA,29,NA
1406909,6,"MI Emirates","Desert Vipers","male","2023/24",2024-02-04,"International League T20","21","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Desert Vipers","field","N Pooran","MJ Saggers","RJ Tucker","Shiju Sam","LS Reifer","RS Mahanama","MI Emirates",NA,30,NA
1406910,6,"Gulf Giants","Sharjah Warriors","male","2023/24",2024-02-04,"International League T20","22","Dubai International Cricket Stadium","Dubai","Sharjah Warriors","field","Zuhaib Zubair","Akbar Ali","RSA Palliyaguruge","Aleem Dar","P Wilson","SJA Taufel","Gulf Giants",NA,79,NA
1406911,6,"Sharjah Warriors","Abu Dhabi Knight Riders","male","2023/24",2024-02-05,"International League T20","23","Sharjah Cricket Stadium","Sharjah","Abu Dhabi Knight Riders","field","J Little","Akbar Ali","RSA Palliyaguruge","Aleem Dar","P Wilson","SJA Taufel","Abu Dhabi Knight Riders",7,NA,NA
1406912,6,"Gulf Giants","Dubai Capitals","male","2023/24",2024-02-06,"International League T20","24","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","JM Vince","MJ Saggers","Shiju Sam","Akbar Ali","LS Reifer","RS Mahanama","Gulf Giants",NA,19,NA
1406913,6,"Abu Dhabi Knight Riders","Sharjah Warriors","male","2023/24",2024-02-07,"International League T20","25","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Sharjah Warriors","field","AU Rashid","Aleem Dar","RSA Palliyaguruge","Akbar Ali","P Wilson","SJA Taufel","Sharjah Warriors",7,NA,NA
1406914,6,"Gulf Giants","MI Emirates","male","2023/24",2024-02-08,"International League T20","26","Dubai International Cricket Stadium","Dubai","MI Emirates","field","CJ Jordan","MJ Saggers","Shiju Sam","AT Holdstock","LS Reifer","RS Mahanama","Gulf Giants",NA,5,NA
1406915,6,"Desert Vipers","Dubai Capitals","male","2023/24",2024-02-09,"International League T20","27","Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","Sikandar Raza","AT Holdstock","Shiju Sam","MJ Saggers","LS Reifer","RS Mahanama","Dubai Capitals",5,NA,NA
1406916,6,"Gulf Giants","Abu Dhabi Knight Riders","male","2023/24",2024-02-10,"International League T20","28","Dubai International Cricket Stadium","Dubai","Gulf Giants","bat","J Overton","AT Holdstock","MJ Saggers","Shiju Sam","LS Reifer","RS Mahanama","Gulf Giants",NA,3,NA
1406917,6,"Dubai Capitals","MI Emirates","male","2023/24",2024-02-10,"International League T20","29","Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","MI Emirates","field","Haider Ali","Akbar Ali","RSA Palliyaguruge","Aleem Dar","P Wilson","SJA Taufel","Dubai Capitals",NA,19,NA
1406918,6,"Sharjah Warriors","Desert Vipers","male","2023/24",2024-02-11,"International League T20","30","Sharjah Cricket Stadium","Sharjah","Desert Vipers","field","NA Sowter","Aleem Dar","RSA Palliyaguruge","Akbar Ali","P Wilson","SJA Taufel","Desert Vipers",6,NA,NA
1406920,6,"Dubai Capitals","Abu Dhabi Knight Riders","male","2023/24",2024-02-13,"International League T20",NA,"Zayed Cricket Stadium, Abu Dhabi","Abu Dhabi","Abu Dhabi Knight Riders","field","Sikandar Raza","Aleem Dar","RSA Palliyaguruge","Shiju Sam","P Wilson","SJA Taufel","Dubai Capitals",NA,85,NA
1406919,6,"MI Emirates","Gulf Giants","male","2023/24",2024-02-14,"International League T20",NA,"Dubai International Cricket Stadium","Dubai","Gulf Giants","field","AJ Hosein","AT Holdstock","MJ Saggers","Akbar Ali","LS Reifer","RS Mahanama","MI Emirates",NA,45,NA
1406921,6,"Gulf Giants","Dubai Capitals","male","2023/24",2024-02-15,"International League T20",NA,"Sharjah Cricket Stadium","Sharjah","Gulf Giants","bat","JL du Plooy","AT Holdstock","MJ Saggers","RSA Palliyaguruge","LS Reifer","RS Mahanama","Dubai Capitals",9,NA,NA
1406922,6,"MI Emirates","Dubai Capitals","male","2023/24",2024-02-17,"International League T20",NA,"Dubai International Cricket Stadium","Dubai","Dubai Capitals","field","N Pooran","AT Holdstock","RSA Palliyaguruge","MJ Saggers","P Wilson","SJA Taufel","MI Emirates",NA,45,NA
