"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Ali Khan","Abu Dhabi Knight Riders","2022/23","International League T20",2,"5.0",0,58,2,29,11.6,15,8,0,0,"2/45"
"M de Lange","Abu Dhabi Knight Riders","2022/23","International League T20",2,"8.0",0,59,2,29.5,7.375,24,20,0,0,"1/28"
"Sabir Ali","Abu Dhabi Knight Riders","2022/23","International League T20",4,"7.0",0,64,2,32,9.14285714285714,21,21,0,0,"1/17"
"MG Erasmus","Gulf Giants","2023/24","International League T20",4,"10.0",0,69,2,34.5,6.9,30,21,0,0,"1/17"
"PI Walter","Sharjah Warriors","2022/23","International League T20",3,"9.1",0,79,2,39.5,8.61818181818182,27.5,17,0,0,"2/29"
"KA Pollard","MI Emirates","2022/23","International League T20",3,"7.0",0,80,2,40,11.4285714285714,21,9,0,0,"1/10"
"Qais Ahmad","Gulf Giants","2022/23","International League T20",3,"12.0",0,85,2,42.5,7.08333333333333,36,30,0,0,"2/29"
"LA Dawson","Gulf Giants","2022/23","International League T20",4,"11.0",0,90,2,45,8.18181818181818,33,20,0,0,"1/17"
"Matiullah Khan","Abu Dhabi Knight Riders","2022/23","International League T20",5,"14.0",0,141,2,70.5,10.0714285714286,42,27,0,0,"2/24"
"MG Erasmus","Gulf Giants","2022/23","International League T20",1,"1.0",0,1,1,1,1,6,5,0,0,"1/1"
"TS Mills","Desert Vipers","2022/23","International League T20",1,"3.0",0,11,1,11,3.66666666666667,18,8,0,0,"1/11"
"C Overton","MI Emirates","2022/23","International League T20",1,"4.0",0,14,1,14,3.5,24,18,0,0,"1/14"
"ADS Fletcher","MI Emirates","2022/23","International League T20",1,"1.0",0,20,1,20,20,6,1,0,0,"1/20"
"TG Helm","Gulf Giants","2022/23","International League T20",1,"2.0",0,22,1,22,11,12,5,0,0,"1/22"
"LS Livingstone","Sharjah Warriors","2023/24","International League T20",1,"4.0",0,24,1,24,6,24,9,0,0,"1/24"
"SS Cottrell","Desert Vipers","2023/24","International League T20",1,"2.0",0,24,1,24,12,12,5,0,0,"1/24"
"MM Ali","Sharjah Warriors","2022/23","International League T20",2,"2.0",0,26,1,26,13,12,4,0,0,"1/8"
"JB Lintott","Desert Vipers","2022/23","International League T20",1,"4.0",0,32,1,32,8,24,9,0,0,"1/32"
"Matiullah Khan","Abu Dhabi Knight Riders","2023/24","International League T20",2,"2.1",0,35,1,35,16.1538461538462,13,4,0,0,"1/17"
"FA Allen","Abu Dhabi Knight Riders","2023/24","International League T20",2,"4.0",0,36,1,36,9,24,3,0,0,"1/24"
"L Gregory","Sharjah Warriors","2023/24","International League T20",3,"4.0",0,38,1,38,9.5,24,8,0,0,"1/21"
"Ali Naseer","Desert Vipers","2023/24","International League T20",2,"5.0",0,39,1,39,7.8,30,8,0,0,"1/31"
"LA Dawson","Gulf Giants","2023/24","International League T20",2,"6.0",1,40,1,40,6.66666666666667,36,16,0,0,"1/21"
"DM de Silva","Abu Dhabi Knight Riders","2022/23","International League T20",2,"4.0",0,41,1,41,10.25,24,6,0,0,"1/25"
"Rohan Mustafa","Desert Vipers","2023/24","International League T20",4,"6.0",0,49,1,49,8.16666666666667,36,12,0,0,"1/8"
"JA Thompson","MI Emirates","2023/24","International League T20",2,"7.0",0,51,1,51,7.28571428571429,42,14,0,0,"1/20"
"YK Pathan","Dubai Capitals","2022/23","International League T20",2,"5.0",0,52,1,52,10.4,30,10,0,0,"1/48"
"JK Fuller","Sharjah Warriors","2023/24","International League T20",4,"5.0",0,53,1,53,10.6,30,10,0,0,"1/18"
"MD Shanaka","Dubai Capitals","2022/23","International League T20",3,"5.0",0,57,1,57,11.4,30,8,0,0,"1/24"
"C de Grandhomme","Gulf Giants","2022/23","International League T20",4,"10.0",1,64,1,64,6.4,60,26,0,0,"1/18"
"JA Thompson","MI Emirates","2022/23","International League T20",2,"7.0",0,74,1,74,10.5714285714286,42,13,0,0,"1/37"
"M de Lange","Abu Dhabi Knight Riders","2023/24","International League T20",3,"7.0",0,86,1,86,12.2857142857143,42,15,0,0,"1/23"
"MRJ Watt","Sharjah Warriors","2023/24","International League T20",4,"10.0",0,93,1,93,9.3,60,28,0,0,"1/15"
"Shiraz Ahmed","Desert Vipers","2022/23","International League T20",6,"10.0",0,109,1,109,10.9,60,16,0,0,"1/28"
"JB Lintott","Abu Dhabi Knight Riders","2023/24","International League T20",1,"0.5",0,5,0,Inf,6,Inf,1,0,0,"0/5"
"LWP Wells","Sharjah Warriors","2023/24","International League T20",1,"1.0",0,5,0,Inf,5,Inf,2,0,0,"0/5"
"Aryan Lakra","Desert Vipers","2023/24","International League T20",1,"0.2",0,8,0,Inf,24,Inf,0,0,0,"0/8"
"Karim Janat","Gulf Giants","2023/24","International League T20",1,"1.0",0,9,0,Inf,9,Inf,3,0,0,"0/9"
"Nilansh Keswani","Sharjah Warriors","2023/24","International League T20",1,"0.5",0,10,0,Inf,12,Inf,1,0,0,"0/10"
"Zawar Farid","Abu Dhabi Knight Riders","2022/23","International League T20",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"RS Bopara","Dubai Capitals","2022/23","International League T20",1,"1.0",0,15,0,Inf,15,Inf,2,0,0,"0/15"
"PR Stirling","Abu Dhabi Knight Riders","2022/23","International League T20",1,"1.0",0,17,0,Inf,17,Inf,1,0,0,"0/17"
"BFW de Leede","Desert Vipers","2023/24","International League T20",1,"1.0",0,22,0,Inf,22,Inf,0,0,0,"0/22"
"TH David","MI Emirates","2023/24","International League T20",2,"2.0",0,24,0,Inf,12,Inf,2,0,0,"0/1"
"PA van Meekeren","Dubai Capitals","2023/24","International League T20",1,"2.0",0,26,0,Inf,13,Inf,4,0,0,"0/26"
"RJW Topley","Dubai Capitals","2022/23","International League T20",1,"3.0",0,26,0,Inf,8.66666666666667,Inf,6,0,0,"0/26"
"CB Sole","Sharjah Warriors","2023/24","International League T20",1,"2.0",0,29,0,Inf,14.5,Inf,3,0,0,"0/29"
"Waseem Muhammad","MI Emirates","2022/23","International League T20",2,"2.0",0,30,0,Inf,15,Inf,2,0,0,"0/15"
"JL Denly","Sharjah Warriors","2022/23","International League T20",2,"3.0",0,31,0,Inf,10.3333333333333,Inf,4,0,0,"0/15"
"MRJ Watt","Desert Vipers","2022/23","International League T20",1,"3.0",0,31,0,Inf,10.3333333333333,Inf,7,0,0,"0/31"
"RA Reifer","Abu Dhabi Knight Riders","2022/23","International League T20",1,"4.0",0,32,0,Inf,8,Inf,6,0,0,"0/32"
"R Ngarava","Dubai Capitals","2023/24","International League T20",1,"2.0",0,34,0,Inf,17,Inf,3,0,0,"0/34"
"Zahoor Khan","MI Emirates","2023/24","International League T20",1,"2.0",0,35,0,Inf,17.5,Inf,1,0,0,"0/35"
"FA Allen","Dubai Capitals","2022/23","International League T20",1,"3.0",0,38,0,Inf,12.6666666666667,Inf,3,0,0,"0/38"
"KP Meiyappan","Sharjah Warriors","2022/23","International League T20",2,"4.0",0,41,0,Inf,10.25,Inf,5,0,0,"0/14"
"Qais Ahmad","Sharjah Warriors","2023/24","International League T20",2,"5.0",0,56,0,Inf,11.2,Inf,7,0,0,"0/18"
"BTJ Wheal","MI Emirates","2022/23","International League T20",2,"5.4",0,64,0,Inf,11.2941176470588,Inf,8,0,0,"0/22"
"D Madushanka","Sharjah Warriors","2023/24","International League T20",2,"7.0",0,78,0,Inf,11.1428571428571,Inf,13,0,0,"0/29"
"Shadab Khan","Desert Vipers","2023/24","International League T20",3,"9.0",0,101,0,Inf,11.2222222222222,Inf,14,0,0,"0/25"
"KW Richardson","Dubai Capitals","2023/24","International League T20",4,"13.5",0,128,0,Inf,9.25301204819277,Inf,32,0,0,"0/18"
