"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"Imran Tahir",2019-11-16,"Jozi Stars","Nelson Mandela Bay Giants",1,"4.0",0,23,3,5.75,8,"Mzansi Super League","2019/20",1201977,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Jozi Stars","bat","CJ Dala","Nelson Mandela Bay Giants","9",NA
"KA Maharaj",2018-11-18,"Cape Town Blitz","Durban Heat",2,"4.0",0,24,3,6,14,"Mzansi Super League","2018/19",1162643,"Kingsmead, Durban","Durban","Durban Heat","Cape Town Blitz","Cape Town Blitz","field","Asif Ali","Cape Town Blitz","3",NA
"DW Steyn",2019-11-08,"Jozi Stars","Cape Town Blitz",2,"4.0",0,25,3,6.25,12,"Mzansi Super League","2019/20",1201970,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","JN Malan","Cape Town Blitz",NA,"15"
"GF Linde",2018-11-24,"Jozi Stars","Cape Town Blitz",2,"3.4",0,25,3,6.81818181818182,6,"Mzansi Super League","2018/19",1162649,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","Q de Kock","Cape Town Blitz",NA,"62"
"SR Harmer",2018-11-28,"Tshwane Spartans","Jozi Stars",2,"4.0",0,26,3,6.5,10,"Mzansi Super League","2018/19",1162653,"SuperSport Park, Centurion","Centurion","Jozi Stars","Tshwane Spartans","Tshwane Spartans","field","D Elgar","Tshwane Spartans","4",NA
"S von Berg",2018-12-05,"Paarl Rocks","Tshwane Spartans",1,"4.0",0,27,3,6.75,12,"Mzansi Super League","2018/19",1162661,"SuperSport Park, Centurion","Centurion","Paarl Rocks","Tshwane Spartans","Paarl Rocks","bat","L Sipamla","Tshwane Spartans","4",NA
"FD Adams",2018-11-16,"Tshwane Spartans","Cape Town Blitz",2,"3.3",1,28,3,8,12,"Mzansi Super League","2018/19",1162641,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Tshwane Spartans","Tshwane Spartans","field","Mohammad Nawaz","Cape Town Blitz",NA,"49"
"K Mungroo",2018-12-09,"Jozi Stars","Paarl Rocks",1,"4.0",0,29,3,7.25,11,"Mzansi Super League","2018/19",1162666,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","GM Thomson","Paarl Rocks","6",NA
"K Rabada",2018-12-07,"Durban Heat","Jozi Stars",1,"3.3",0,29,3,8.28571428571429,9,"Mzansi Super League","2018/19",1162663,"Kingsmead, Durban","Durban","Durban Heat","Jozi Stars","Durban Heat","bat","DJ Vilas","Jozi Stars","1",NA
"L Sipamla",2018-11-25,"Nelson Mandela Bay Giants","Tshwane Spartans",1,"4.0",0,29,3,7.25,10,"Mzansi Super League","2018/19",1162650,"SuperSport Park, Centurion","Centurion","Nelson Mandela Bay Giants","Tshwane Spartans","Tshwane Spartans","field","M Marais","Nelson Mandela Bay Giants",NA,"7"
"A Nortje",2018-11-24,"Jozi Stars","Cape Town Blitz",2,"4.0",0,30,3,7.5,13,"Mzansi Super League","2018/19",1162649,"New Wanderers Stadium, Johannesburg","Johannesburg","Cape Town Blitz","Jozi Stars","Jozi Stars","field","Q de Kock","Cape Town Blitz",NA,"62"
"D Olivier",2018-12-09,"Paarl Rocks","Jozi Stars",2,"4.0",0,30,3,7.5,7,"Mzansi Super League","2018/19",1162666,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Paarl Rocks","Paarl Rocks","field","GM Thomson","Paarl Rocks","6",NA
