"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"T Bokako","Durban Heat","2018/19","Mzansi Super League",6,"19.3",0,191,3,63.6666666666667,9.7948717948718,39,45,0,0,"1/23"
"Hussain Talat","Cape Town Blitz","2018/19","Mzansi Super League",1,"1.0",0,7,2,3.5,7,3,3,0,0,"2/7"
"G Coetzee","Jozi Stars","2019/20","Mzansi Super League",2,"4.2",0,48,2,24,11.0769230769231,13,12,0,0,"2/42"
"O Nyaku","Nelson Mandela Bay Giants","2019/20","Mzansi Super League",4,"7.0",0,59,2,29.5,8.42857142857143,21,12,0,0,"2/17"
"JA Morkel","Durban Heat","2018/19","Mzansi Super League",7,"9.0",0,60,2,30,6.66666666666667,27,25,0,0,"1/3"
"DL Piedt","Cape Town Blitz","2018/19","Mzansi Super League",4,"10.0",0,75,2,37.5,7.5,30,23,0,0,"1/15"
"SC Williams","Tshwane Spartans","2018/19","Mzansi Super League",5,"12.0",0,78,2,39,6.5,36,32,0,0,"2/14"
"LB Williams","Jozi Stars","2019/20","Mzansi Super League",3,"10.2",0,90,2,45,8.70967741935484,31,24,0,0,"1/21"
"C Bosch","Tshwane Spartans","2019/20","Mzansi Super League",3,"11.0",0,101,2,50.5,9.18181818181818,33,24,0,0,"1/35"
"VD Philander","Durban Heat","2018/19","Mzansi Super League",7,"17.0",0,152,2,76,8.94117647058824,51,33,0,0,"1/17"
"Mohammad Nawaz","Cape Town Blitz","2019/20","Mzansi Super League",6,"18.0",0,179,2,89.5,9.94444444444444,54,24,0,0,"1/23"
"C le Roux","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",1,"0.1",0,0,1,0,0,1,1,0,0,"1/0"
"D Elgar","Tshwane Spartans","2018/19","Mzansi Super League",3,"4.0",0,26,1,26,6.5,24,7,0,0,"1/16"
"LB Williams","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",2,"4.0",0,30,1,30,7.5,24,9,0,0,"1/15"
"MM Ali","Cape Town Blitz","2019/20","Mzansi Super League",2,"3.0",0,30,1,30,10,18,6,0,0,"1/21"
"A Gqamane","Cape Town Blitz","2019/20","Mzansi Super League",1,"2.0",0,32,1,32,16,12,3,0,0,"1/32"
"PWA Mulder","Tshwane Spartans","2019/20","Mzansi Super League",3,"6.0",0,32,1,32,5.33333333333333,36,13,0,0,"1/17"
"LS Livingstone","Cape Town Blitz","2019/20","Mzansi Super League",2,"3.0",0,36,1,36,12,18,4,0,0,"1/18"
"O Cele","Durban Heat","2018/19","Mzansi Super League",1,"4.0",0,37,1,37,9.25,24,8,0,0,"1/37"
"S von Berg","Durban Heat","2019/20","Mzansi Super League",1,"4.0",0,37,1,37,9.25,24,6,0,0,"1/37"
"E Bosch","Paarl Rocks","2018/19","Mzansi Super League",1,"4.0",0,41,1,41,10.25,24,8,0,0,"1/41"
"Sikandar Raza","Tshwane Spartans","2018/19","Mzansi Super League",2,"4.0",0,41,1,41,10.25,24,8,0,0,"1/15"
"I Manack","Tshwane Spartans","2019/20","Mzansi Super League",2,"5.2",0,42,1,42,7.875,32,11,0,0,"1/18"
"GM Thomson","Paarl Rocks","2018/19","Mzansi Super League",3,"5.0",0,48,1,48,9.6,30,6,0,0,"1/18"
"H Klaasen","Durban Heat","2018/19","Mzansi Super League",4,"6.0",0,54,1,54,9,36,8,0,0,"1/12"
"B Mavuta","Durban Heat","2018/19","Mzansi Super League",2,"8.0",0,65,1,65,8.125,48,13,0,0,"1/32"
"EL Hawken","Tshwane Spartans","2018/19","Mzansi Super League",3,"7.5",0,70,1,70,8.93617021276596,47,16,0,0,"1/40"
"D Paterson","Jozi Stars","2019/20","Mzansi Super League",2,"7.0",0,71,1,71,10.1428571428571,42,15,0,0,"1/37"
"M Jansen","Durban Heat","2019/20","Mzansi Super League",3,"10.0",0,105,1,105,10.5,60,18,0,0,"1/41"
"VD Philander","Cape Town Blitz","2019/20","Mzansi Super League",5,"11.0",0,106,1,106,9.63636363636364,66,28,0,0,"1/25"
"RS Bopara","Durban Heat","2019/20","Mzansi Super League",5,"13.0",0,116,1,116,8.92307692307692,78,19,0,0,"1/33"
"L Sipamla","Tshwane Spartans","2019/20","Mzansi Super League",6,"11.4",0,144,1,144,12.3428571428571,70,19,0,0,"1/29"
"CH Gayle","Jozi Stars","2019/20","Mzansi Super League",1,"1.0",0,5,0,Inf,5,Inf,2,0,0,"0/5"
"H Davids","Paarl Rocks","2019/20","Mzansi Super League",1,"1.0",0,7,0,Inf,7,Inf,4,0,0,"0/7"
"D Potgieter","Jozi Stars","2019/20","Mzansi Super League",1,"1.0",0,8,0,Inf,8,Inf,1,0,0,"0/8"
"Shoaib Malik","Jozi Stars","2019/20","Mzansi Super League",1,"1.0",0,10,0,Inf,10,Inf,0,0,0,"0/10"
"D Matthews","Nelson Mandela Bay Giants","2018/19","Mzansi Super League",1,"1.0",0,14,0,Inf,14,Inf,1,0,0,"0/14"
"A Mgijima","Cape Town Blitz","2019/20","Mzansi Super League",1,"2.0",0,16,0,Inf,8,Inf,4,0,0,"0/16"
