"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome"
1201979,6,"Paarl Rocks","Tshwane Spartans","male","2019/20",2019-11-17,"Mzansi Super League","10","Boland Park, Paarl","Paarl","Paarl Rocks","bat","D Elgar","A Paleker","CD Isaacs","MW Brown","A Steenkamp","SA Fritz","Tshwane Spartans",8,NA,NA,NA
1201980,6,"Cape Town Blitz","Nelson Mandela Bay Giants","male","2019/20",2019-11-20,"Mzansi Super League","11","St George's Park, Port Elizabeth","Port Elizabeth","Cape Town Blitz","bat","JT Smuts","A Jacobs","DJ Smith","AM Sodumo","S George","D Govindjee","Nelson Mandela Bay Giants",5,NA,NA,NA
1201981,6,"Tshwane Spartans","Durban Heat","male","2019/20",2019-11-21,"Mzansi Super League","12","SuperSport Park, Centurion","Centurion","Durban Heat","field",NA,"A Steenkamp","Stephen Harris","J Sadler","Siphelele Gasa","ZTA Ndamane",NA,NA,NA,NA,"no result"
1201982,6,"Jozi Stars","Paarl Rocks","male","2019/20",2019-11-22,"Mzansi Super League","13","Boland Park, Paarl","Paarl","Jozi Stars","bat","D Pretorius","AT Holdstock","RN Hendricks","CD Isaacs","MW Brown","SB Lambson","Paarl Rocks",4,NA,NA,NA
1201983,6,"Durban Heat","Nelson Mandela Bay Giants","male","2019/20",2019-11-23,"Mzansi Super League","14","St George's Park, Port Elizabeth","Port Elizabeth","Durban Heat","bat","JJ Roy","BM White","S George","AM Sodumo","A Jacobs","D Govindjee","Nelson Mandela Bay Giants",5,NA,NA,NA
1201984,6,"Paarl Rocks","Cape Town Blitz","male","2019/20",2019-11-24,"Mzansi Super League","15","Newlands, Cape Town","Cape Town","Cape Town Blitz","field","H Davids","AT Holdstock","MW Brown","RN Hendricks","CD Isaacs","SB Lambson","Paarl Rocks",NA,2,NA,NA
1201985,6,"Tshwane Spartans","Jozi Stars","male","2019/20",2019-11-24,"Mzansi Super League","16","New Wanderers Stadium, Johannesburg","Johannesburg","Tshwane Spartans","bat","AB de Villiers","A Paleker","BP Jele","PJ Vosloo","Stephen Harris","S Wadvalla","Tshwane Spartans",NA,20,NA,NA
1201986,6,"Paarl Rocks","Nelson Mandela Bay Giants","male","2019/20",2019-11-27,"Mzansi Super League","17","St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","field","FD Adams","BM White","S George","A Jacobs","LB Gcuma","GH Pienaar","Paarl Rocks",NA,31,NA,NA
1201987,6,"Cape Town Blitz","Durban Heat","male","2019/20",2019-11-28,"Mzansi Super League","18","Newlands, Cape Town","Cape Town","Cape Town Blitz","bat","DJ Vilas","A Paleker","Siphelele Gasa","CD Isaacs","A Steenkamp","LH Matroos","Durban Heat",7,NA,NA,NA
1201988,6,"Paarl Rocks","Tshwane Spartans","male","2019/20",2019-11-29,"Mzansi Super League","19","SuperSport Park, Centurion","Centurion","Tshwane Spartans","field","RE van der Merwe","BP Jele","Stephen Harris","Lauren Agenbag","BM White","D Govindjee","Tshwane Spartans",8,NA,NA,NA
1201989,6,"Nelson Mandela Bay Giants","Durban Heat","male","2019/20",2019-11-30,"Mzansi Super League","20","Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","bat","KA Maharaj","AT Holdstock","LB Gcuma","DJ Smith","Siphelele Gasa","ZTA Ndamane","Durban Heat",6,NA,NA,NA
1201990,6,"Jozi Stars","Paarl Rocks","male","2019/20",2019-12-01,"Mzansi Super League","21","New Wanderers Stadium, Johannesburg","Johannesburg","Paarl Rocks","field","BS Makhanya","PJ Vosloo","Stephen Harris","MN Gampu","AT Holdstock","SB Lambson","Paarl Rocks",5,NA,NA,NA
1201991,6,"Cape Town Blitz","Tshwane Spartans","male","2019/20",2019-12-01,"Mzansi Super League","22","Newlands, Cape Town","Cape Town","Cape Town Blitz","bat","DW Steyn","A Steenkamp","A Paleker","TC Mokorosi","CD Isaacs","S Wadvalla","Cape Town Blitz",NA,15,NA,NA
1201992,6,"Tshwane Spartans","Nelson Mandela Bay Giants","male","2019/20",2019-12-03,"Mzansi Super League","23","St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","bat","BR Dunk","DJ Smith","Siphelele Gasa","AM Sodumo","A Jacobs","SA Fritz","Nelson Mandela Bay Giants",6,NA,NA,NA
1201993,6,"Paarl Rocks","Durban Heat","male","2019/20",2019-12-04,"Mzansi Super League","24","Boland Park, Paarl","Paarl","Durban Heat","field","AD Hales","LB Gcuma","S George","CD Isaacs","MW Brown","D Govindjee","Durban Heat",6,NA,NA,NA
1201995,6,"Nelson Mandela Bay Giants","Cape Town Blitz","male","2019/20",2019-12-06,"Mzansi Super League","26","Newlands, Cape Town","Cape Town","Cape Town Blitz","field","BR Dunk","CD Isaacs","S George","TC Mokorosi","A Steenkamp","SA Fritz","Nelson Mandela Bay Giants",NA,11,NA,NA
1201997,6,"Paarl Rocks","Nelson Mandela Bay Giants","male","2019/20",2019-12-08,"Mzansi Super League","28","Boland Park, Paarl","Paarl","Nelson Mandela Bay Giants","field","T Shamsi","S George","TC Mokorosi","CD Isaacs","A Steenkamp","SA Fritz","Paarl Rocks",NA,12,NA,NA
1202000,6,"Tshwane Spartans","Nelson Mandela Bay Giants","male","2019/20",2019-12-13,"Mzansi Super League",NA,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","field","D Wiese","BM White","Stephen Harris","A Paleker","BP Jele","S Wadvalla","Tshwane Spartans",NA,22,NA,NA
1202001,6,"Tshwane Spartans","Paarl Rocks","male","2019/20",2019-12-16,"Mzansi Super League",NA,"Boland Park, Paarl","Paarl","Paarl Rocks","field","H Davids","A Paleker","BP Jele","Stephen Harris","BM White","GH Pienaar","Paarl Rocks",8,NA,NA,NA
