"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"AK Markram",2018-11-30,"Paarl Rocks","Nelson Mandela Bay Giants",2,50,39,5,1,128.205128205128,FALSE,"Mzansi Super League","2018/19",1162655,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Paarl Rocks","Nelson Mandela Bay Giants","bat","HG Kuhn","Nelson Mandela Bay Giants",NA,"48"
"DA Miller",2019-11-30,"Durban Heat","Nelson Mandela Bay Giants",2,50,39,3,2,128.205128205128,TRUE,"Mzansi Super League","2019/20",1201989,"Kingsmead, Durban","Durban","Nelson Mandela Bay Giants","Durban Heat","Nelson Mandela Bay Giants","bat","KA Maharaj","Durban Heat","6",NA
"JJ Roy",2019-11-23,"Nelson Mandela Bay Giants","Durban Heat",2,50,38,5,2,131.578947368421,FALSE,"Mzansi Super League","2019/20",1201983,"St George's Park, Port Elizabeth","Port Elizabeth","Durban Heat","Nelson Mandela Bay Giants","Durban Heat","bat","JJ Roy","Nelson Mandela Bay Giants","5",NA
"BR Dunk",2019-11-16,"Nelson Mandela Bay Giants","Jozi Stars",2,50,30,4,4,166.666666666667,TRUE,"Mzansi Super League","2019/20",1201977,"New Wanderers Stadium, Johannesburg","Johannesburg","Jozi Stars","Nelson Mandela Bay Giants","Jozi Stars","bat","CJ Dala","Nelson Mandela Bay Giants","9",NA
"K Zondo",2018-11-18,"Durban Heat","Cape Town Blitz",1,49,42,2,2,116.666666666667,TRUE,"Mzansi Super League","2018/19",1162643,"Kingsmead, Durban","Durban","Durban Heat","Cape Town Blitz","Cape Town Blitz","field","Asif Ali","Cape Town Blitz","3",NA
"WJ Lubbe",2019-11-28,"Durban Heat","Cape Town Blitz",2,49,28,8,1,175,FALSE,"Mzansi Super League","2019/20",1201987,"Newlands, Cape Town","Cape Town","Cape Town Blitz","Durban Heat","Cape Town Blitz","bat","DJ Vilas","Durban Heat","7",NA
"AK Markram",2018-12-02,"Paarl Rocks","Durban Heat",2,48,39,6,0,123.076923076923,FALSE,"Mzansi Super League","2018/19",1162658,"Boland Park, Paarl","Paarl","Durban Heat","Paarl Rocks","Durban Heat","bat","F du Plessis","Paarl Rocks","9",NA
"F Behardien",2019-11-10,"Nelson Mandela Bay Giants","Jozi Stars",1,48,34,2,2,141.176470588235,FALSE,"Mzansi Super League","2019/20",1201973,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Jozi Stars","Jozi Stars","field","HG Kuhn","Nelson Mandela Bay Giants",NA,"24"
"PJ van Biljon",2019-12-13,"Tshwane Spartans","Nelson Mandela Bay Giants",1,48,32,5,1,150,TRUE,"Mzansi Super League","2019/20",1202000,"St George's Park, Port Elizabeth","Port Elizabeth","Tshwane Spartans","Nelson Mandela Bay Giants","Nelson Mandela Bay Giants","field","D Wiese","Tshwane Spartans",NA,"22"
"M Marais",2018-11-25,"Nelson Mandela Bay Giants","Tshwane Spartans",1,47,41,5,1,114.634146341463,FALSE,"Mzansi Super League","2018/19",1162650,"SuperSport Park, Centurion","Centurion","Nelson Mandela Bay Giants","Tshwane Spartans","Tshwane Spartans","field","M Marais","Nelson Mandela Bay Giants",NA,"7"
"HG Kuhn",2019-11-10,"Nelson Mandela Bay Giants","Jozi Stars",1,47,37,6,0,127.027027027027,FALSE,"Mzansi Super League","2019/20",1201973,"St George's Park, Port Elizabeth","Port Elizabeth","Nelson Mandela Bay Giants","Jozi Stars","Jozi Stars","field","HG Kuhn","Nelson Mandela Bay Giants",NA,"24"
