"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","outcome","method","eliminator"
1144511,6,"New Zealand","West Indies","male","2019",2019-06-22,"World Cup","29","Old Trafford","Manchester","West Indies","field","KS Williamson","IJ Gould","RSA Palliyaguruge","RJ Tucker","NJ Llong","DC Boon","New Zealand",NA,5,NA,NA,NA
1144512,6,"Pakistan","South Africa","male","2019",2019-06-23,"World Cup","30","Lord's","London","Pakistan","bat","Haris Sohail","JS Wilson","HDPK Dharmasena","S Ravi","CB Gaffaney","RS Madugalle","Pakistan",NA,49,NA,NA,NA
1144513,6,"Afghanistan","Bangladesh","male","2019",2019-06-24,"World Cup","31","The Rose Bowl","Southampton","Afghanistan","field","Shakib Al Hasan","RA Kettleborough","MA Gough","RK Illingworth","Aleem Dar","RB Richardson","Bangladesh",NA,62,NA,NA,NA
1144514,6,"England","Australia","male","2019",2019-06-25,"World Cup","32","Lord's","London","England","field","AJ Finch","CB Gaffaney","S Ravi","JS Wilson","HDPK Dharmasena","RS Madugalle","Australia",NA,64,NA,NA,NA
1144515,6,"New Zealand","Pakistan","male","2019",2019-06-26,"World Cup","33","Edgbaston","Birmingham","New Zealand","bat","Babar Azam","BNJ Oxenford","PR Reiffel","M Erasmus","P Wilson","RB Richardson","Pakistan",6,NA,NA,NA,NA
1144516,6,"India","West Indies","male","2019",2019-06-27,"World Cup","34","Old Trafford","Manchester","India","bat","V Kohli","RA Kettleborough","RK Illingworth","Aleem Dar","MA Gough","BC Broad","India",NA,125,NA,NA,NA
1144517,6,"South Africa","Sri Lanka","male","2019",2019-06-28,"World Cup","35","Riverside Ground","Chester-le-Street","South Africa","field","D Pretorius","RJ Tucker","S Ravi","PR Reiffel","BNJ Oxenford","DC Boon","South Africa",9,NA,NA,NA,NA
1144518,6,"Afghanistan","Pakistan","male","2019",2019-06-29,"World Cup","36","Headingley","Leeds","Afghanistan","bat","Imad Wasim","P Wilson","NJ Llong","IJ Gould","CB Gaffaney","BC Broad","Pakistan",3,NA,NA,NA,NA
1144519,6,"Australia","New Zealand","male","2019",2019-06-29,"World Cup","37","Lord's","London","Australia","bat","AT Carey","JS Wilson","RK Illingworth","MA Gough","RA Kettleborough","RB Richardson","Australia",NA,86,NA,NA,NA
1144520,6,"England","India","male","2019",2019-06-30,"World Cup","38","Edgbaston","Birmingham","England","bat","JM Bairstow","Aleem Dar","HDPK Dharmasena","M Erasmus","RSA Palliyaguruge","RS Madugalle","England",NA,31,NA,NA,NA
1144521,6,"Sri Lanka","West Indies","male","2019",2019-07-01,"World Cup","39","Riverside Ground","Chester-le-Street","West Indies","field","WIA Fernando","BNJ Oxenford","PR Reiffel","RJ Tucker","S Ravi","DC Boon","Sri Lanka",NA,23,NA,NA,NA
1168517,6,"Ireland","Zimbabwe","male","2019",2019-07-01,"Zimbabwe tour of Netherlands and Ireland","1","Bready Cricket Club, Magheramason","Bready","Ireland","field",NA,"M Hawthorne","S George","R Black",NA,"JJ Crowe","Ireland",4,NA,NA,NA,NA
