"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"KDK Vithanage",6,75,90,83.3333333333333,15,11,0,1,0,0,27
"KED Carroll",3,28,40,70,9.33333333333333,1,0,0,0,0,21
"KH Butt",2,8,28,28.5714285714286,4,0,0,0,0,0,4
"KH Pandya",4,130,128,101.5625,65,11,2,2,0,1,58
"KH Prajapati",29,897,1151,77.9322328410078,30.9310344827586,92,13,0,2,4,103
"KHRK Fernando",2,3,14,21.4285714285714,3,0,0,1,0,0,3
"KIC Asalanka",52,1918,2136,89.7940074906367,43.5909090909091,150,43,8,3,12,110
"KJ Abbott",13,76,126,60.3174603174603,8.44444444444444,6,0,4,0,0,23
"KJ Coetzer",70,2468,3029,81.4790359854738,37.9692307692308,322,30,5,4,15,156
"KJ Harding",1,1,1,100,Inf,0,0,1,0,0,1
"KJ O'Brien",106,2444,2637,92.6810769814183,26.2795698924731,242,57,13,1,9,113
"KJJ van Noortwijk",3,141,138,102.173913043478,70.5,12,3,1,1,0,134
"KK Ahmed",3,9,17,52.9411764705882,4.5,1,0,1,0,0,5
"KK Nair",2,46,88,52.2727272727273,23,6,0,0,0,0,39
"KL Rahul",70,2820,3211,87.823108066023,50.3571428571429,224,61,14,7,18,112
"KL Tucker",1,0,4,0,0,0,0,0,0,0,0
"KM Dabengwa",23,364,614,59.2833876221498,20.2222222222222,20,6,5,0,0,45
"KM Jadhav",52,1389,1367,101.609363569861,42.0909090909091,141,24,19,2,6,120
"KM Jarvis",31,215,330,65.1515151515152,9.77272727272727,22,3,9,0,0,37
"KMA Paul",22,320,330,96.969696969697,21.3333333333333,26,12,7,0,0,46
"KMC Bandara",1,1,3,33.3333333333333,Inf,0,0,1,0,0,1
"KMDN Kulasekara",121,1323,1611,82.122905027933,15.5647058823529,95,39,36,0,4,73
"KNA Bandara",5,141,217,64.9769585253456,35.25,9,1,1,0,2,55
"KO Meth",6,49,93,52.6881720430108,8.16666666666667,5,0,0,0,0,20
"KO Otieno",18,250,571,43.7828371278459,13.8888888888889,29,4,0,0,2,79
"KOA Powell",43,948,1197,79.1979949874687,22.046511627907,111,13,0,0,8,83
"KOK Williams",5,19,27,70.3703703703704,19,1,0,4,0,0,16
"KP Meiyappan",22,163,333,48.9489489489489,9.05555555555556,11,0,4,0,0,24
"KP Pietersen",118,4202,4897,85.8076373289769,40.7961165048544,402,71,15,9,23,130
"KR Mayers",26,660,775,85.1612903225806,25.3846153846154,75,21,0,2,2,120
"KR Sen",1,2,4,50,Inf,0,0,1,0,0,2
"KS Airee",3,27,24,112.5,27,2,0,2,0,0,18
"KS Lokuarachchi",12,164,215,76.2790697674419,14.9090909090909,7,3,1,0,1,69
"KS Williamson",157,6811,8368,81.3934034416826,48.3049645390071,625,55,16,13,45,148
"KT Sandher",1,2,6,33.3333333333333,2,0,0,0,0,0,2
"KTGD Prasad",11,120,112,107.142857142857,24,9,3,6,0,0,31
"KU Carty",20,578,844,68.4834123222749,34,38,10,3,0,3,88
"KV Morea",12,72,116,62.0689655172414,12,5,1,6,0,0,17
"KW Richardson",12,75,68,110.294117647059,15,7,4,7,0,0,24
"KY Ottley",4,41,73,56.1643835616438,10.25,5,1,0,0,0,24
"Kabir Ali",8,54,57,94.7368421052632,9,3,1,2,0,0,25
"Kaleem Sana",4,34,54,62.962962962963,34,2,2,3,0,0,16
"Kaleemullah",22,109,112,97.3214285714286,8.38461538461539,5,7,9,0,0,20
"Kamran Akmal",118,2746,3307,83.0359842757786,25.1926605504587,316,32,9,4,9,124
"Kamran Hussain",1,28,21,133.333333333333,Inf,2,0,1,0,0,28
"Kamran Shazad",1,0,3,0,0,0,0,0,0,0,0
"Karan KC",34,400,475,84.2105263157895,15.3846153846154,31,20,8,0,0,42
"Karim Janat",3,32,47,68.0851063829787,10.6666666666667,1,2,0,0,0,22
"Karim Sadiq",9,219,273,80.2197802197802,27.375,18,8,1,1,0,114
"Kashif Daud",16,282,310,90.9677419354839,28.2,19,13,6,0,2,76
