"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
1434288,6,"India","South Africa","female","2024",2024-06-19,"South Africa Women tour of India","2","M Chinnaswamy Stadium, Bengaluru","Bengaluru","South Africa","field","H Kaur","KN Ananthapadmanabhan","N Janani","R Pandit","N Perera","V Narayan Kutty","India",NA,4,NA,NA,NA
1436888,6,"Sri Lanka","West Indies","female","2024",2024-06-21,"West Indies Women tour of Sri Lanka","3","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Hambantota","West Indies","field","S Nisansala","LDVV Silva","Lauren Agenbag","LE Hannibal","RSA Palliyaguruge","V Bowen","Sri Lanka",NA,160,NA,NA,NA
1434289,6,"South Africa","India","female","2024",2024-06-23,"South Africa Women tour of India","3","M Chinnaswamy Stadium, Bengaluru","Bengaluru","South Africa","bat","DB Sharma","N Janani","N Perera","KN Ananthapadmanabhan","R Pandit","V Narayan Kutty","India",6,NA,NA,NA,NA
1398274,6,"New Zealand","England","female","2024",2024-06-26,"New Zealand Women tour of England","1","Riverside Ground, Chester-le-Street","Chester-le-Street","New Zealand","bat","CE Dean","AY Harris","Rob White","J Naeem","RJ Warren","Phil Whitticase","England",9,NA,NA,NA,NA
1398275,6,"New Zealand","England","female","2024",2024-06-30,"New Zealand Women tour of England","2","County Ground, New Road, Worcester","Worcester","England","field","ME Bouchier","J Naeem","RJ Warren","RA White","AY Harris","Phil Whitticase","England",8,NA,NA,NA,NA
1398276,6,"New Zealand","England","female","2024",2024-07-03,"New Zealand Women tour of England","3","County Ground, Bristol","Bristol","England","field","LK Bell","AY Harris","Rob White","J Naeem","RJ Warren","Phil Whitticase","England",5,NA,NA,NA,NA
1444543,6,"Papua New Guinea","Netherlands","female","2024",2024-08-05,"Netherlands Women's ODI Tri-Series","1","Sportpark Maarschalkerweerd, Utrecht","Utrecht","Netherlands","field","R Rijke","Jareth McCready","M Prabhudesa","Jnanesh Kolli",NA,"Adriaan van den Dries","Netherlands",3,NA,NA,NA,NA
1444544,6,"Scotland","Papua New Guinea","female","2024",2024-08-06,"Netherlands Women's ODI Tri-Series","2","Sportpark Maarschalkerweerd, Utrecht","Utrecht","Papua New Guinea","field","S Horley","Jareth McCready","M Prabhudesa","J Westerberg",NA,"Adriaan van den Dries","Scotland",NA,62,NA,NA,NA
1444545,6,"Scotland","Netherlands","female","2024",2024-08-08,"Netherlands Women's ODI Tri-Series","3","VRA Ground, Amstelveen","Amstelveen","Scotland","bat",NA,"J Westerberg","M Prabhudesa","Jareth McCready",NA,"Adriaan van den Dries","Netherlands",3,NA,NA,NA,NA
1444546,6,"Papua New Guinea","Netherlands","female","2024",2024-08-09,"Netherlands Women's ODI Tri-Series","4","VRA Ground, Amstelveen","Amstelveen","Netherlands","field",NA,"J Westerberg","Jareth McCready","M Prabhudesa",NA,"Adriaan van den Dries","Netherlands",1,NA,NA,NA,NA
