"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Mujeeb Ur Rahman","B-Love Kandy","2023","Lanka Premier League",10,"38.0",0,272,8,34,7.15789473684211,28.5,102,0,0,"2/17"
"Wahab Riaz","Galle Gladiators","2022/23","Lanka Premier League",9,"33.5",1,288,8,36,8.51231527093596,25.375,82,0,0,"3/37"
"MW Forde","Dambulla Aura","2022/23","Lanka Premier League",3,"9.0",0,50,7,7.14285714285714,5.55555555555556,7.71428571428571,28,1,0,"4/11"
"PC de Silva","Jaffna Kings","2021/22","Lanka Premier League",7,"17.0",1,121,7,17.2857142857143,7.11764705882353,14.5714285714286,50,1,0,"4/16"
"AD Mathews","B-Love Kandy","2023","Lanka Premier League",9,"19.0",0,131,7,18.7142857142857,6.89473684210526,16.2857142857143,54,0,0,"3/10"
"C Karunaratne","Kandy Falcons","2022/23","Lanka Premier League",8,"19.5",0,139,7,19.8571428571429,7.00840336134454,17,50,1,0,"4/11"
"S Colombage","Kandy Warriors","2021/22","Lanka Premier League",6,"21.0",0,153,7,21.8571428571429,7.28571428571429,18,49,0,0,"3/20"
"Mohammad Hasnain","B-Love Kandy","2023","Lanka Premier League",6,"21.0",0,157,7,22.4285714285714,7.47619047619048,18,55,0,0,"2/8"
"Al-Amin Hossain","Kandy Warriors","2021/22","Lanka Premier League",6,"17.0",0,173,7,24.7142857142857,10.1764705882353,14.5714285714286,32,0,0,"3/32"
"RTM Mendis","Dambulla Giants","2021/22","Lanka Premier League",8,"22.2",0,179,7,25.5714285714286,8.01492537313433,19.1428571428571,47,0,0,"3/21"
"D Madushanka","Jaffna Kings","2023","Lanka Premier League",7,"23.4",0,187,7,26.7142857142857,7.90140845070423,20.2857142857143,60,0,0,"2/18"
"SR Patel","Dambulla Viiking","2020/21","Lanka Premier League",8,"26.4",0,209,7,29.8571428571429,7.8375,22.8571428571429,58,0,0,"2/26"
"BAC Howell","Colombo Stars","2022/23","Lanka Premier League",8,"23.0",0,210,7,30,9.1304347826087,19.7142857142857,46,0,0,"3/17"
"RAS Lakmal","Jaffna Kings","2021/22","Lanka Premier League",9,"25.2",0,237,7,33.8571428571429,9.35526315789474,21.7142857142857,56,0,0,"2/28"
"M Theekshana","Jaffna Kings","2023","Lanka Premier League",9,"36.0",0,246,7,35.1428571428571,6.83333333333333,30.8571428571429,85,0,0,"2/37"
"DC Drakes","Colombo Stars","2022/23","Lanka Premier League",9,"29.5",0,290,7,41.4285714285714,9.72067039106145,25.5714285714286,57,0,0,"2/35"
"O Thomas","Kandy Falcons","2022/23","Lanka Premier League",3,"9.0",0,54,6,9,6,9,30,0,0,"3/15"
"PC de Silva","B-Love Kandy","2023","Lanka Premier League",4,"14.0",0,81,6,13.5,5.78571428571429,14,34,0,0,"2/16"
"DN Wellalage","Jaffna Kings","2022/23","Lanka Premier League",6,"18.0",0,82,6,13.6666666666667,4.55555555555556,18,53,0,0,"2/7"
"KTH Ratnayake","Dambulla Giants","2021/22","Lanka Premier League",6,"18.2",0,114,6,19,6.21818181818182,18.3333333333333,53,0,0,"3/18"
"RTM Mendis","Dambulla Viiking","2020/21","Lanka Premier League",6,"17.0",0,120,6,20,7.05882352941176,17,37,0,0,"2/28"
"D Lakshan","Galle Gladiators","2021/22","Lanka Premier League",5,"13.0",0,122,6,20.3333333333333,9.38461538461539,13,31,0,0,"2/11"
