"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","method","winner_wickets","outcome","eliminator"
1291205,6,"Dambulla Giants","Colombo Stars","male","2021/22",2021-12-11,"Lanka Premier League","11","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat","KTH Ratnayake","JWHD Boteju","RR Wimalasiri","Keerthi Bandara","RSA Palliyaguruge","WC Labrooy","Dambulla Giants",1,NA,NA,NA,NA
1291206,6,"Kandy Warriors","Jaffna Kings","male","2021/22",2021-12-12,"Lanka Premier League","12","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","Shoaib Malik","LE Hannibal","RD Kottahachchi","ID Gunawardene","RMPJ Rambukwella","BCMS Mendis","Jaffna Kings",NA,"D/L",7,NA,NA
1291207,6,"Colombo Stars","Galle Gladiators","male","2021/22",2021-12-12,"Lanka Premier League","13","R Premadasa Stadium, Colombo","Colombo","Colombo Stars","bat","LD Chandimal","EJAPAM Jayasooriya","RR Wimalasiri","JWHD Boteju","RSA Palliyaguruge","GF Labrooy","Colombo Stars",41,NA,NA,NA,NA
1291208,6,"Dambulla Giants","Jaffna Kings","male","2021/22",2021-12-13,"Lanka Premier League","14","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","field","PC de Silva","Keerthi Bandara","RR Wimalasiri","RD Kottahachchi","LE Hannibal","GF Labrooy","Jaffna Kings",NA,NA,7,NA,NA
1291209,6,"Kandy Warriors","Colombo Stars","male","2021/22",2021-12-14,"Lanka Premier League","15","R Premadasa Stadium, Colombo","Colombo","Colombo Stars","field","S Prasanna","ID Gunawardene","LE Hannibal","RD Kottahachchi","RSA Palliyaguruge","BCMS Mendis","Colombo Stars",NA,NA,5,NA,NA
1291210,6,"Galle Gladiators","Dambulla Giants","male","2021/22",2021-12-14,"Lanka Premier League","16","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","field","SR Patel","RMPJ Rambukwella","RA Kottahachchi","EJAPAM Jayasooriya","RR Wimalasiri","GF Labrooy","Galle Gladiators",9,NA,NA,NA,NA
1291211,6,"Jaffna Kings","Colombo Stars","male","2021/22",2021-12-16,"Lanka Premier League","17","R Premadasa Stadium, Colombo","Colombo","Jaffna Kings","bat","T Kohler-Cadmore","JWHD Boteju","RMPJ Rambukwella","Keerthi Bandara","RSA Palliyaguruge","RS Madugalle","Jaffna Kings",102,NA,NA,NA,NA
1291212,6,"Dambulla Giants","Kandy Warriors","male","2021/22",2021-12-16,"Lanka Premier League","18","R Premadasa Stadium, Colombo","Colombo","Dambulla Giants","bat","RS Bopara","RR Wimalasiri","RD Kottahachchi","ID Gunawardene","LE Hannibal","BCMS Mendis","Kandy Warriors",NA,NA,6,NA,NA
1291213,6,"Galle Gladiators","Jaffna Kings","male","2021/22",2021-12-17,"Lanka Premier League","19","R Premadasa Stadium, Colombo","Colombo","Galle Gladiators","bat","PBB Rajapaksa","EJAPAM Jayasooriya","RMPJ Rambukwella","JWHD Boteju","RSA Palliyaguruge","RS Madugalle","Galle Gladiators",20,NA,NA,NA,NA
1291214,6,"Colombo Stars","Kandy Warriors","male","2021/22",2021-12-17,"Lanka Premier League","20","R Premadasa Stadium, Colombo","Colombo","Kandy Warriors","field","JDF Vandersay","Keerthi Bandara","LE Hannibal","RA Kottahachchi","RR Wimalasiri","WC Labrooy","Colombo Stars",58,NA,NA,NA,NA
