"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CA Henry",2022-09-03,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,16,1,4,14,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SFM Devine",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"2.0",0,16,1,8,7,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"ASS Fletcher",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,17,1,4.25,11,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"Fatima Sana",2022-08-31,"Trinbago Knight Riders","Barbados Royals",1,"2.0",0,17,1,8.5,6,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"S Ismail",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,18,1,4.5,15,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SS Grimmond",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"2.0",0,18,1,9,4,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"SFM Devine",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,20,1,5,15,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SS Connell",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,"4.0",0,20,1,5,12,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"A Wellington",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,21,1,5.25,9,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"JKC Claxton",2023-09-06,"Trinbago Knight Riders","Barbados Royals",1,"2.4",0,21,1,7.875,6,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"M Kelly",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,"4.0",0,21,1,5.25,6,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"Q Joseph",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,"3.0",0,22,1,7.33333333333333,10,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"SFM Devine",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,22,1,5.5,15,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"SS Grimmond",2022-08-31,"Barbados Royals","Trinbago Knight Riders",2,"3.0",0,22,1,7.33333333333333,8,"Women's Caribbean Premier League",2022,1323178,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","LAGL Kirby","Trinbago Knight Riders",NA,"1"
"FC Jonas",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,"4.0",0,23,1,5.75,10,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"HK Matthews",2023-09-03,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,23,1,5.75,9,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
"SC Selman",2022-09-04,"Trinbago Knight Riders","Barbados Royals",1,"4.0",0,24,1,6,10,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"SR Patil",2023-09-10,"Barbados Royals","Guyana Amazon Warriors",1,"4.0",1,25,1,6.25,17,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"S Gajnabi",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"4.0",0,27,1,6.75,12,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"A Wellington",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,"4.0",0,28,1,7,8,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"CS Fraser",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,31,1,7.75,10,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"CS Fraser",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,"2.0",0,31,1,15.5,3,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"A Mohammed",2023-09-06,"Barbados Royals","Trinbago Knight Riders",2,"4.0",0,32,1,8,8,"Women's Caribbean Premier League",2023,1380593,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","M du Preez","Trinbago Knight Riders",NA,"13"
"Q Joseph",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,"3.0",0,38,1,12.6666666666667,5,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"K Ramharack",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,"4.0",0,42,1,10.5,8,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SS Grimmond",2022-09-01,"Guyana Amazon Warriors","Trinbago Knight Riders",2,"1.0",0,4,0,4,5,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"DJS Dottin",2023-09-05,"Guyana Amazon Warriors","Trinbago Knight Riders",1,"1.0",0,6,0,6,3,"Women's Caribbean Premier League",2023,1380592,"Queen's Park Oval, Port of Spain, Trinidad","Port of Spain","Guyana Amazon Warriors","Trinbago Knight Riders","Guyana Amazon Warriors","bat","SFM Devine","Guyana Amazon Warriors",NA,"21"
"G Kodali",2022-09-04,"Barbados Royals","Trinbago Knight Riders",2,"1.0",0,6,0,6,4,"Women's Caribbean Premier League",2022,1323181,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Barbados Royals","Barbados Royals","field","DJS Dottin","Trinbago Knight Riders",NA,"10"
"S Ismail",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,"2.0",1,6,0,3,10,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"AA Alleyne",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,"1.0",0,7,0,7,3,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
