"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"GH Lewis",2023-09-02,"Barbados Royals","Trinbago Knight Riders",2,27,27,4,0,100,FALSE,"Women's Caribbean Premier League",2023,1380590,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Trinbago Knight Riders","Barbados Royals","Trinbago Knight Riders","bat","EA Burns","Barbados Royals","6",NA
"HNK Jensen",2022-09-01,"Trinbago Knight Riders","Guyana Amazon Warriors",1,25,25,2,1,100,TRUE,"Women's Caribbean Premier League",2022,1323179,"Warner Park, Basseterre, St Kitts","Basseterre","Trinbago Knight Riders","Guyana Amazon Warriors","Guyana Amazon Warriors","field",NA,NA,NA,NA
"DJS Dottin",2023-09-09,"Trinbago Knight Riders","Guyana Amazon Warriors",1,25,21,2,1,119.047619047619,FALSE,"Women's Caribbean Premier League",2023,1380594,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Trinbago Knight Riders","Guyana Amazon Warriors","Trinbago Knight Riders","bat","K Ramharack","Guyana Amazon Warriors","9",NA
"RS Williams",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,23,23,2,0,100,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SW Bates",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,23,22,2,0,104.545454545455,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"HK Matthews",2023-08-31,"Barbados Royals","Guyana Amazon Warriors",2,23,21,4,0,109.52380952381,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"SR Taylor",2023-08-31,"Guyana Amazon Warriors","Barbados Royals",1,22,26,1,0,84.6153846153846,FALSE,"Women's Caribbean Premier League",2023,1380589,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","SFM Devine","Barbados Royals","6",NA
"HK Matthews",2022-09-03,"Barbados Royals","Guyana Amazon Warriors",2,22,22,2,0,100,FALSE,"Women's Caribbean Premier League",2022,1323180,"Warner Park, Basseterre, St Kitts","Basseterre","Guyana Amazon Warriors","Barbados Royals","Barbados Royals","field","Q Joseph","Barbados Royals","4",NA
"SFM Devine",2023-09-10,"Guyana Amazon Warriors","Barbados Royals",2,22,20,3,1,110,FALSE,"Women's Caribbean Premier League",2023,1380595,"Brian Lara Stadium, Tarouba, Trinidad","Tarouba","Barbados Royals","Guyana Amazon Warriors","Guyana Amazon Warriors","field","HK Matthews","Barbados Royals",NA,"8"
"HK Matthews",2023-09-03,"Barbados Royals","Guyana Amazon Warriors",2,22,19,4,0,115.789473684211,FALSE,"Women's Caribbean Premier League",2023,1380591,"Kensington Oval, Bridgetown, Barbados","Bridgetown","Guyana Amazon Warriors","Barbados Royals","Guyana Amazon Warriors","bat","EA Burns","Barbados Royals","3",NA
