"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"TM McGrath","UP Warriorz","2022/23","Women's Premier League",3,"6.0",0,74,2,37,12.3333333333333,18,14,0,0,"1/18"
"M Joshi","Gujarat Giants","2022/23","Women's Premier League",5,"8.0",0,88,2,44,11,24,15,0,0,"1/9"
"K Anjali Sarvani","UP Warriorz","2023/24","Women's Premier League",4,"9.0",0,103,2,51.5,11.4444444444444,27,19,0,0,"1/38"
"Renuka Singh","Royal Challengers Bangalore","2023/24","Women's Premier League",10,"28.0",1,226,2,113,8.07142857142857,84,83,0,0,"2/14"
"SV Yashasri","UP Warriorz","2022/23","Women's Premier League",1,"3.0",0,26,1,26,8.66666666666667,18,8,0,0,"1/26"
"G Wareham","Gujarat Giants","2022/23","Women's Premier League",2,"3.1",0,34,1,34,10.7368421052632,19,6,0,0,"1/30"
"JN Kalita","Mumbai Indians","2022/23","Women's Premier League",4,"5.0",0,37,1,37,7.4,30,13,0,0,"1/2"
"LMM Tahuhu","Gujarat Giants","2023/24","Women's Premier League",2,"5.0",0,38,1,38,7.6,30,17,0,0,"1/17"
"H Deol","Gujarat Giants","2022/23","Women's Premier League",3,"5.0",0,54,1,54,10.8,30,8,0,0,"1/27"
"DP Vaidya","UP Warriorz","2022/23","Women's Premier League",3,"5.0",0,55,1,55,11,30,7,0,0,"1/19"
"MC Patel","Gujarat Giants","2022/23","Women's Premier League",2,"5.0",0,61,1,61,12.2,30,7,0,0,"1/27"
"MS Kashyap","Gujarat Giants","2023/24","Women's Premier League",5,"10.1",0,83,1,83,8.16393442622951,61,24,0,0,"1/16"
"TM McGrath","UP Warriorz","2023/24","Women's Premier League",3,"8.0",0,83,1,83,10.375,48,17,0,0,"1/39"
"A Sutherland","Delhi Capitals","2023/24","Women's Premier League",4,"13.0",0,102,1,102,7.84615384615385,78,33,0,0,"1/32"
"GM Harris","UP Warriorz","2022/23","Women's Premier League",5,"13.0",0,108,1,108,8.30769230769231,78,37,0,0,"1/28"
"Renuka Singh","Royal Challengers Bangalore","2022/23","Women's Premier League",6,"16.4",0,159,1,159,9.54,100,36,0,0,"1/36"
"PN Khemnar","UP Warriorz","2023/24","Women's Premier League",1,"1.0",0,7,0,Inf,7,Inf,4,0,0,"0/7"
"S Mandhana","Royal Challengers Bangalore","2022/23","Women's Premier League",1,"0.3",0,9,0,Inf,18,Inf,2,0,0,"0/9"
"TN Pathan","Gujarat Giants","2023/24","Women's Premier League",1,"1.0",0,10,0,Inf,10,Inf,1,0,0,"0/10"
"SD Bahadur","Royal Challengers Bangalore","2023/24","Women's Premier League",1,"1.0",0,11,0,Inf,11,Inf,2,0,0,"0/11"
"SS Pawar","Royal Challengers Bangalore","2022/23","Women's Premier League",1,"1.0",0,11,0,Inf,11,Inf,1,0,0,"0/11"
"AB Kaur","Mumbai Indians","2023/24","Women's Premier League",2,"2.0",0,15,0,Inf,7.5,Inf,6,0,0,"0/5"
"Ashwani Kumari","Gujarat Giants","2022/23","Women's Premier League",1,"1.0",0,18,0,Inf,18,Inf,0,0,0,"0/18"
"EA Burns","Royal Challengers Bangalore","2022/23","Women's Premier League",1,"2.0",0,18,0,Inf,9,Inf,5,0,0,"0/18"
"M Mani","Delhi Capitals","2022/23","Women's Premier League",1,"3.0",0,18,0,Inf,6,Inf,4,0,0,"0/18"
"AB Kaur","Mumbai Indians","2022/23","Women's Premier League",3,"3.0",0,19,0,Inf,6.33333333333333,Inf,8,0,0,"0/2"
"Komal Zanzad","Royal Challengers Bangalore","2022/23","Women's Premier League",1,"2.0",0,22,0,Inf,11,Inf,3,0,0,"0/22"
"Poonam Yadav","Delhi Capitals","2022/23","Women's Premier League",2,"3.0",0,25,0,Inf,8.33333333333333,Inf,5,0,0,"0/7"
"SB Pokharkar","Royal Challengers Bangalore","2023/24","Women's Premier League",2,"4.0",0,35,0,Inf,8.75,Inf,11,0,0,"0/9"
"E Bisht","Royal Challengers Bangalore","2023/24","Women's Premier League",2,"4.0",0,41,0,Inf,10.25,Inf,8,0,0,"0/10"
"SB Keerthana","Mumbai Indians","2023/24","Women's Premier League",3,"5.0",0,43,0,Inf,8.6,Inf,7,0,0,"0/11"
"G Sultana","UP Warriorz","2023/24","Women's Premier League",2,"5.0",0,44,0,Inf,8.8,Inf,13,0,0,"0/15"
"S Rana","Gujarat Giants","2023/24","Women's Premier League",4,"10.2",0,104,0,Inf,10.0645161290323,Inf,19,0,0,"0/17"
