"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"S Pandey",2023-03-13,"Royal Challengers Bangalore","Delhi Capitals",1,"4.0",0,23,3,5.75,13,"Women's Premier League","2022/23",1358939,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals","field","JL Jonassen","Delhi Capitals","6",NA
"S Molineux",2024-02-27,"Gujarat Giants","Royal Challengers Bangalore",1,"4.0",0,25,3,6.25,12,"Women's Premier League","2023/24",1417720,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Renuka Singh","Royal Challengers Bangalore","8",NA
"A Capsey",2023-03-21,"UP Warriorz","Delhi Capitals",1,"4.0",0,26,3,6.5,15,"Women's Premier League","2022/23",1358948,"Brabourne Stadium, Mumbai","Mumbai","UP Warriorz","Delhi Capitals","Delhi Capitals","field","A Capsey","Delhi Capitals","5",NA
"DB Sharma",2023-03-10,"Royal Challengers Bangalore","UP Warriorz",1,"4.0",0,26,3,6.5,9,"Women's Premier League","2022/23",1358936,"Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","UP Warriorz","Royal Challengers Bangalore","bat","AJ Healy","UP Warriorz","10",NA
"S Pandey",2023-03-11,"Gujarat Giants","Delhi Capitals",1,"4.0",0,26,3,6.5,11,"Women's Premier League","2022/23",1358937,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","M Kapp","Delhi Capitals","10",NA
"S Ishaque",2024-03-07,"UP Warriorz","Mumbai Indians",2,"4.0",0,27,3,6.75,13,"Women's Premier League","2023/24",1417729,"Arun Jaitley Stadium, Delhi","Delhi","Mumbai Indians","UP Warriorz","Mumbai Indians","bat","NR Sciver-Brunt","Mumbai Indians",NA,"42"
"HK Matthews",2023-03-06,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,28,3,7,11,"Women's Premier League","2022/23",1358932,"Brabourne Stadium, Mumbai","Mumbai","Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore","bat","HK Matthews","Mumbai Indians","9",NA
"A Gardner",2023-03-08,"Royal Challengers Bangalore","Gujarat Giants",2,"4.0",0,31,3,7.75,10,"Women's Premier League","2022/23",1358934,"Brabourne Stadium, Mumbai","Mumbai","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","SIR Dunkley","Gujarat Giants",NA,"11"
"S Ishaque",2023-03-12,"UP Warriorz","Mumbai Indians",1,"4.0",0,33,3,8.25,9,"Women's Premier League","2022/23",1358938,"Brabourne Stadium, Mumbai","Mumbai","UP Warriorz","Mumbai Indians","UP Warriorz","bat","H Kaur","Mumbai Indians","8",NA
"A Gardner",2023-03-14,"Mumbai Indians","Gujarat Giants",1,"4.0",0,34,3,8.5,9,"Women's Premier League","2022/23",1358940,"Brabourne Stadium, Mumbai","Mumbai","Mumbai Indians","Gujarat Giants","Gujarat Giants","field","H Kaur","Mumbai Indians",NA,"55"
