"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"KS Bagabena",4,"26.0",1,111,8,13.875,4.26923076923077,19.5,96,0,0,"3/32"
"G Kandela",4,"40.0",1,127,8,15.875,3.175,30,153,0,0,"3/49"
"TJ Ravenscroft",5,"41.0",6,145,8,18.125,3.53658536585366,30.75,167,1,0,"4/21"
"CB Sole",4,"36.0",4,150,8,18.75,4.16666666666667,27,145,1,0,"4/24"
"A Gordon",5,"36.0",4,157,8,19.625,4.36111111111111,27,143,1,0,"4/35"
"DJ O'Halloran",6,"38.5",1,158,8,19.75,4.068669527897,29.125,141,1,0,"4/44"
"Javid Patel",5,"39.0",1,175,8,21.875,4.48717948717949,29.25,134,0,0,"2/33"
"Nathan Smith",5,"40.0",3,175,8,21.875,4.375,30,158,0,0,"3/14"
"LPJ Kimber",8,"29.5",1,178,8,22.25,5.96648044692737,22.375,81,1,0,"4/61"
"Mohamed Khan",5,"45.0",1,181,8,22.625,4.02222222222222,33.75,178,0,0,"3/50"
"C Waiswa",9,"44.4",6,182,8,22.75,4.07462686567164,33.5,183,1,0,"4/25"
"D Mogan",6,"37.1",1,184,8,23,4.95067264573991,27.875,138,0,0,"2/29"
"GT Thornton",4,"26.0",0,185,8,23.125,7.11538461538461,19.5,74,1,0,"4/42"
"AC Evans",6,"50.4",6,190,8,23.75,3.75,38,204,0,0,"2/18"
"T Tshose",7,"41.2",4,197,8,24.625,4.76612903225806,31,151,1,0,"4/16"
"Hasnat Ahmed",7,"29.3",2,201,8,25.125,6.8135593220339,22.125,86,1,0,"4/37"
"I Sharma",5,"44.0",3,212,8,26.5,4.81818181818182,33,146,0,0,"3/47"
"HA Varaiya",8,"50.3",3,218,8,27.25,4.31683168316832,37.875,182,0,0,"3/28"
"JJ Bazley",6,"39.0",2,220,8,27.5,5.64102564102564,29.25,127,0,0,"2/20"
"MGSM Fernando",9,"55.5",3,235,8,29.375,4.2089552238806,41.875,204,0,0,"2/27"
"JP Faulkner",6,"50.4",4,241,8,30.125,4.75657894736842,38,189,0,0,"2/27"
"C Janik",10,"55.0",4,242,8,30.25,4.4,41.25,197,0,0,"2/21"
"AJ Ireland",7,"47.0",4,243,8,30.375,5.17021276595745,35.25,167,1,0,"4/31"
"JJ Bushnell",7,"39.1",0,244,8,30.5,6.22978723404255,29.375,106,0,0,"3/56"
"JM Mennie",6,"52.5",4,251,8,31.375,4.75078864353312,39.625,187,0,0,"3/56"
"CJA Amini",10,"59.5",6,252,8,31.5,4.2116991643454,44.875,237,0,0,"3/46"
"MA Wood",5,"47.5",2,253,8,31.625,5.28919860627178,35.875,157,0,0,"3/62"
"MD Dai",10,"70.0",3,281,8,35.125,4.01428571428571,52.5,234,0,0,"2/29"
"J Rasu",9,"58.1",4,282,8,35.25,4.84813753581662,43.625,232,0,0,"2/17"
"L Doneathy",10,"47.2",0,312,8,39,6.59154929577465,35.5,107,1,0,"4/36"
"Saeed Ajmal",7,"68.1",3,321,8,40.125,4.70904645476773,51.125,226,0,0,"3/33"
"JA Richards",10,"57.2",3,323,8,40.375,5.63372093023256,43,181,0,0,"2/37"
"P Sisodiya",7,"62.0",2,334,8,41.75,5.38709677419355,46.5,167,0,0,"3/76"
"C Wright",9,"73.0",6,337,8,42.125,4.61643835616438,54.75,292,0,0,"2/19"
"Virandeep Singh",14,"79.1",5,358,8,44.75,4.52210526315789,59.375,280,0,0,"2/28"
"WJ Durston",14,"71.0",0,389,8,48.625,5.47887323943662,53.25,182,0,0,"2/27"
"JD Warner",10,"72.0",2,397,8,49.625,5.51388888888889,54,223,0,0,"3/42"
"TE Lawes",9,"63.0",1,399,8,49.875,6.33333333333333,47.25,211,0,0,"2/20"
