"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"AR Patwa",14,341,488,69.8770491803279,24.3571428571429,40,4,0,0,2,76
"AR Puri",6,15,45,33.3333333333333,7.5,1,0,4,0,0,8
"ARI Umeed",13,717,786,91.2213740458015,59.75,63,17,1,3,3,172
"ARJ Ogborne",3,39,78,50,39,2,1,2,0,0,27
"AS Abioye",3,7,20,35,7,0,0,2,0,0,6
"AS Dale",2,11,22,50,5.5,0,0,0,0,0,9
"AS Hansra",10,258,502,51.394422310757,28.6666666666667,15,5,1,0,1,63
"AS Kyobe",16,236,476,49.5798319327731,14.75,24,3,0,0,0,42
"ASJ Dewhurst",7,120,204,58.8235294117647,17.1428571428571,10,1,0,0,0,44
"ASS Nijjar",20,229,258,88.7596899224806,15.2666666666667,19,6,5,0,0,32
"AT Thomson",20,422,464,90.948275862069,32.4615384615385,30,10,7,0,2,68
"AU Rashid",25,406,418,97.1291866028708,22.5555555555556,44,5,7,0,1,71
"AV Ayyavooraju",1,5,18,27.7777777777778,5,0,0,0,0,0,5
"AV Lalcheta",24,394,545,72.2935779816514,19.7,35,5,4,0,1,62
"AW Finch",7,71,54,131.481481481481,14.2,6,4,2,0,0,24
"AW Gale",11,198,294,67.3469387755102,19.8,19,1,1,0,0,45
"AW Gorvin",5,36,72,50,18,3,0,3,0,0,12
"AW Hawkins-Kay",19,339,458,74.0174672489083,26.0769230769231,20,4,6,0,1,60
"AWR Barrow",13,244,255,95.6862745098039,22.1818181818182,28,2,2,0,1,54
"AZ Lees",56,2222,2764,80.3907380607815,43.5686274509804,219,20,5,5,17,144
"Aamir Javed",4,110,117,94.017094017094,27.5,11,7,0,0,1,52
"Aamir Kaleem",14,253,341,74.1935483870968,21.0833333333333,16,9,2,0,1,78
"Aaqib Sulehri",1,19,19,100,19,4,0,0,0,0,19
"Aarif Sheikh",18,257,484,53.099173553719,14.2777777777778,18,0,0,0,1,50
"Aaron Beard",13,106,116,91.3793103448276,11.7777777777778,10,1,4,0,0,22
"Aaron Jones",7,207,282,73.4042553191489,34.5,17,4,1,1,0,103
"Abdul Hashim",11,91,130,70,22.75,4,0,7,0,0,33
