"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"RV Scholes",2017-02-11,"Papua New Guinea","Scotland",2,"10.0",2,34,0,3.4,42,"ICC Women's World Cup Qualifier","2016/17","1073414","Mercantile Cricket Association Ground","Colombo","Papua New Guinea","Scotland","Papua New Guinea","field","K Anderson","Scotland",NA,"7"
"Sophia Smale",2023-09-10,"Northern Diamonds","Western Storm",1,"5.0",0,34,0,6.8,10,"Rachael Heyhoe Flint Trophy","2023","1347450","The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","Western Storm","Western Storm","field",NA,"Northern Diamonds",NA,"31"
"TG Norris",2020-09-13,"Western Storm","Southern Vipers",2,"6.0",0,34,0,5.66666666666667,19,"Rachael Heyhoe Flint Trophy","2020","1229342","The Rose Bowl, Southampton","Southampton","Southern Vipers","Western Storm","Southern Vipers","bat",NA,"Southern Vipers",NA,"32"
"TG Norris",2024-06-30,"Sunrisers","Thunder",1,"9.0",0,34,0,3.77777777777778,34,"Rachael Heyhoe Flint Trophy","2024","1427832","County Ground, Chelmsford","Chelmsford","Sunrisers","Thunder","Sunrisers","bat",NA,"Sunrisers",NA,"30"
"A Capsey",2020-09-11,"Western Storm","South East Stars",2,"7.0",0,35,0,5,21,"Rachael Heyhoe Flint Trophy","2020","1229339","County Ground, Bristol","Bristol","South East Stars","Western Storm","South East Stars","bat",NA,"Western Storm","7",NA
"A Capsey",2020-09-13,"Sunrisers","South East Stars",1,"10.0",0,35,0,3.5,42,"Rachael Heyhoe Flint Trophy","2020","1229343","County Ground, Chelmsford","Chelmsford","Sunrisers","South East Stars","Sunrisers","bat","A Capsey","South East Stars","6",NA
"A Wellington",2024-05-01,"South East Stars","Western Storm",1,"9.0",0,35,0,3.88888888888889,30,"Rachael Heyhoe Flint Trophy","2024","1427820","The Cooper Associates County Ground, Taunton","Taunton","South East Stars","Western Storm","Western Storm","field",NA,"Western Storm",NA,"8"
"C Nicholas",2023-05-01,"South East Stars","Western Storm",1,"5.0",0,35,0,7,16,"Rachael Heyhoe Flint Trophy","2023","1347414","County Ground, Bristol","Bristol","South East Stars","Western Storm","South East Stars","bat",NA,"South East Stars",NA,"207"
"CM Taylor",2022-07-23,"Sunrisers","Southern Vipers",2,"6.0",1,35,0,5.83333333333333,20,"Rachael Heyhoe Flint Trophy","2022","1297939","The Rose Bowl, Southampton","Southampton","Southern Vipers","Sunrisers","Southern Vipers","bat",NA,"Southern Vipers",NA,"11"
"EL Lamb",2023-04-22,"South East Stars","Thunder",1,"6.0",0,35,0,5.83333333333333,17,"Rachael Heyhoe Flint Trophy","2023","1347404","Old Trafford, Manchester","Manchester","South East Stars","Thunder","South East Stars","bat",NA,"South East Stars",NA,"131"
"FMK Morris",2023-04-22,"South East Stars","Thunder",1,"5.0",0,35,0,7,8,"Rachael Heyhoe Flint Trophy","2023","1347404","Old Trafford, Manchester","Manchester","South East Stars","Thunder","South East Stars","bat",NA,"South East Stars",NA,"131"
"G Potts",2023-09-16,"South East Stars","Central Sparks",1,"5.0",0,35,0,7,16,"Rachael Heyhoe Flint Trophy","2023","1347455","Edgbaston, Birmingham","Birmingham","South East Stars","Central Sparks","Central Sparks","field",NA,"South East Stars",NA,"152"
"GA Elwiss",2022-07-16,"Lightning","Southern Vipers",2,"6.0",0,35,0,5.83333333333333,18,"Rachael Heyhoe Flint Trophy","2022","1297938","County Ground, Derby","Derby","Southern Vipers","Lightning","Southern Vipers","bat",NA,"Southern Vipers",NA,"66"
"GL Lane",2023-09-10,"Northern Diamonds","Western Storm",1,"5.0",0,35,0,7,17,"Rachael Heyhoe Flint Trophy","2023","1347450","The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","Western Storm","Western Storm","field",NA,"Northern Diamonds",NA,"31"
"GL Lane",2023-09-13,"Central Sparks","Western Storm",2,"4.1",0,35,0,8.4,10,"Rachael Heyhoe Flint Trophy","2023","1347454","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","Central Sparks","Central Sparks","field",NA,"Central Sparks","7",NA
"J Nkomo",2021-11-21,"Thailand","Zimbabwe",1,"8.0",0,35,0,4.375,25,"ICC Women's Cricket World Cup Qualifier","2021/22","1286902","Harare Sports Club","Harare","Thailand","Zimbabwe","Thailand","bat","C Sutthiruang","Thailand",NA,"8"
