"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","match_referee","outcome","player_of_match","winner","winner_runs","winner_wickets","method","match_number","tv_umpire"
1136923,6,"North-West Warriors","Northern Knights","male","2018",2018-07-16,"Cricket Ireland Inter-Provincial Limited Over Cup","Woodvale Road, Eglinton","Eglinton","North-West Warriors","bat","GN Brolly","Michael Foster","G McCrea",NA,NA,NA,"Northern Knights",NA,2,NA,"5",NA
1136924,6,"Leinster Lightning","North-West Warriors","male","2018",2018-09-09,"Cricket Ireland Inter-Provincial Limited Over Cup","Observatory Lane, Rathmines, Dublin","Dublin","Leinster Lightning","bat","R Black","SA Richardson","W Clarke",NA,NA,NA,"Leinster Lightning",58,NA,NA,"6",NA
1162845,6,"Kenya","Oman","male","2018/19",2018-11-09,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Kenya","bat","VK Jha","LE Hannibal","Akbar Ali","V Narayan Kutty",NA,"Kaleemullah","Oman",NA,5,NA,"1",NA
1162846,6,"Denmark","Uganda","male","2018/19",2018-11-09,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Denmark","bat","Rahul Asher","BB Pradhan","Iftikhar Ali","V Narayan Kutty",NA,"A Otwani","Uganda",NA,5,NA,"2",NA
1162847,6,"United States of America","Uganda","male","2018/19",2018-11-10,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Uganda","field","Akbar Ali","LE Hannibal","Rahul Asher","V Narayan Kutty",NA,"MD Patel","United States of America",54,NA,NA,"3",NA
1162848,6,"Singapore","Oman","male","2018/19",2018-11-10,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Oman","field","Iftikhar Ali","BB Pradhan","VK Jha","V Narayan Kutty",NA,"Zeeshan Maqsood","Oman",NA,4,NA,"4",NA
1162850,6,"Singapore","Denmark","male","2018/19",2018-11-12,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Denmark","field","Akbar Ali","BB Pradhan","Iftikhar Ali","V Narayan Kutty",NA,"Aritra Dutta","Singapore",94,NA,NA,"6",NA
1162851,6,"Denmark","Oman","male","2018/19",2018-11-13,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Denmark","bat","Iftikhar Ali","BB Pradhan","Akbar Ali","V Narayan Kutty",NA,"Jatinder Singh","Oman",NA,3,NA,"7",NA
1162852,6,"Uganda","Kenya","male","2018/19",2018-11-13,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)",NA,"Uganda","bat","VK Jha","LE Hannibal","Rahul Asher","V Narayan Kutty",NA,"IA Karim","Kenya",NA,6,NA,"8",NA
1162853,6,"Singapore","Uganda","male","2018/19",2018-11-15,"ICC World Cricket League Division Three","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)",NA,"Uganda","field","Rahul Asher","Akbar Ali","LE Hannibal","V Narayan Kutty",NA,"CR Suryawanshi","Singapore",63,NA,NA,"9",NA
