"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"T Martin",1,"3.1",0,23,0,Inf,7.26315789473684,Inf,12,0,0,"0/23"
"CG Steenstra Toussaint",1,"6.0",0,25,0,Inf,4.16666666666667,Inf,26,0,0,"0/25"
"HWA Landheer",1,"3.0",0,25,0,Inf,8.33333333333333,Inf,6,0,0,"0/25"
"Tharika Sewwandi",1,"6.0",0,25,0,Inf,4.16666666666667,Inf,22,0,0,"0/25"
"L Ramjit",2,"5.0",0,26,0,Inf,5.2,Inf,12,0,0,"0/5"
"S Morris",1,"7.0",0,26,0,Inf,3.71428571428571,Inf,23,0,0,"0/26"
"S Farooq",2,"6.0",0,29,0,Inf,4.83333333333333,Inf,27,0,0,"0/13"
"DM Braat",2,"10.0",2,35,0,Inf,3.5,Inf,46,0,0,"0/15"
"T Ruma",1,"4.0",1,36,0,Inf,9,Inf,14,0,0,"0/36"
"JN Morgan",1,"5.0",0,37,0,Inf,7.4,Inf,11,0,0,"0/37"
"V Frank",2,"10.0",2,38,0,Inf,3.8,Inf,43,0,0,"0/17"
"A Beggs",2,"11.0",2,40,0,Inf,3.63636363636364,Inf,47,0,0,"0/13"
"K Ramharack",2,"17.0",6,41,0,Inf,2.41176470588235,Inf,74,0,0,"0/20"
"IMHC Joyce",2,"15.0",3,44,0,Inf,2.93333333333333,Inf,73,0,0,"0/15"
"M Daniels",3,"15.0",3,45,0,Inf,3,Inf,72,0,0,"0/9"
"M Clarke",3,"9.0",0,46,0,Inf,5.11111111111111,Inf,31,0,0,"0/13"
"S Willett",2,"4.0",0,46,0,Inf,11.5,Inf,7,0,0,"0/13"
"IPC Patel",1,"5.0",0,48,0,Inf,9.6,Inf,11,0,0,"0/48"
"K Ragoobar",2,"11.0",0,48,0,Inf,4.36363636363636,Inf,40,0,0,"0/16"
"E Geach",1,"10.0",1,52,0,Inf,5.2,Inf,35,0,0,"0/52"
"K Oala",4,"11.0",0,66,0,Inf,6,Inf,36,0,0,"0/10"
"HL Fenby",2,"11.0",0,68,0,Inf,6.18181818181818,Inf,39,0,0,"0/30"
"R Sangsoma",2,"12.0",0,75,0,Inf,6.25,Inf,26,0,0,"0/17"
"EF Telford",3,"14.0",0,98,0,Inf,7,Inf,45,0,0,"0/17"
"GH Lewis",4,"30.0",4,101,0,Inf,3.36666666666667,Inf,129,0,0,"0/14"
"GL Lane",4,"13.1",0,101,0,Inf,7.67088607594937,Inf,39,0,0,"0/15"
"E Thorpe",4,"15.2",0,114,0,Inf,7.43478260869565,Inf,39,0,0,"0/13"
