"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CA Soper",2015-06-24,"Netherlands","Papua New Guinea",1,"7.5",0,44,1,5.61702127659574,22,"ICC World Cricket League Championship","2015",870887,"VRA Ground","Amstelveen","Netherlands","Papua New Guinea","Papua New Guinea","field",NA,"Netherlands",NA,"85"
"CAJ Meschede",2016-06-14,"Middlesex","Glamorgan",1,"10.0",0,44,1,4.4,27,"Royal London One-Day Cup","2016",947409,"Sophia Gardens, Cardiff","Cardiff","Middlesex","Glamorgan","Glamorgan","field",NA,"Middlesex",NA,"28"
"CF Parkinson",2017-05-16,"Yorkshire","Leicestershire",1,"9.0",0,44,1,4.88888888888889,22,"Royal London One-Day Cup","2017",1068496,"Headingley, Leeds","Leeds","Yorkshire","Leicestershire","Leicestershire","field",NA,"Yorkshire",NA,"20"
"CJ Haggett",2018-06-14,"Nottinghamshire","Kent",1,"7.0",0,44,1,6.28571428571429,21,"Royal London One-Day Cup","2018",1127833,"Trent Bridge, Nottingham","Nottingham","Nottinghamshire","Kent","Kent","field",NA,"Kent","9",NA
"CJ White",2021-08-08,"Somerset","Northamptonshire",2,"8.0",0,44,1,5.5,30,"Royal London One-Day Cup","2021",1250217,"County Ground, Northampton","Northampton","Northamptonshire","Somerset","Somerset","field",NA,"Northamptonshire",NA,"81"
"CP Wood",2015-07-27,"Sussex","Hampshire",2,"8.0",0,44,1,5.5,22,"Royal London One-Day Cup","2015",804737,"The Rose Bowl, Southampton","Southampton","Hampshire","Sussex","Hampshire","bat",NA,"Hampshire",NA,"87"
"CT Steel",2021-08-12,"Derbyshire","Surrey",1,"9.0",0,44,1,4.88888888888889,22,"Royal London One-Day Cup","2021",1250223,"County Ground, Derby","Derby","Derbyshire","Surrey","Derbyshire","bat",NA,"Surrey","8",NA
"D Olivier",2019-04-21,"Lancashire","Yorkshire",1,"8.0",0,44,1,5.5,22,"Royal London One-Day Cup","2019",1167068,"Headingley, Leeds","Leeds","Lancashire","Yorkshire","Lancashire","bat",NA,"Lancashire",NA,"1"
"DC Kelly",2023-08-15,"Lancashire","Hampshire",2,"7.0",0,44,1,6.28571428571429,21,"One-Day Cup","2023",1347533,"Old Trafford, Manchester","Manchester","Hampshire","Lancashire","Hampshire","bat",NA,"Hampshire",NA,"11"
"DI Stevens",2014-07-29,"Durham","Kent",1,"10.0",0,44,1,4.4,36,"Royal London One-Day Cup","2014",693305,"St Lawrence Ground, Canterbury","Canterbury","Durham","Kent","Durham","bat",NA,"Kent","2",NA
"DR Briggs",2014-08-13,"Essex","Hampshire",1,"5.0",0,44,1,8.8,12,"Royal London One-Day Cup","2014",693389,"County Ground, Chelmsford","Chelmsford","Essex","Hampshire","Hampshire","field","AJA Wheater","Essex",NA,"5"
"EB Ringera",2018-02-14,"Oman","Kenya",2,"9.0",0,44,1,4.88888888888889,34,"ICC World Cricket League Division Two","2017/18",1133943,"United Cricket Club Ground","Windhoek","Kenya","Oman","Oman","field","Zeeshan Maqsood","Oman","2",NA
"Ehsan Nawaz",2018-03-15,"Netherlands","Hong Kong",1,"9.0",1,44,1,4.88888888888889,33,"ICC Cricket World Cup Qualifier","2017/18",1133021,"Kwekwe Sports Club","Kwekwe","Netherlands","Hong Kong","Netherlands","bat","MP O'Dowd","Netherlands",NA,"44"
"G Onions",2014-07-31,"Warwickshire","Durham",1,"9.0",1,44,1,4.88888888888889,29,"Royal London One-Day Cup","2014",693315,"Roseworth Terrace, Gosforth","Gosforth","Warwickshire","Durham","Durham","field",NA,"Durham","5",NA
"GG White",2014-08-08,"Hampshire","Northamptonshire",1,"10.0",0,44,1,4.4,28,"Royal London One-Day Cup","2014",693355,"The Rose Bowl, Southampton","Southampton","Hampshire","Northamptonshire","Hampshire","bat",NA,NA,NA,NA
"GH Dockrell",2023-05-16,"Northern Knights","Leinster Lightning",1,"8.0",1,44,1,5.5,26,"Cricket Ireland Inter-Provincial Limited Over Cup","2023",1375526,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Northern Knights","Leinster Lightning","Leinster Lightning","field","NA Rock","Northern Knights",NA,"66"
"GHI Harding",2018-05-23,"Derbyshire","Durham",2,"6.0",0,44,1,7.33333333333333,14,"Royal London One-Day Cup","2018",1127784,"County Ground, Derby","Derby","Durham","Derbyshire","Durham","bat",NA,"Derbyshire","4",NA
"GJ Batty",2015-07-29,"Yorkshire","Surrey",2,"10.0",0,44,1,4.4,31,"Royal London One-Day Cup","2015",804753,"Kennington Oval, London","London","Surrey","Yorkshire","Surrey","bat",NA,"Surrey",NA,"6"
"GJ Batty",2018-06-06,"Glamorgan","Surrey",1,"10.0",0,44,1,4.4,34,"Royal London One-Day Cup","2018",1127827,"Kennington Oval, London","London","Glamorgan","Surrey","Surrey","field",NA,"Surrey","5",NA
"GP Balderson",2022-08-19,"Northamptonshire","Lancashire",1,"6.0",0,44,1,7.33333333333333,12,"Royal London One-Day Cup","2022",1298011,"Stanley Park, Blackpool","Blackpool","Northamptonshire","Lancashire","Lancashire","field",NA,"Lancashire","4",NA
"GW Thomas",2023-08-13,"Gloucestershire","Somerset",1,"7.0",0,44,1,6.28571428571429,22,"One-Day Cup","2023",1347529,"County Ground, Bristol","Bristol","Gloucestershire","Somerset","Somerset","field",NA,"Gloucestershire",NA,"198"
"H Ssenyondo",2014-10-30,"Nepal","Uganda",1,"10.0",0,44,1,4.4,31,"ICC World Cricket League Division Three","2014/15",785993,"Kinrara Academy Oval","Kuala Lumpur","Nepal","Uganda","Nepal","bat","RG Mukasa","Nepal",NA,"62"
