"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_wickets","method","outcome","winner_runs","tv_umpire","player_of_match","reserve_umpire","match_number"
1252430,6,"Thunder","Sunrisers","female","2021",2021-08-28,"Charlotte Edwards Cup","County Ground, Northampton","Northampton","Thunder","bat","Hassan Adnan","S Redfern","AJ Swann",NA,NA,NA,"tie",NA,NA,NA,NA,NA
1252431,6,"Lightning","Southern Vipers","female","2021",2021-08-30,"Charlotte Edwards Cup","County Ground, Derby","Derby","Lightning","bat","G Bambury","S Redfern","DE Malcolm","Southern Vipers",7,NA,NA,NA,NA,NA,NA,NA
1252432,6,"South East Stars","Central Sparks","female","2021",2021-08-30,"Charlotte Edwards Cup","Edgbaston Foundation Community Sports Ground, Birmingham","Birmingham","Central Sparks","field","AY Harris","GD Lloyd","A Jarvis","South East Stars",NA,NA,NA,26,NA,NA,NA,NA
1252433,6,"Western Storm","Sunrisers","female","2021",2021-08-30,"Charlotte Edwards Cup","FP Fenner's Ground, Cambridge","Cambridge","Sunrisers","field","MJ Saggers","SM Bartlett","Aaron Campbell","Western Storm",NA,NA,NA,5,NA,NA,NA,NA
1252434,6,"Thunder","Northern Diamonds","female","2021",2021-08-30,"Charlotte Edwards Cup","Boughton Hall Cricket Club Ground, Chester","Chester","Northern Diamonds","field","BV Taylor","J Naeem","S Laister","Northern Diamonds",8,NA,NA,NA,NA,NA,NA,NA
1252435,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-05,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","AY Harris","S Redfern","Phil Whitticase","Northern Diamonds",NA,NA,NA,18,NA,"L Winfield-Hill","SM Bartlett",NA
1252436,6,"Northern Diamonds","South East Stars","female","2021",2021-09-05,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","SM Bartlett","S Redfern","Phil Whitticase","South East Stars",5,NA,NA,NA,NA,"A Capsey","AY Harris",NA
1298051,6,"Thunder","Southern Vipers","female","2022",2022-05-14,"Charlotte Edwards Cup","County Ground, Hove","Brighton","Thunder","bat","S McLelland","Surendiran Shanmugam","AM Smith (2)","Southern Vipers",8,NA,NA,NA,NA,NA,NA,NA
1298052,6,"Central Sparks","Western Storm","female","2022",2022-05-14,"Charlotte Edwards Cup","Sophia Gardens, Cardiff","Cardiff","Western Storm","field","AY Harris","Hassan Adnan","DE Malcolm","Central Sparks",NA,NA,NA,20,NA,NA,NA,NA
1298053,6,"Sunrisers","South East Stars","female","2022",2022-05-14,"Charlotte Edwards Cup","County Ground, Chelmsford","Chelmsford","South East Stars","field","N Pratt","SM Bartlett","J Swift","South East Stars",6,NA,NA,NA,NA,NA,NA,NA
1298054,6,"Northern Diamonds","Lightning","female","2022",2022-05-14,"Charlotte Edwards Cup","Haslegrave Ground, Loughborough","Loughborough","Northern Diamonds","bat","G Bambury","S Redfern",NA,"Northern Diamonds",NA,NA,NA,39,NA,NA,NA,NA
1298055,6,"Thunder","Northern Diamonds","female","2022",2022-05-18,"Charlotte Edwards Cup","Rookwood, Sale","Sale","Thunder","bat","G Bambury","GD Lloyd","S Cummings","Thunder",NA,NA,NA,56,NA,NA,NA,NA
1298056,6,"Southern Vipers","Lightning","female","2022",2022-05-18,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Lightning","field","Rob White","SM Bartlett","WR Smith","Southern Vipers",NA,NA,NA,31,NA,NA,NA,NA
1298057,6,"Central Sparks","South East Stars","female","2022",2022-05-18,"Charlotte Edwards Cup","Woodbridge Road, Guildford","Guildford","South East Stars","field","PK Baldwin","S McLelland",NA,"Central Sparks",NA,NA,NA,34,NA,NA,NA,NA
1298058,6,"Sunrisers","Western Storm","female","2022",2022-05-18,"Charlotte Edwards Cup","County Ground, Chelmsford","Chelmsford","Western Storm","field","Chris Watts","S Redfern","SJ Davis","Western Storm",1,NA,NA,NA,NA,NA,NA,NA
1298059,6,"Western Storm","South East Stars","female","2022",2022-05-21,"Charlotte Edwards Cup","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","field","BJ Debenham","SM Bartlett","SJ Davis","South East Stars",7,NA,NA,NA,NA,NA,NA,NA
1298060,6,"Southern Vipers","Northern Diamonds","female","2022",2022-05-21,"Charlotte Edwards Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Southern Vipers","bat","J Ibbotson","Naeem Ashraf","H Pack","Southern Vipers",NA,NA,NA,11,NA,NA,NA,NA
1298061,6,"Thunder","Lightning","female","2022",2022-05-21,"Charlotte Edwards Cup","Grace Road, Leicester","Leicester","Thunder","bat","AY Harris","Rob White","H Grant","Lightning",5,NA,NA,NA,NA,NA,NA,NA
1298062,6,"Central Sparks","Sunrisers","female","2022",2022-05-21,"Charlotte Edwards Cup","Edgbaston, Birmingham","Birmingham","Sunrisers","field","G Bambury","S Redfern","DA Cosker","Central Sparks",NA,NA,NA,24,NA,NA,NA,NA
1298063,6,"Western Storm","Sunrisers","female","2022",2022-05-29,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","bat","AG Wharf","S McLelland","DE Malcolm","Western Storm",NA,NA,NA,41,NA,NA,NA,NA
1298064,6,"South East Stars","Central Sparks","female","2022",2022-05-29,"Charlotte Edwards Cup","Edgbaston, Birmingham","Birmingham","South East Stars","bat","ID Blackwell","J Pratt","SJ Davis","South East Stars",NA,"D/L",NA,10,NA,NA,NA,NA
1298065,6,"Northern Diamonds","Thunder","female","2022",2022-05-29,"Charlotte Edwards Cup","Headingley, Leeds","Leeds","Northern Diamonds","bat","AY Harris","DJ Millns","WR Smith","Northern Diamonds",NA,NA,NA,25,NA,NA,NA,NA
1298066,6,"Lightning","Southern Vipers","female","2022",2022-05-29,"Charlotte Edwards Cup","Trent Bridge, Nottingham","Nottingham","Lightning","bat","J Naeem","RJ Warren","Wayne Noon","Southern Vipers",5,NA,NA,NA,NA,NA,NA,NA
1298067,6,"Western Storm","South East Stars","female","2022",2022-06-01,"Charlotte Edwards Cup","County Ground, Bristol","Bristol","South East Stars","field","AY Harris","SM Bartlett","SJ Davis","South East Stars",3,NA,NA,NA,"S Redfern",NA,NA,NA
1298068,6,"Central Sparks","Sunrisers","female","2022",2022-06-01,"Charlotte Edwards Cup","County Ground, Northampton","Northampton","Central Sparks","bat","BV Taylor","J Naeem","H Pack","Central Sparks",NA,NA,NA,3,NA,NA,NA,NA
1298069,6,"Northern Diamonds","Lightning","female","2022",2022-06-01,"Charlotte Edwards Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","bat","J Pratt","N Pratt","Phil Whitticase","Northern Diamonds",NA,NA,NA,5,NA,NA,NA,NA
1298070,6,"Thunder","Southern Vipers","female","2022",2022-06-01,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","Thunder","bat","J Ibbotson","RT Robinson","DE Malcolm","Southern Vipers",6,NA,NA,NA,NA,NA,NA,NA
1298071,6,"Lightning","Thunder","female","2022",2022-06-03,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","Lightning","bat","J Naeem","N Pratt","S Cummings","Thunder",5,NA,NA,NA,NA,NA,NA,NA
1298072,6,"Northern Diamonds","Southern Vipers","female","2022",2022-06-04,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","NJ Llong","SM Bartlett","DE Malcolm","Southern Vipers",6,NA,NA,NA,NA,NA,NA,NA
1298073,6,"Central Sparks","Western Storm","female","2022",2022-06-04,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","Central Sparks","bat","J Pratt","Naeem Ashraf","H Pack","Western Storm",7,NA,NA,NA,NA,NA,NA,NA
1298074,6,"South East Stars","Sunrisers","female","2022",2022-06-05,"Charlotte Edwards Cup","Woodbridge Road, Guildford","Guildford","South East Stars","bat","AY Harris","S Redfern","H Pack","South East Stars",NA,NA,NA,56,NA,NA,NA,NA
1298075,6,"South East Stars","Central Sparks","female","2022",2022-06-11,"Charlotte Edwards Cup","County Ground, Northampton","Northampton","South East Stars","bat","SM Bartlett","S McLelland","H Pack","Central Sparks",2,NA,NA,NA,NA,NA,NA,NA
1298076,6,"Central Sparks","Southern Vipers","female","2022",2022-06-11,"Charlotte Edwards Cup","County Ground, Northampton","Northampton","Central Sparks","bat","AY Harris","S Redfern","H Pack","Southern Vipers",6,NA,NA,NA,NA,"CE Dean",NA,NA
1347461,6,"Central Sparks","Sunrisers","female","2023",2023-05-18,"Charlotte Edwards Cup","County Ground, Chelmsford","Chelmsford","Sunrisers","field","BV Taylor","S Redfern","H Pack","Central Sparks",NA,NA,NA,23,NA,NA,NA,NA
1347462,6,"Northern Diamonds","Western Storm","female","2023",2023-05-19,"Charlotte Edwards Cup","Headingley, Leeds","Leeds","Western Storm","field","G Bambury","Hassan Adnan","JJ Swift","Northern Diamonds",NA,NA,NA,32,NA,NA,NA,NA
1347463,6,"South East Stars","The Blaze","female","2023",2023-05-20,"Charlotte Edwards Cup","Kent County Cricket Ground, Beckenham","Beckenham","The Blaze","field","Chris Watts","WRP Fernando","H Pack","The Blaze",5,NA,NA,NA,NA,NA,NA,NA
1347464,6,"Thunder","Western Storm","female","2023",2023-05-21,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Thunder","bat","BJ Peverall","S McLelland","AJ Swann","Western Storm",6,NA,NA,NA,NA,NA,NA,NA
1347465,6,"South East Stars","Southern Vipers","female","2023",2023-05-23,"Charlotte Edwards Cup","Enborne Lodge, Newbury","Newbury","Southern Vipers","field","BJ Peverall","WRP Fernando","JJ Swift","Southern Vipers",6,NA,NA,NA,NA,NA,NA,NA
1347466,6,"Northern Diamonds","Central Sparks","female","2023",2023-05-23,"Charlotte Edwards Cup","Edgbaston, Birmingham","Birmingham","Central Sparks","field","AY Harris","AC Harris","H Pack","Northern Diamonds",NA,NA,NA,3,NA,NA,NA,NA
1347467,6,"Thunder","The Blaze","female","2023",2023-05-25,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","The Blaze","field","Naeem Ashraf","W Mohammed","JJ Whitaker","The Blaze",3,NA,NA,NA,NA,NA,NA,NA
1347468,6,"Sunrisers","South East Stars","female","2023",2023-05-25,"Charlotte Edwards Cup","Lord's, London","London","Sunrisers","bat","WRP Fernando","Surendiran Shanmugam","H Pack","South East Stars",4,NA,NA,NA,NA,NA,NA,NA
1347469,6,"South East Stars","Northern Diamonds","female","2023",2023-05-26,"Charlotte Edwards Cup","Kennington Oval, London","London","Northern Diamonds","field","AY Harris","BJ Debenham","H Pack","Northern Diamonds",2,NA,NA,NA,NA,NA,NA,NA
1347470,6,"Western Storm","Southern Vipers","female","2023",2023-05-26,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Western Storm","bat","BJ Peverall","PD Nicholls","SM Bartlett","Southern Vipers",7,NA,NA,NA,NA,NA,NA,NA
1347471,6,"The Blaze","Central Sparks","female","2023",2023-05-26,"Charlotte Edwards Cup","Grace Road, Leicester","Leicester","Central Sparks","field","JD Shantry","WRP Fernando","AJ Swann","The Blaze",NA,NA,NA,56,NA,NA,NA,NA
1347472,6,"Sunrisers","Thunder","female","2023",2023-05-27,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","Sunrisers","bat","AC Harris","Naeem Ashraf","AJ Swann","Thunder",7,NA,NA,NA,NA,NA,NA,NA
1347473,6,"South East Stars","Western Storm","female","2023",2023-05-28,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","field","BJ Peverall","WRP Fernando","SM Bartlett","South East Stars",NA,NA,NA,5,NA,NA,NA,NA
1347474,6,"Northern Diamonds","Sunrisers","female","2023",2023-05-28,"Charlotte Edwards Cup","Headingley, Leeds","Leeds","Northern Diamonds","bat","P Mustard","S Widdup","H Pack","Northern Diamonds",NA,NA,NA,35,NA,NA,NA,NA
1347475,6,"Thunder","Central Sparks","female","2023",2023-05-29,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","Central Sparks","field","JD Shantry","WRP Fernando","DE Malcolm","Thunder",NA,NA,NA,36,NA,NA,NA,NA
1347476,6,"Southern Vipers","The Blaze","female","2023",2023-05-29,"Charlotte Edwards Cup","County Ground, Derby","Derby","The Blaze","field","Hassan Adnan","S Widdup","AJ Swann","The Blaze",5,NA,NA,NA,NA,NA,NA,NA
1347477,6,"Thunder","Southern Vipers","female","2023",2023-05-31,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Thunder","bat","F Richards","JC Tredwell","H Pack","Southern Vipers",4,NA,NA,NA,NA,NA,NA,NA
1347478,6,"Sunrisers","Western Storm","female","2023",2023-05-31,"Charlotte Edwards Cup","County Ground, Northampton","Northampton","Western Storm","field","AC Harris","S Redfern","SM Bartlett","Western Storm",7,NA,NA,NA,NA,NA,NA,NA
1347479,6,"Northern Diamonds","The Blaze","female","2023",2023-06-02,"Charlotte Edwards Cup","Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","bat","J Ibbotson","S Widdup","IL Herbert","The Blaze",6,NA,NA,NA,NA,NA,NA,NA
1347480,6,"Central Sparks","Southern Vipers","female","2023",2023-06-03,"Charlotte Edwards Cup","Edgbaston, Birmingham","Birmingham","Central Sparks","bat","AC Harris","G Bambury","SM Bartlett","Central Sparks",NA,NA,NA,7,NA,NA,NA,NA
1347481,6,"Southern Vipers","Northern Diamonds","female","2023",2023-06-04,"Charlotte Edwards Cup","Headingley, Leeds","Leeds","Southern Vipers","bat","J Ibbotson","S Widdup","DE Malcolm","Southern Vipers",NA,NA,NA,16,NA,NA,NA,NA
1347482,6,"Central Sparks","Western Storm","female","2023",2023-06-04,"Charlotte Edwards Cup","County Ground, Bristol","Bristol","Central Sparks","bat","WRP Fernando","S McLelland","SG Hinks","Western Storm",7,NA,NA,NA,NA,NA,NA,NA
1347483,6,"The Blaze","Sunrisers","female","2023",2023-06-04,"Charlotte Edwards Cup","Trent Bridge, Nottingham","Nottingham","The Blaze","bat","AC Harris","JC Tredwell","SM Bartlett","The Blaze",NA,NA,NA,84,NA,NA,NA,NA
1347484,6,"Thunder","South East Stars","female","2023",2023-06-04,"Charlotte Edwards Cup","Stanley Park, Blackpool","Blackpool","Thunder","bat","Naeem Ashraf","N Pratt","IL Herbert","Thunder",NA,NA,NA,16,NA,NA,NA,NA
1347485,6,"Western Storm","The Blaze","female","2023",2023-06-07,"Charlotte Edwards Cup","Sophia Gardens, Cardiff","Cardiff","The Blaze","field","AY Harris","BJ Peverall","AM Smith","The Blaze",7,NA,NA,NA,NA,NA,NA,NA
1347486,6,"South East Stars","Central Sparks","female","2023",2023-06-07,"Charlotte Edwards Cup","St Lawrence Ground, Canterbury","Canterbury","Central Sparks","field","F Richards","JC Tredwell","H Pack","South East Stars",NA,NA,NA,6,NA,NA,NA,NA
1347487,6,"Sunrisers","Southern Vipers","female","2023",2023-06-07,"Charlotte Edwards Cup","County Ground, Hove","Brighton","Southern Vipers","field","WRP Fernando","Surendiran Shanmugam","SM Bartlett","Southern Vipers",5,NA,NA,NA,NA,NA,NA,NA
1347488,6,"Northern Diamonds","Thunder","female","2023",2023-06-07,"Charlotte Edwards Cup","Stanley Park, Blackpool","Blackpool","Northern Diamonds","bat","J Naeem","Naeem Ashraf","IL Herbert","Thunder",7,NA,NA,NA,NA,NA,NA,NA
1347489,6,"Southern Vipers","Thunder","female","2023",2023-06-10,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","Thunder","field","WRP Fernando","S Redfern","H Pack","Southern Vipers",NA,NA,NA,18,NA,"DN Wyatt",NA,NA
1347490,6,"The Blaze","Southern Vipers","female","2023",2023-06-10,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","The Blaze","bat","AY Harris","S Redfern","H Pack","Southern Vipers",7,NA,NA,NA,NA,"A Shrubsole","WRP Fernando",NA
1410508,6,"The Blaze","Southern Vipers","female","2024",2024-05-18,"Charlotte Edwards Cup","The Rose Bowl, Southampton","Southampton","Southern Vipers","field","JC Tredwell","S McLelland","SM Bartlett","The Blaze",NA,NA,NA,3,NA,NA,NA,"1"
1410509,6,"South East Stars","Western Storm","female","2024",2024-05-19,"Charlotte Edwards Cup","County Ground, Bristol","Bristol","South East Stars","bat","BJ Peverall","G Bambury","AM Smith","South East Stars",NA,NA,NA,4,NA,NA,NA,"2"
1410510,6,"Northern Diamonds","Thunder","female","2024",2024-05-19,"Charlotte Edwards Cup","Old Trafford, Manchester","Manchester","Northern Diamonds","bat","A Clark","PR Pollard","H Pack","Thunder",8,NA,NA,NA,NA,NA,NA,"3"
1410511,6,"Sunrisers","Central Sparks","female","2024",2024-05-19,"Charlotte Edwards Cup","County Ground, New Road, Worcester","Worcester","Central Sparks","field","F Richards","S Widdup","SM Bartlett","Central Sparks",7,NA,NA,NA,NA,NA,NA,"4"
1410512,6,"Central Sparks","Western Storm","female","2024",2024-05-22,"Charlotte Edwards Cup","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","field","JC Tredwell","J Jarvis","DA Cosker","Central Sparks",NA,NA,NA,21,NA,NA,NA,"5"
